trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Alexander, N W","4","1","2","25","50","0.5","8","1","3","12.5","37.5","-3.5","414","54","138","13.04","33.33","-58.51","2","2","226","30","77","13.27","34.07","-26.17","37","13","24","35.14","35.14","10.42","300","46","114","15.33","15.33","-12.09",
"Allen, C N","2","0","2","0","100","-2","4","0","3","0","75","-4","209","20","57","9.57","27.27","-40.49","25","8","104","10","27","9.62","25.96","4.38","17","5","8","29.41","29.41","-2.49","164","19","47","11.59","11.59","-24.49",
"Appleby, M","21","4","9","19.05","42.86","0.5","42","6","17","14.29","40.48","-13.09","1792","213","576","11.89","32.14","-374.8","1","2","867","92","268","10.61","30.91","-250.12","278","75","147","26.98","26.98","-58.45","1520","173","483","11.38","11.38","-315.42",
"Bailey, Liam","2","0","0","0","0","-2","5","1","1","20","20","-1.75","297","18","57","6.06","19.19","-135.75","12","4","128","11","26","8.59","20.31","-62.75","13","3","6","23.08","23.08","-2.75","225","13","40","5.78","5.78","-92.25",
"Baker, George","0","0","0","0","0","0","1","1","1","100","100","7.5","405","40","120","9.88","29.63","-139.39","8","1","188","22","70","11.7","37.23","-46.26","52","11","22","21.15","21.15","-19.89","336","39","110","11.61","11.61","-77.39",
"Balding, A M","7","1","3","14.29","42.86","-2","10","1","3","10","30","-5","1946","283","712","14.54","36.59","-416.34","5","5","1006","147","372","14.61","36.98","-233.91","344","112","209","32.56","32.56","-49.06","851","125","287","14.69","14.69","-110.8",
"Barclay, Stella","3","0","1","0","33.33","-3","6","0","3","0","50","-6","546","37","125","6.78","22.89","-48.93","17","10","282","24","71","8.51","25.18","-50.34","26","5","13","19.23","19.23","-10.26","457","33","107","7.22","7.22","11.99",
"Barron, T D","6","0","1","0","16.67","-6","7","0","1","0","14.29","-7","473","60","152","12.68","32.14","-69.9","26","10","242","28","73","11.57","30.17","-21.93","64","16","37","25","25","-14.22","379","51","129","13.46","13.46","-10.36",
"Bell, M L W","2","1","1","50","50","19","4","1","1","25","25","17","726","89","246","12.26","33.88","-247.63","5","1","384","45","122","11.72","31.77","-93.14","111","36","59","32.43","32.43","-12.96","423","51","140","12.06","12.06","-122.8",
"Bevis, R J","0","0","0","0","0","0","1","0","0","0","0","-1","36","2","10","5.56","27.78","-27.37","386","23","19","0","4","0","21.05","-19","3","1","2","33.33","33.33","-0.37","25","1","7","4","4","-19",
