trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","1","0","0","0","0","-1","3","1","1","33.33","33.33","-0.5","6","2","2","33.33","33.33","15.5","7","3","3","42.86","42.86","24","224","26","71","11.61","31.7","1.17","3","3","106","17","37","16.04","34.91","39.04","21","7","11","33.33","33.33","2.84","171","20","57","11.7","11.7","-28.16",
"Appleby, M","2","0","0","0","0","-2","8","3","3","37.5","37.5","12.5","17","6","9","35.29","52.94","19.25","32","6","11","18.75","34.38","4.25","1743","194","549","11.13","31.5","-397.48","2","3","825","89","261","10.79","31.64","-182.89","261","70","140","26.82","26.82","-60.22","1496","159","467","10.63","10.63","-358.55",
"Balding, A M","3","1","2","33.33","66.67","5.5","11","3","6","27.27","54.55","7.13","28","7","12","25","42.86","10.38","71","16","29","22.54","40.85","8.46","2001","307","763","15.34","38.13","-361.44","1","2","1101","167","441","15.17","40.05","-204.98","388","130","246","33.51","33.51","-53.14","878","132","303","15.03","15.03","-104.26",
"Barclay, Stella","0","0","0","0","0","0","2","1","1","50","50","0.88","4","2","2","50","50","3.21","9","2","3","22.22","33.33","-1.79","550","40","128","7.27","23.27","-65.9","3","1","237","16","60","6.75","25.32","-84.81","27","7","14","25.93","25.93","-4.56","448","36","106","8.04","8.04","8.02",
"Barcoe, James M","1","0","0","0","0","-1","4","0","0","0","0","-4","4","0","0","0","0","-4","9","0","1","0","11.11","-9","230","9","40","3.91","17.39","-100.67","28","14","130","6","25","4.62","19.23","-66.17","7","2","3","28.57","28.57","4","172","9","35","5.23","5.23","-42.67",
"Barnes, M A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","7","35","3.68","18.42","-144.74","440","93","77","0","14","0","18.18","-77","3","1","1","33.33","33.33","-0.62","106","6","20","5.66","5.66","-68.74",
"Barron, T D","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","5","0","2","0","40","-5","10","1","4","10","40","-6","486","49","147","10.08","30.25","-147.76","8","7","244","25","73","10.25","29.92","-75.05","53","12","28","22.64","22.64","-16.8","401","44","128","10.97","10.97","-79.52",
"Barry, David Richard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","1","3","4.17","12.5","2","72","4","18","1","3","5.56","16.67","8","2","0","1","0","0","-2","11","1","3","9.09","9.09","15",
"Beckett, R M","4","0","2","0","50","-4","8","2","4","25","50","-4.5","15","2","8","13.33","53.33","-11.5","36","6","17","16.67","47.22","-18.5","1300","239","535","18.38","41.15","-189.81","2","6","652","111","265","17.02","40.64","-148.93","316","119","209","37.66","37.66","-11.93","531","104","208","19.59","19.59","-22.97",
"Bethell, Ed","2","1","1","50","50","0.1","5","1","2","20","40","-2.9","6","1","2","16.67","33.33","-3.9","15","3","4","20","26.67","-1.4","506","87","205","17.19","40.51","-130.75","1","1","290","44","118","15.17","40.69","-115.27","122","46","73","37.7","37.7","-4.87","300","57","122","19","19","-34.22",
