trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","0","0","0","0","0","0","2","0","1","0","50","-2","4","2","3","50","75","6.5","9","3","5","33.33","55.56","3.88","719","210","380","29.21","52.85","-30.4","4","3","312","96","168","30.77","53.85","4.48","343","144","222","41.98","41.98","-32.92","131","36","64","27.48","27.48","47.22",
"Appleby, M","2","0","0","0","0","-2","8","1","2","12.5","25","-6.6","14","1","4","7.14","28.57","-12.6","32","7","12","21.88","37.5","8.65","1736","195","553","11.23","31.85","-387.16","2","6","820","87","258","10.61","31.46","-197.99","267","72","143","26.97","26.97","-61.57","1487","159","469","10.69","10.69","-347.63",
"Attwater, M J","0","0","0","0","0","0","2","0","0","0","0","-2","8","0","2","0","25","-8","14","0","4","0","28.57","-14","588","34","117","5.78","19.9","-316.25","28","33","277","18","60","6.5","21.66","-153.79","26","6","12","23.08","23.08","-11.41","482","29","98","6.02","6.02","-235.3",
"Attwater, P","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","4","0","0","0","0","-4","12","0","1","0","8.33","-12","9999","9999","12","0","1","0","8.33","-12","0","0","0","0","0","0","5","0","0","0","0","-5",
"Baker, George","0","0","0","0","0","0","2","0","1","0","50","-2","3","1","2","33.33","66.67","6.5","10","2","4","20","40","5.5","390","39","108","10","27.69","-29.75","7","3","203","18","43","8.87","21.18","43.38","30","9","14","30","30","-6.25","332","38","98","11.45","11.45","25.87",
"Balding, A M","0","0","0","0","0","0","31","3","6","9.68","19.35","-19.6","44","6","14","13.64","31.82","-19.93","78","14","29","17.95","37.18","-24.27","2025","309","769","15.26","37.98","-399.64","2","9","1107","171","444","15.45","40.11","-218.38","398","134","252","33.67","33.67","-54.54","889","135","306","15.19","15.19","-111.18",
"Barfoot-Saunt, Mrs Tracey","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","-23","1514","62","5","0","0","0","0","-5","0","0","0","0","0","0","4","0","0","0","0","-4",
"Barron, T D","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","1","11","2","4","18.18","36.36","-2","491","51","149","10.39","30.35","-143.76","6","2","244","27","73","11.07","29.92","-66.05","53","13","28","24.53","24.53","-12.8","407","46","130","11.3","11.3","-76.52",
"Beckett, R M","0","0","0","0","0","0","13","5","6","38.46","46.15","13.3","20","7","9","35","45","9.74","43","14","21","32.56","48.84","16.49","1305","243","539","18.62","41.3","-169.08","2","3","642","117","266","18.22","41.43","-102.35","314","119","209","37.9","37.9","-10.7","526","104","208","19.77","19.77","-7.72",
"Bell, M L W","0","0","0","0","0","0","4","0","1","0","25","-4","10","0","3","0","30","-10","17","0","3","0","17.65","-17","771","99","250","12.84","32.43","-203.52","20","25","405","56","123","13.83","30.37","-70.45","109","41","61","37.61","37.61","7.44","459","59","148","12.85","12.85","-87.82",
"Benton, Craig","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","30","0","1","0","3.33","-30","9999","9999","30","0","1","0","3.33","-30","1","0","0","0","0","-1","29","0","1","0","0","-29",
"Bethell, Harriet","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","2","0","0","0","0","-2","163","26","64","15.95","39.26","5.06","18","6","72","10","27","13.89","37.5","2","26","6","13","23.08","23.08","-9.19","159","26","63","16.35","16.35","9.06",
"Birrane, F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0","5","0","11.9","-42","773","49","11","0","0","0","0","-11","0","0","0","0","0","0","29","0","4","0","0","-29",
"Blake, Michael","1","0","0","0","0","-1","2","0","1","0","50","-2","2","0","1","0","50","-2","4","0","1","0","25","-4","134","13","31","9.7","23.13","-5.5","103","29","71","4","13","5.63","18.31","-25.5","8","1","3","12.5","12.5","-4","114","13","26","11.4","11.4","14.5",
"Botti, M","0","0","0","0","0","0","2","1","1","50","50","2.33","8","1","3","12.5","37.5","-3.67","15","2","5","13.33","33.33","-2.67","827","93","257","11.25","31.08","-120.63","2","1","462","55","145","11.9","31.39","-97.04","85","21","48","24.71","24.71","-24.11","526","60","162","11.41","11.41","-89.45",
"Boughey, George","0","0","0","0","0","0","8","0","3","0","37.5","-8","21","1","6","4.76","28.57","-15.5","30","1","9","3.33","30","-24.5","1467","231","548","15.75","37.36","-318.18","5","12","711","108","264","15.19","37.13","-158.2","298","102","191","34.23","34.23","-46.04","824","134","313","16.26","16.26","-81.56",
"Bowen, Peter / Michael","0","0","0","0","0","0","0","0","0","0","0","0","6","2","3","33.33","50","5.88","8","2","4","25","50","3.88","490","71","153","14.49","31.22","-109.01","5","1","251","33","79","13.15","31.47","-55.72","89","35","56","39.33","39.33","7.65","373","53","113","14.21","14.21","-53.28",
"Boyle, J R","0","0","0","0","0","0","1","0","1","0","100","-1","9","3","5","33.33","55.56","9.83","14","3","6","21.43","42.86","4.83","389","34","105","8.74","26.99","-170.88","4","2","200","20","57","10","28.5","-74.21","36","8","18","22.22","22.22","-11.62","339","34","98","10.03","10.03","-120.88",
"Brabazon, Richard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","2","13","3.13","20.31","-55","374","30","29","0","5","0","17.24","-29","6","1","1","16.67","16.67","-2","40","2","8","5","5","-31",
"Brennan, F J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106","9","23","8.49","21.7","22.41","25","4","67","8","20","11.94","29.85","56.91","5","1","2","20","20","-3.09","61","6","14","9.84","9.84","42.91",
"Bridger, J / Cook, R","1","0","0","0","0","-1","5","1","1","20","20","2","7","2","2","28.57","28.57","4.33","12","2","3","16.67","25","-0.67","264","19","55","7.2","20.83","-126.86","3","4","141","12","34","8.51","24.11","-55.24","19","4","9","21.05","21.05","-7.94","209","17","49","8.13","8.13","-81.61",
"Brookhouse, B","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","3","0","0","0","0","-3","317","44","103","13.88","32.49","-0.6","17","5","215","31","67","14.42","31.16","-0.85","51","16","29","31.37","31.37","-2.23","199","23","62","11.56","11.56","20.41",
"Brown, A D","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","6","0","0","0","0","-6","322","37","103","11.49","31.99","-56.12","20","7","155","14","50","9.03","32.26","-46.21","46","10","22","21.74","21.74","-15.03","263","33","87","12.55","12.55","-18.17",
"Browne, Michael J","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","4","0","0","0","0","-4","60","2","16","3.33","26.67","-39","156","15","32","1","7","3.13","21.88","-24","2","0","1","0","0","-2","38","2","11","5.26","5.26","-17",
"Bunyan, Darren / OLeary, G","0","0","0","0","0","0","1","0","1","0","100","-1","4","1","2","25","50","7","6","1","3","16.67","50","5","295","23","58","7.8","19.66","-116.01","7","4","186","14","35","7.53","18.82","-88.84","22","6","10","27.27","27.27","1.49","189","20","43","10.58","10.58","-26.34",
"Burke, K R","0","0","0","0","0","0","18","2","7","11.11","38.89","-13.82","25","2","8","8","32","-20.82","49","5","16","10.2","32.65","-29.57","1550","238","595","15.35","38.39","-267.87","2","4","798","129","313","16.17","39.22","-96.27","258","95","160","36.82","36.82","-23.71","710","83","232","11.69","11.69","-161.09",
"Burke, Kieran","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","5","1","1","20","20","7","245","31","70","12.65","28.57","9.55","9","4","133","15","39","11.28","29.32","20.41","34","11","19","32.35","32.35","2.89","182","29","61","15.93","15.93","28.55",
"Burrows, Owen","0","0","0","0","0","0","5","1","1","20","20","0.5","7","2","2","28.57","28.57","9.5","12","3","4","25","33.33","8.25","237","45","93","18.99","39.24","-30.57","3","5","132","23","48","17.42","36.36","-9.98","59","24","36","40.68","40.68","-2.15","84","11","29","13.1","13.1","-32.71",
"Butler, John","0","0","0","0","0","0","2","0","0","0","0","-2","11","2","3","18.18","27.27","-4.67","30","5","9","16.67","30","-11.92","986","71","225","7.2","22.82","-435.56","4","5","501","31","111","6.19","22.16","-249.08","83","26","54","31.33","31.33","-0.11","754","60","186","7.96","7.96","-314.82",
"Byrnes, C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","523","59","134","11.28","25.62","-184.33","37","16","276","28","62","10.14","22.46","-84.52","72","29","44","40.28","40.28","16.09","251","31","60","12.35","12.35","-67.09",
"Camacho, Miss J A","0","0","0","0","0","0","3","0","1","0","33.33","-3","9","0","1","0","11.11","-9","21","2","4","9.52","19.05","-5.5","635","63","169","9.92","26.61","-82.64","9","11","354","31","92","8.76","25.99","-45.65","60","14","30","23.33","23.33","-6.05","515","50","142","9.71","9.71","-68.32",
"Cameron, S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","20","-5","9999","9999","5","0","1","0","20","-5","0","0","0","0","0","0","3","0","1","0","0","-3",
"Candy, H","1","0","0","0","0","-1","3","0","0","0","0","-3","8","0","2","0","25","-8","11","0","2","0","18.18","-11","228","21","61","9.21","26.75","-29.25","33","21","105","4","23","3.81","21.9","-37","18","4","12","22.22","22.22","-5.25","136","12","39","8.82","8.82","-74.25",
"Carr, Mrs R A","1","0","0","0","0","-1","2","0","0","0","0","-2","12","1","1","8.33","8.33","-3","27","3","7","11.11","25.93","-3","869","97","258","11.16","29.69","-141.4","6","7","476","47","124","9.87","26.05","-107.92","83","25","37","30.12","30.12","5.27","818","93","247","11.37","11.37","-117.4",
"Carroll, A W","4","0","2","0","50","-4","13","0","5","0","38.46","-13","15","0","5","0","33.33","-15","43","2","11","4.65","25.58","-32.5","1953","178","497","9.11","25.45","-499.25","11","24","934","94","253","10.06","27.09","-231.52","174","57","111","32.76","32.76","-3.49","1616","154","422","9.53","9.53","-340.41",
"Carroll, D","0","0","0","0","0","0","4","1","1","25","25","0.33","8","1","3","12.5","37.5","-3.67","12","1","4","8.33","33.33","-7.67","466","36","110","7.73","23.61","-239.58","2","2","233","9","50","3.86","21.46","-176.29","45","8","15","17.78","17.78","-14.29","366","31","94","8.47","8.47","-157.84",
"Chamings, P R","1","0","0","0","0","-1","2","0","1","0","50","-2","5","0","1","0","20","-5","9","0","2","0","22.22","-9","238","25","58","10.5","24.37","-28.17","20","14","112","10","27","8.93","24.11","-30.75","14","5","8","35.71","35.71","4.08","216","25","56","11.57","11.57","-6.17",
"Channon, Jack","0","0","0","0","0","0","9","2","3","22.22","33.33","12.63","11","2","3","18.18","27.27","10.63","17","2","5","11.76","29.41","4.63","643","99","260","15.4","40.44","18.35","2","1","370","63","154","17.03","41.62","38.86","106","36","70","33.96","33.96","-11.68","441","68","189","15.42","15.42","25.03",
"Chapple-Hyam, Jane","0","0","0","0","0","0","3","0","0","0","0","-3","4","0","0","0","0","-4","13","2","5","15.38","38.46","1.25","472","48","143","10.17","30.3","-101.37","10","5","247","30","79","12.15","31.98","-35.52","47","14","27","29.79","29.79","-7.7","229","25","78","10.92","10.92","-37.09",
"Charlton, Roger/Harry","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","10","0","1","0","10","-10","505","72","187","14.26","37.03","-150.01","16","11","235","32","85","13.62","36.17","-112.1","109","38","70","34.86","34.86","-8.31","280","44","109","15.71","15.71","-79.08",
