trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Sean","3","0","0","0","0","-3","6","1","1","16.67","16.67","3","152","10","25","6.58","16.45","-11.5","12","5","95","5","14","5.26","14.74","-35.5","4","0","0","0","0","-4","97","8","22","8.25","8.25","29.5",
"Allen, C N","3","0","1","0","33.33","-3","6","2","3","33.33","50","2.83","214","23","64","10.75","29.91","-34.16","12","5","102","12","28","11.76","27.45","10.21","19","8","11","42.11","42.11","8.34","170","22","54","12.94","12.94","-19.16",
"Appleby, Charlie","5","2","3","40","60","-1.23","20","8","14","40","70","3.39","825","242","432","29.33","52.36","-36.6","4","4","354","105","176","29.66","49.72","-24.4","390","170","261","43.59","43.59","-19.8","183","46","83","25.14","25.14","22.8",
"Appleby, M","10","0","2","0","20","-10","20","2","6","10","30","-1.43","1765","202","568","11.44","32.18","-417.04","10","12","873","98","276","11.23","31.62","-191.3","272","75","147","27.57","27.57","-55.78","1512","163","479","10.78","10.78","-367.8",
"Attwater, M J","2","0","0","0","0","-2","5","0","0","0","0","-5","599","41","130","6.84","21.7","-291.87","74","37","283","20","63","7.07","22.26","-159.38","33","8","17","24.24","24.24","-11.41","503","35","107","6.96","6.96","-226.92",
"Bailey, K C","4","1","1","25","25","-1.5","6","1","2","16.67","33.33","-3.5","481","67","157","13.93","32.64","-109.96","6","3","212","31","65","14.62","30.66","-46.73","78","24","46","30.77","30.77","-12.51","312","47","103","15.06","15.06","-29.4",
"Balding, A M","30","1","8","3.33","26.67","-27.25","59","3","17","5.08","28.81","-22.25","1930","285","704","14.77","36.48","-346.78","7","30","1018","147","394","14.44","38.7","-190.24","345","114","215","33.04","33.04","-43.42","841","123","273","14.63","14.63","-99.2",
"Barclay, Stella","4","1","2","25","50","11","11","2","4","18.18","36.36","21","563","43","137","7.64","24.33","-37.2","5","1","259","21","65","8.11","25.1","-50.56","31","7","16","22.58","22.58","-9.53","466","39","118","8.37","8.37","31.72",
"Barcoe, James M","2","0","1","0","50","-2","6","0","3","0","50","-6","205","7","38","3.41","18.54","-87.67","21","10","121","3","21","2.48","17.36","-75.17","5","0","1","0","0","-5","143","6","31","4.2","4.2","-34.17",
"Barron, T D","5","1","4","20","80","-0.67","14","1","5","7.14","35.71","-9.67","474","53","142","11.18","29.96","-140.48","5","4","239","29","67","12.13","28.03","-23.47","58","16","35","27.59","27.59","-7.47","384","45","121","11.72","11.72","-82.06",
"Barry, David Richard","0","0","0","0","0","0","0","0","0","0","0","0","25","1","4","4","16","-20.5","729","25","15","0","2","0","13.33","-15","1","0","1","0","0","-1","11","1","4","9.09","9.09","-6.5",
"Beckett, R M","27","5","14","18.52","51.85","-6.47","51","9","22","17.65","43.14","-5.47","1260","232","511","18.41","40.56","-188.73","3","7","645","126","276","19.53","42.79","-110.9","296","110","192","37.16","37.16","-8.34","527","102","201","19.35","19.35","-53.81",
"Bell, M L W","11","2","2","18.18","18.18","-3.62","24","5","8","20.83","33.33","25.71","755","90","248","11.92","32.85","-219.32","1","1","403","48","128","11.91","31.76","-69.81","114","35","58","30.7","30.7","-16.19","456","54","145","11.84","11.84","-105.75",
"Benton, Craig","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","9999","9999","1","0","0","0","0","-1","0","0","0","0","0","0","1","0","0","0","0","-1",
"Berry, John","2","1","1","50","50","13","4","1","1","25","25","11","164","15","50","9.15","30.49","-37.81","6","1","81","10","22","12.35","27.16","-10.69","16","5","8","31.25","31.25","-1.14","135","14","43","10.37","10.37","-13.14",
"Best, Jim/Suzi","1","0","0","0","0","-1","3","0","0","0","0","-3","134","10","26","7.46","19.4","-36.75","78","21","75","5","14","6.67","18.67","-33","6","2","3","33.33","33.33","-1.25","88","9","22","10.23","10.23","3.75",
"Bethell, Ed","7","1","5","14.29","71.43","-4.8","19","5","11","26.32","57.89","-0.55","456","74","175","16.23","38.38","-84.24","4","7","237","38","97","16.03","40.93","-81.24","102","34","57","33.33","33.33","-14.2","258","46","100","17.83","17.83","-13.63",
"Birrane, F","0","0","0","0","0","0","0","0","0","0","0","0","53","1","9","1.89","16.98","48","662","46","30","0","5","0","16.67","-30","0","0","0","0","0","0","36","0","5","0","0","-36",
"Botti, M","10","1","4","10","40","-2.5","21","2","9","9.52","42.86","-9","831","95","269","11.43","32.37","-20.75","1","3","459","53","146","11.55","31.81","-50.83","82","13","41","15.85","15.85","-46.32","519","60","161","11.56","11.56","-33.95",
"Boughey, George","12","4","4","33.33","33.33","4.6","30","7","11","23.33","36.67","-4.77","1460","228","526","15.62","36.03","-350.53","1","1","651","94","226","14.44","34.72","-143.29","292","109","190","37.33","37.33","-21.23","818","137","303","16.75","16.75","-77.2",
"Boyle, J R","7","1","2","14.29","28.57","6","16","1","3","6.25","18.75","-3","440","42","117","9.55","26.59","-162.38","6","4","193","18","55","9.33","28.5","-81.92","41","10","21","24.39","24.39","-8.12","374","41","108","10.96","10.96","-104.88",
"Bridger, J / Cook, R","3","0","1","0","33.33","-3","6","1","2","16.67","33.33","-3.9","233","10","36","4.29","15.45","-145.52","12","5","119","9","30","7.56","25.21","-44.52","13","2","7","15.38","15.38","-8.52","177","10","34","5.65","5.65","-89.52",
"Brittain, Antony","4","0","0","0","0","-4","5","0","0","0","0","-5","566","33","138","5.83","24.38","-301.54","15","7","283","10","59","3.53","20.85","-200.37","21","8","11","38.1","38.1","4.21","483","31","118","6.42","6.42","-226.67",
"Broderick, J P","2","0","0","0","0","-2","3","0","0","0","0","-3","71","4","12","5.63","16.9","-46","346","33","39","1","2","2.56","5.13","-31","6","1","2","16.67","16.67","-1","49","3","11","6.12","6.12","-32",
"Bromhead, Henry De","4","2","3","50","75","8","16","3","8","18.75","50","0.33","1402","192","494","13.69","35.24","-275.5","3","3","702","102","256","14.53","36.47","-119.38","218","73","145","33.49","33.49","-29.26","552","53","155","9.6","9.6","-86.18",
