trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, Charlie","0","0","0","0","0","0","0","0","0","0","0","0","5","1","2","20","40","-0.5","13","4","8","30.77","61.54","8","702","205","373","29.2","53.13","-25.65","6","4","307","92","165","29.97","53.75","-4.5","334","140","217","41.92","41.92","-32.92","122","33","57","27.05","27.05","45.95",
"Appleby, M","4","0","0","0","0","-4","6","1","1","16.67","16.67","20","12","2","4","16.67","33.33","17.5","29","4","10","13.79","34.48","12.9","1735","196","554","11.3","31.93","-353.91","3","5","816","88","258","10.78","31.62","-167.99","266","71","143","26.69","26.69","-65.32","1482","160","468","10.8","10.8","-310.38",
"Attwater, M J","0","0","0","0","0","0","1","0","0","0","0","-1","5","0","1","0","20","-5","12","1","2","8.33","16.67","-5.5","587","35","118","5.96","20.1","-308.75","9","8","281","18","61","6.41","21.71","-154.29","26","6","12","23.08","23.08","-11.41","482","30","99","6.22","6.22","-228.8",
"Baker, George","0","0","0","0","0","0","2","0","1","0","50","-2","3","0","1","0","33.33","-3","8","0","3","0","37.5","-8","391","38","109","9.72","27.88","-33.75","16","9","202","17","42","8.42","20.79","39.38","29","8","13","27.59","27.59","-8.25","334","37","99","11.08","11.08","20.87",
"Balding, A M","0","0","0","0","0","0","1","0","0","0","0","-1","20","3","7","15","35","-8.04","69","8","22","11.59","31.88","-34.14","2005","303","760","15.11","37.91","-414.59","4","11","1098","170","438","15.48","39.89","-218.42","393","131","246","33.33","33.33","-57.12","883","136","308","15.4","15.4","-100.1",
"Barron, T D","1","0","0","0","0","-1","2","0","0","0","0","-2","9","1","2","11.11","22.22","1","16","3","4","18.75","25","3.75","497","54","153","10.87","30.78","-130.01","6","8","251","29","75","11.55","29.88","-57.8","55","14","29","25.45","25.45","-11.55","412","49","134","11.89","11.89","-61.77",
"Beckett, R M","0","0","0","0","0","0","0","0","0","0","0","0","12","4","7","33.33","58.33","-1.82","31","10","17","32.26","54.84","7.48","1290","243","540","18.84","41.86","-169.4","4","3","632","116","264","18.35","41.77","-103.3","316","122","213","38.61","38.61","-6.85","511","103","205","20.16","20.16","2.28",
"Bedi, Miss J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113","6","17","5.31","15.04","-14","16","1","56","4","9","7.14","16.07","27","1","0","0","0","0","-1","97","6","17","6.19","6.19","2",
"Bell, M L W","0","0","0","0","0","0","0","0","0","0","0","0","12","1","1","8.33","8.33","-7.5","21","1","4","4.76","19.05","-16.5","774","99","249","12.79","32.17","-210.52","7","12","410","57","124","13.9","30.24","-70.95","111","41","62","36.94","36.94","5.44","462","59","147","12.77","12.77","-90.82",
"Bolger, E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","17","46","10.37","28.05","-86.04","26","2","80","9","24","11.25","30","-37.5","18","7","13","38.89","38.89","3.63","82","9","23","10.98","10.98","-38.54",
"Botti, M","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","16","3","6","18.75","37.5","5.33","831","93","256","11.19","30.81","-137.96","9","8","462","56","144","12.12","31.17","-86.54","86","21","49","24.42","24.42","-25.11","526","58","160","11.03","11.03","-119.78",
