trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Appleby, M","25","7","11","28","44","13.88","46","11","20","23.91","43.48","36.09","1994","234","587","11.74","29.44","-148.96","1","2","919","123","280","13.38","30.47","-93.77","255","75","148","29.41","29.41","-24.16","1723","204","526","11.84","11.84","-134.66",
"Attwater, M J","10","1","2","10","20","-6.75","20","2","3","10","15","-6.75","636","34","128","5.35","20.13","-238.39","6","7","335","19","72","5.67","21.49","-147.55","21","7","13","33.33","33.33","0.86","510","30","108","5.88","5.88","-172.3",
"Balding, A M","27","3","9","11.11","33.33","5","64","8","20","12.5","31.25","5.63","1887","292","693","15.47","36.72","-34.51","1","1","965","138","348","14.3","36.06","-113.74","306","94","184","30.72","30.72","-66.84","890","135","316","15.17","15.17","-77.28",
"Banham, Chelsea","4","1","2","25","50","3.5","6","1","2","16.67","33.33","1.5","330","24","75","7.27","22.73","-128.49","6","2","141","10","29","7.09","20.57","-35.25","23","8","16","34.78","34.78","4.51","250","18","58","7.2","7.2","-102",
"Beckett, R M","17","4","10","23.53","58.82","-3.72","42","8","17","19.05","40.48","-11.44","1099","199","434","18.11","39.49","-93.23","1","1","538","82","198","15.24","36.8","-112.66","269","101","167","37.55","37.55","14.99","537","98","207","18.25","18.25","-89.62",
"Bell, M L W","17","3","7","17.65","41.18","-3.67","25","4","9","16","36","0.33","680","93","215","13.68","31.62","-177.76","3","6","338","43","109","12.72","32.25","-132.9","108","32","57","29.63","29.63","-23.25","398","56","125","14.07","14.07","-84.94",
"Botti, M","18","4","7","22.22","38.89","0.25","26","5","10","19.23","38.46","0.25","811","101","259","12.45","31.94","17.54","1","1","389","58","133","14.91","34.19","148.52","105","29","55","27.62","27.62","-22.59","513","69","157","13.45","13.45","-28.96",
"Boughey, George","19","1","4","5.26","21.05","-15.25","46","2","10","4.35","21.74","-37.92","976","166","372","17.01","38.11","-226.9","3","12","640","101","233","15.78","36.41","-203.33","224","92","150","41.07","41.07","10.27","517","89","200","17.21","17.21","-91.77",
"Bowring, S R","1","0","0","0","0","-1","2","0","1","0","50","-2","174","28","62","16.09","35.63","23.95","19","4","89","15","35","16.85","39.33","17.51","29","8","12","27.59","27.59","-2.8","143","22","50","15.38","15.38","13.01",
"Boyle, J R","12","1","4","8.33","33.33","-5.5","16","2","5","12.5","31.25","-1","412","44","103","10.68","25","-146.06","7","12","209","16","43","7.66","20.57","-104.96","44","14","24","31.82","31.82","1.9","336","38","88","11.31","11.31","-99.22",
"Brown, A D","2","0","0","0","0","-2","2","0","0","0","0","-2","167","19","42","11.38","25.15","67.83","76","21","117","15","33","12.82","28.21","67.33","10","3","5","30","30","1","118","13","29","11.02","11.02","11.58",
"Burke, K R","22","6","11","27.27","50","17.03","52","8","23","15.38","44.23","-6.97","1536","206","530","13.41","34.51","-170.81","2","3","794","125","294","15.74","37.03","-39.88","213","80","138","37.56","37.56","23.61","819","98","266","11.97","11.97","-23.49",
"Butler, John","9","1","2","11.11","22.22","-6.12","22","1","3","4.55","13.64","-19.12","837","87","218","10.39","26.05","-207.9","7","9","435","51","127","11.72","29.2","-82.03","79","29","56","36.71","36.71","10.01","653","71","180","10.87","10.87","-162.36",
"Butler, P","0","0","0","0","0","0","0","0","0","0","0","0","115","0","5","0","4.35","-115","1021","150","32","0","1","0","3.13","-32","0","0","0","0","0","0","94","0","4","0","0","-94",
"Camacho, Miss J A","12","4","6","33.33","50","7.58","21","5","9","23.81","42.86","6.58","536","61","166","11.38","30.97","-133.19","6","8","289","39","92","13.49","31.83","-8.35","73","18","37","24.66","24.66","-14.23","405","48","128","11.85","11.85","-89.44",
"Carr, Mrs R A","9","1","2","11.11","22.22","-4.67","22","3","6","13.64","27.27","13.33","755","44","148","5.83","19.6","-224.76","1","2","375","21","70","5.6","18.67","-104.34","30","4","13","13.33","13.33","-12.59","696","40","137","5.75","5.75","-193.09",
"Carson, Anthony","2","0","0","0","0","-2","4","1","1","25","25","4.5","229","8","31","3.49","13.54","-108","14","3","102","3","12","2.94","11.76","-80","7","0","3","0","0","-7","155","5","21","3.23","3.23","-86",
"Carter, Lee","2","0","1","0","50","-2","4","0","2","0","50","-4","195","6","26","3.08","13.33","-105.62","426","111","86","0","11","0","12.79","-86","7","1","4","14.29","14.29","-4.12","170","5","20","2.94","2.94","-92.62",
"Chamings, P R","6","1","2","16.67","33.33","1","8","1","2","12.5","25","-1","320","25","87","7.81","27.19","-7","6","4","151","13","41","8.61","27.15","-0.5","22","2","9","9.09","9.09","-13.5","281","23","79","8.19","8.19","17",
"Coakley, D J","1","0","1","0","100","-1","3","0","1","0","33.33","-3","209","26","71","12.44","33.97","-0.96","20","4","81","11","23","13.58","28.4","21.84","30","7","18","23.33","23.33","-8.29","154","24","62","15.58","15.58","47.04",
