Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,
"2022-05-16","13:10:00","Ffos Las","JPR Phoenix Novices Chase (GBB Race)","2m ","16","Class 3","Good","7733","4","Left Handed","1","Wild Max (GER)","7","Williams, Lorcan","0","Nicholls, P F","0","133","162","0.29","'P0P4321","12"," TT","Maxios","Wildfahrte (GER)","Gelding","D","13",
"2022-05-16","13:10:00","Ffos Las","JPR Phoenix Novices Chase (GBB Race)","2m ","16","Class 3","Good","7733","4","Left Handed","2","Boston Joe (IRE)","6","Bowen, Sean P","0","Curtis, Miss Rebecca","0","0","156","16.00","857","151"," TT","Sageburg (IRE)","Supreme Millie (IRE)","Gelding",,"13",
"2022-05-16","13:10:00","Ffos Las","JPR Phoenix Novices Chase (GBB Race)","2m ","16","Class 3","Good","7733","4","Left Handed","3","Timberman (IRE)","7","Brennan, P J","0","OBrien, Fergal","0","123","156","3.00","6143145","54","Hood TT","Califet (FR)","Millrock Lady (IRE)","Gelding","D","13",
"2022-05-16","13:10:00","Ffos Las","JPR Phoenix Novices Chase (GBB Race)","2m ","16","Class 3","Good","7733","4","Left Handed","4","Vanderbilt (IRE)","8","Davies, James","0","Gillard, Mark","0","79","156","40.00","2484334","13",,"Intense Focus (USA)","Star Of The West","Gelding",,"13",
"2022-05-16","13:20:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","5f ","5","Class 4","Good To Firm","6210","6","Straight","1","Al Hitmi","2","Hart, Jason","0","Burke, K R","1","0","133","4.50","none","1",,"Harry Angel (IRE)","Azma (USA)","Colt",,"0",
"2022-05-16","13:20:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","5f ","5","Class 4","Good To Firm","6210","6","Straight","2","Deguello (IRE)","2","Pearson, Laura","3","Loughnane, David","2","0","133","2.75","none",,,"Dark Angel (IRE)","Lady Springbank (IRE)","Colt",,"0",
"2022-05-16","13:20:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","5f ","5","Class 4","Good To Firm","6210","6","Straight","3","Monte Forte","2","Stott, Kevin","0","Ryan, K A","6","0","133","3.50","none",,,"Cotai Glory","Miss Poppy","Colt",,"0",
"2022-05-16","13:20:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","5f ","5","Class 4","Good To Firm","6210","6","Straight","4","Carmentis (IRE)","2","Mullen, Andrew","0","Haslam, B M R","4","0","128","9.00","none",,,"Kodiac","Capriole","Filly",,"0",
"2022-05-16","13:20:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","5f ","5","Class 4","Good To Firm","6210","6","Straight","5","Dixiedoodledragon (IRE)","2","James, S H","0","Dalgleish, Keith","3","0","128","12.00","none",,,"Dragon Pulse (IRE)","Dixiedoodledandy (IRE)","Filly",,"0",
"2022-05-16","13:20:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","5f ","5","Class 4","Good To Firm","6210","6","Straight","6","Queen Of Deauville (IRE)","2","Norton, Francis","0","Johnston, M","5","0","128","2.75","none",,,"Showcasing","Syann (IRE)","Filly",,"0",
"2022-05-16","13:35:00","Redcar","Pat & Les Holmes Memorial Restricted Maiden Stakes","1m ","8","Class 6","Good To Firm","3780","10","Straight","1","Marcello Si","4","Beasley, Connor","0","Dods, M","7","0","142","80.00","60","9",,"Marcel (IRE)","Serenata Mia","Gelding",,"0",
"2022-05-16","13:35:00","Redcar","Pat & Les Holmes Memorial Restricted Maiden Stakes","1m ","8","Class 6","Good To Firm","3780","10","Straight","2","Aguaplano","3","Hogan, D E","0","Botti, M","6","77","130","0.73","'03522","32",,"Outstrip","Ile Flottante","Gelding",,"0",
