horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Dunnington Lad (IRE)","13:50:00","2022-07-06","Catterick","Flat (Turf)","Claimer","5f ","5","Good","4","Class 5","4","1","Curtis, B A","0.4","Evans, P D","135","80","1",,
"Dunnington Lad (IRE)","15:20:00","2022-07-02","Leicester","Flat (Turf)","Seller","6f ","6","Good To Soft","7","Class 3","27","2","Cosgrave, Pat","1.38","Evans, P D","133","80","1","1",
"Dunnington Lad (IRE)","14:40:00","2022-06-05","Goodwood","Flat (Turf)","Seller","5f ","5","Good","4","Class 3","10","1","Cosgrave, Pat","1.25","Evans, P D","132","0","5",,
"Dunnington Lad (IRE)","18:15:00","2022-05-26","Sandown","Flat (Turf)","Non-Handicap","5f ","5","Good To Soft","7","Listed Race","22","7","Cosgrave, Pat","40","Evans, P D","131","0","5","16.9",
"Exquisitely","19:05:00","2022-10-11","Newcastle","All Weather","Novices","5f ","5","Standard","9","Class 5","13","2","Lee, Clifford","2","Burke, K R","125","0","6","0.03",
"Exquisitely","13:00:00","2022-09-28","Nottingham","Flat (Turf)","Maiden","5f ","5","Good To Firm","13","Class 4","131","3","Lee, Clifford","8","Burke, K R","128","0","12","0.65",
"Exquisitely","17:53:00","2022-05-20","Catterick","Flat (Turf)","Maiden","5f ","5","Good","9","Class 5","No Prev","6","Lee, Clifford","1.25","Burke, K R","128","0","1","6.1",
"Royal Mariner (IRE)","17:20:00","2022-10-26","Kempton","All Weather","Handicap Nursery","6f ","6","Standard To Slow","10","Class 5","67","6","Queally, T P","14","Tate, James","133","73","5","7.15",
"Royal Mariner (IRE)","18:00:00","2022-08-20","Chelmsford City","All Weather","Handicap Nursery","6f ","6","Standard","6","Class 4","14","6","Ghiani, Marco","4.5","Tate, James","126","74","6","17.5",
"Royal Mariner (IRE)","18:05:00","2022-08-06","Lingfield","All Weather","Handicap Nursery","6f ","6","Standard","4","Class 6","31","1","Ghiani, Marco","0.73","Tate, James","134","65","4",,
"Royal Mariner (IRE)","14:30:00","2022-07-06","Lingfield","All Weather","Handicap Nursery","6f ","6","Standard","5","Class 6","11","1","Callan, N","1.1","Tate, James","130","60","5",,
"Royal Mariner (IRE)","14:15:00","2022-06-25","Windsor","Flat (Turf)","Novices","6f ","6","Good To Firm","7","Class 5","41","4","Callan, N","25","Tate, James","133","0","3","8.55",
"Tephi (IRE)","13:35:00","2022-10-25","Catterick","Flat (Turf)","Novices","5f ","5","Soft","7","Class 5","11","2","Stott, Kevin","1.63","Boughey, George","128","73","1","3",
"Tephi (IRE)","14:15:00","2022-10-14","Haydock","Flat (Turf)","Novices","6f ","6","Heavy","4","Class 4","16","3","Cosgrave, Pat","2.25","Boughey, George","128","73","1","4",
"Tephi (IRE)","13:00:00","2022-09-28","Nottingham","Flat (Turf)","Maiden","5f ","5","Good To Firm","13","Class 4","14","2","Moore, Ryan","1.63","Boughey, George","128","73","8","0.15",
"Tephi (IRE)","15:27:00","2022-09-14","Beverley","Flat (Turf)","Novices","5f ","5","Soft","9","Class 5","36","2","Stott, Kevin","5.5","Boughey, George","128","0","2","0.1",
"Tephi (IRE)","14:00:00","2022-08-09","Lingfield","All Weather","Novices","5f ","5","Standard","8","Class 4","10","2","Buick, William","11","Boughey, George","128","0","2","0.05",
"Wakai Umi (IRE)","19:00:00","2022-10-21","Dundalk","All Weather","Handicap Nursery","5f ","5","Standard","10","Ire","25","1","Powell, J A","5","Murphy, Ciaran","117","66","1",,
"Wakai Umi (IRE)","14:05:00","2022-09-26","Down Royal","Flat (Turf)","Handicap Nursery","5f ","5","Yielding To Soft","6","Ire","11","2","Foley, Shane","1.75","Murphy, Ciaran","132","67","1","3.75",
"Wakai Umi (IRE)","15:45:00","2022-09-15","Naas","Flat (Turf)","Handicap Nursery","5f ","5","Good To Yielding","14","Ire","13","1","Foley, Shane","12","Murphy, Ciaran","121","58","10",,
"Wakai Umi (IRE)","16:05:00","2022-09-02","Down Royal","Flat (Turf)","Maiden","5f ","5","Good","7","Ire","77","5","Foley, Shane","18","Murphy, Ciaran","128","0","8","6.9",
"Wakai Umi (IRE)","16:55:00","2022-06-17","Down Royal","Flat (Turf)","Maiden","5f ","5","Good To Yielding","11","Ire","30","10","Cleary, R P","20","Murphy, Ciaran","128","0","4","16.7",
"Edge Of Darkness (IRE)","14:37:00","2022-10-03","Windsor","Flat (Turf)","Handicap Nursery","1m2f ","10","Good","7","Class 5","11","4","Atzeni, Andrea","2.5","Johnston, M","137","77","6","4.35",
"Edge Of Darkness (IRE)","15:28:00","2022-09-22","Pontefract","Flat (Turf)","Novices","1m ","8","Good","9","Class 5","16","4","Kingscote, Richard","4","Johnston, M","130","0","7","1.4",
"Edge Of Darkness (IRE)","14:30:00","2022-09-06","Goodwood","Flat (Turf)","Maiden","1m ","8","Soft","7","Class 2","24","4","Kingscote, Richard","7","Johnston, M","133","0","7","3.25",
"Edge Of Darkness (IRE)","14:15:00","2022-08-13","Ripon","Flat (Turf)","Novices","1m ","8","Good To Firm","9","Class 4","No Prev","4","Curtis, B A","4.5","Johnston, M","131","0","9","3.8",
"Look Back Smiling (IRE)","16:45:00","2022-11-01","Newcastle","All Weather","Handicap Nursery","7f ","7","Standard To Slow","9","Class 4","18","6","Lee, Clifford","12","Tutty, Gemma","127","75","5","5.65",
"Look Back Smiling (IRE)","13:59:00","2022-10-14","Redcar","Flat (Turf)","Novices","6f ","6","Good To Soft","15","Class 5","19","5","Farragher, Adam J","8.5","Dunlop, E A L","132","75","2","3.75",
