Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","40","6","11","15","27.5","-5","1265","129","384","10.2","30.36","-358.1","1","1","673","62","196","9.21","29.12","-220.36","170","55","101","32.35","32.35","9.95","983","112","323","11.39","11.39","-190.71",
"Anderson, Joe","3","2","2","66.67","66.67","2.75","166","25","61","15.06","36.75","-25.29","1","2","78","16","36","20.51","46.15","9.33","19","6","13","31.58","31.58","0.38","138","21","54","15.22","15.22","-24.04",
"Armson, Philip","5","2","2","40","40","4.33","487","40","121","8.21","24.85","-136.84","9","3","206","12","32","5.83","15.53","4.41","46","7","25","15.22","15.22","-23.21","415","38","113","9.16","9.16","-195.17",
"Atkins, Mr Harry","0","0","0","0","0","0","30","3","8","10","26.67","-7.62","79","5","27","3","8","11.11","29.63","-4.62","4","1","2","25","25","-1.12","24","3","6","12.5","12.5","-1.62",
"Bass, David","2","0","0","0","0","-2","487","70","167","14.37","34.29","-62.75","21","3","236","38","82","16.1","34.75","0.56","76","21","42","27.63","27.63","-26.6","265","33","84","12.45","12.45","-32.36",
"Beasley, Connor","39","4","16","10.26","41.03","-19.17","1459","169","499","11.58","34.2","-227.47","2","4","721","77","244","10.68","33.84","-158.12","205","50","121","24.39","24.39","-50.65","1057","124","370","11.73","11.73","-107.35",
"Bennett, Charlie","9","0","1","0","11.11","-9","568","17","93","2.99","16.37","-446.62","19","15","263","7","47","2.66","17.87","-222","21","3","11","14.29","14.29","-9.5","407","14","77","3.44","3.44","-302.12",
"Bowen, S D","19","2","6","10.53","31.58","-10.25","391","29","95","7.42","24.3","-74.54","6","6","249","24","64","9.64","25.7","-6.54","29","7","16","24.14","24.14","-7.54","321","22","76","6.85","6.85","-64.54",
"Bowen, Sean P","23","1","8","4.35","34.78","-8","1301","265","506","20.37","38.89","114.02","14","22","746","148","281","19.84","37.67","142.45","321","138","203","42.99","42.99","8.27","843","153","307","18.15","18.15","5.86",
"Brennan, P J","1","0","0","0","0","-1","618","133","276","21.52","44.66","-104.98","17","2","240","53","104","22.08","43.33","-27.65","178","76","117","42.7","42.7","1.16","310","65","122","20.97","20.97","-53.77",
"Breslin, Andrew","12","1","1","8.33","8.33","-8.75","252","15","41","5.95","16.27","-110.62","2","3","110","3","13","2.73","11.82","-77.75","10","3","3","30","30","-2.12","221","15","37","6.79","6.79","-79.62",
"Brookes, Aiden","11","2","4","18.18","36.36","107","354","37","79","10.45","22.32","96.71","11","9","211","15","41","7.11","19.43","71.25","23","9","14","39.13","39.13","6.46","310","36","73","11.61","11.61","134.71",
