Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Foley, J B","2","0","0","0","0","-2","604","60","154","9.93","25.5","-226.6","115","42","289","21","61","7.27","21.11","-153.91","62","18","33","29.03","29.03","-10.93","367","38","89","10.35","10.35","-89.54",
"Fox, Derek R","9","3","4","33.33","44.44","24","526","72","160","13.69","30.42","121.16","1","2","285","39","89","13.68","31.23","20.2","65","21","35","32.31","32.31","-1.71","368","45","106","12.23","12.23","-73.34",
"Gainford, Mr J C","15","1","3","6.67","20","-13.09","778","87","213","11.18","27.38","-42.1","1","1","355","30","70","8.45","19.72","-35.1","86","23","45","26.74","26.74","-8.22","420","43","107","10.24","10.24","30.31",
"Gale, Miss Elizabeth","1","0","0","0","0","-1","12","2","4","16.67","33.33","-4.75","76","9","12","2","4","16.67","33.33","-4.75","1","1","1","100","100","1.25","9","2","3","22.22","22.22","-1.75",
"Garritty, Billy","13","0","2","0","15.38","-13","766","84","237","10.97","30.94","11.59","32","30","355","36","113","10.14","31.83","14.03","83","22","53","26.51","26.51","-17.65","608","64","179","10.53","10.53","-164.81",
"Gethings, Ciaran","10","0","1","0","10","-10","563","55","146","9.77","25.93","-233.62","28","21","244","27","68","11.07","27.87","-133.45","49","15","25","30.61","30.61","-11.78","336","31","81","9.23","9.23","-125.76",
"Gillard, Mr T","12","1","4","8.33","33.33","-3","443","49","134","11.06","30.25","-95.15","1","1","212","26","58","12.26","27.36","-41.74","38","14","23","36.84","36.84","3.98","337","39","102","11.57","11.57","-49",
"Harney, T P","2","0","0","0","0","-2","84","8","21","9.52","25","-32.34","98","11","51","7","15","13.73","29.41","-5.34","1","1","1","100","100","3.33","21","2","3","9.52","9.52","2",
"Harrison, Liam","10","2","4","20","40","13","345","48","122","13.91","35.36","-99.29","8","7","163","14","45","8.59","27.61","-61.05","61","18","35","29.51","29.51","-13.25","225","30","71","13.33","13.33","-43.05",
"Harvey, A","1","0","0","0","0","-1","33","2","4","6.06","12.12","-19.5","41","4","12","1","2","8.33","16.67","-4.5","0","0","0","0","0","0","9","0","0","0","0","-9",
"Harvey, Mr B W","12","0","2","0","16.67","-12","175","24","57","13.71","32.57","-38.58","15","13","114","20","38","17.54","33.33","4.79","19","6","10","31.58","31.58","-0.12","54","6","15","11.11","11.11","-4",
"Hayes, Brian","11","0","2","0","18.18","-11","697","67","174","9.61","24.96","-282.4","21","17","310","23","68","7.42","21.94","-172.85","65","25","45","38.46","38.46","3.64","310","27","80","8.71","8.71","-91.5",
