Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Andrews, Bridget","8","0","0","0","0","-8","240","30","67","12.5","27.92","-61.82","191","10","109","15","26","13.76","23.85","-21.57","35","13","21","37.14","37.14","-4.57","134","10","28","7.46","7.46","-60.8",
"Armson, Philip","10","0","0","0","0","-10","420","37","109","8.81","25.95","-177.42","20","15","302","30","93","9.93","30.79","-148.75","43","8","24","18.6","18.6","-15.88","376","37","106","9.84","9.84","-133.42",
"Atzeni, Andrea","29","3","8","10.34","27.59","-8.25","896","149","341","16.63","38.06","-35.65","2","7","414","80","169","19.32","40.82","9.89","178","59","108","33.15","33.15","-26.05","459","77","165","16.78","16.78","11.16",
"Austin, Edward","1","0","1","0","100","-1","86","7","19","8.14","22.09","-36","196","24","75","7","19","9.33","25.33","-25","8","2","6","25","25","-1.5","65","4","14","6.15","6.15","-41",
"Bass, David","13","4","8","30.77","61.54","0.8","570","88","194","15.44","34.04","-72.32","4","5","237","33","87","13.92","36.71","-44.56","107","35","65","32.71","32.71","-13.12","308","38","93","12.34","12.34","-92.13",
"Bass, George","14","1","2","7.14","14.29","-4","472","45","117","9.53","24.79","-35.44","12","13","237","24","56","10.13","23.63","1.14","26","10","14","38.46","38.46","1.06","366","40","98","10.93","10.93","1.06",
"Beasley, Connor","29","3","6","10.34","20.69","-1","1237","154","419","12.45","33.87","-155.82","7","12","758","91","259","12.01","34.17","-93.27","187","52","105","27.81","27.81","-14.05","884","120","317","13.57","13.57","-23.5",
"Bellamy, Mr A","2","0","0","0","0","-2","109","9","26","8.26","23.85","-52.25","249","27","63","7","21","11.11","33.33","-13.75","14","5","7","35.71","35.71","3","91","8","22","8.79","8.79","-36.25",
"Bellamy, Tom","27","3","9","11.11","33.33","-16.24","805","100","258","12.42","32.05","-209.06","3","5","415","52","144","12.53","34.7","-157.54","87","38","55","43.68","43.68","13.4","472","60","151","12.71","12.71","-86.9",
"Bewley, Callum","9","2","2","22.22","22.22","5","560","33","112","5.89","20","-260.32","5","4","301","17","52","5.65","17.28","-159.2","34","8","17","23.53","23.53","-9.28","321","24","80","7.48","7.48","-146.95",
"Bishop, Charles","25","2","7","8","28","-6","769","68","179","8.84","23.28","-234.61","3","6","322","34","85","10.56","26.4","-106.6","53","17","34","32.08","32.08","-3.76","461","40","104","8.68","8.68","-107.86",
"Blackmore, Rachael","5","0","0","0","0","-5","922","146","359","15.84","38.94","-317.95","18","11","455","66","160","14.51","35.16","-157.98","217","75","132","34.56","34.56","-50.22","351","27","104","7.69","7.69","-130.21",
"Bowen, James C","20","2","4","10","20","32.22","720","117","255","16.25","35.42","6.94","1","1","337","59","125","17.51","37.09","36.99","114","43","77","37.72","37.72","4.01","447","76","162","17","17","100.86",
"Bowen, Sean P","29","3","8","10.34","27.59","-12.4","1063","212","407","19.94","38.29","-93.37","8","18","550","116","222","21.09","40.36","-36.13","258","114","170","44.19","44.19","19.62","706","132","252","18.7","18.7","-36.54",
"Brace, Connor","9","1","4","11.11","44.44","-7.47","380","45","109","11.84","28.68","-25.08","10","7","185","26","55","14.05","29.73","2.89","37","16","23","43.24","43.24","8.79","222","30","66","13.51","13.51","4.65",
"Brennan, P J","27","7","11","25.93","40.74","-2.41","831","177","369","21.3","44.4","-81.39","1","1","371","85","168","22.91","45.28","-35.58","232","93","150","40.09","40.09","-6.72","430","81","167","18.84","18.84","-32.45",
"Brooke, Henry","21","0","6","0","28.57","-21","598","59","171","9.87","28.6","-211.15","15","22","273","28","82","10.26","30.04","-83.04","61","21","38","34.43","34.43","4.44","377","46","120","12.2","12.2","-97.88",
"Brookes, Aiden","11","0","3","0","27.27","-11","238","27","60","11.34","25.21","-28.54","35","27","159","21","39","13.21","24.53","-7.04","20","7","12","35","35","1.96","205","27","58","13.17","13.17","4.46",
"Brouder, Gavin","7","1","1","14.29","14.29","1.5","273","16","46","5.86","16.85","-31.64","2","1","119","7","20","5.88","16.81","39.7","8","2","3","25","25","-1.47","186","11","35","5.91","5.91","-40.47",
"Bryan, Joshua","8","1","4","12.5","50","3","312","27","86","8.65","27.56","-77.18","8","5","174","17","50","9.77","28.74","-4.27","24","7","19","29.17","29.17","-3.89","200","18","55","9","9","-34.41",
"Buckley, Kieran","7","0","1","0","14.29","-7","286","35","97","12.24","33.92","-68.06","21","14","193","23","66","11.92","34.2","-49.32","39","14","26","35.9","35.9","5.19","210","27","67","12.86","12.86","-39.17",
"Burke, Jonathan","28","6","12","21.43","42.86","-3.41","836","111","264","13.28","31.58","-171.17","4","10","439","64","143","14.58","32.57","-52.55","101","42","61","41.58","41.58","17.87","527","68","169","12.9","12.9","-105.61",
"Byrnes, Mr P","8","3","5","37.5","62.5","2.5","112","19","42","16.96","37.5","-27.42","7","4","48","8","20","16.67","41.67","-14.9","19","11","13","57.89","57.89","16.08","37","8","14","21.62","21.62","6.75",
"Callaghan, Mr K","2","0","0","0","0","-2","116","9","23","7.76","19.83","-60.38","22","4","104","8","20","7.69","19.23","-63.38","10","4","8","40","40","-1.38","65","2","9","3.08","3.08","-43",
"Callan, N","33","4","12","12.12","36.36","22.75","582","77","195","13.23","33.51","93.58","3","11","478","65","166","13.6","34.73","88.42","85","24","47","28.24","28.24","-12.89","380","54","130","14.21","14.21","60.4",
"Cannon, Tom J","15","6","7","40","46.67","9.73","827","144","308","17.41","37.24","-144.51","2","4","426","85","168","19.95","39.44","-81.78","148","71","106","47.97","47.97","17.36","444","66","133","14.86","14.86","-68.59",
"Carberry, Peter","6","0","1","0","16.67","-6","273","7","31","2.56","11.36","-219","35","13","153","4","19","2.61","12.42","-126.5","6","1","3","16.67","16.67","-3.5","134","6","22","4.48","4.48","-88.5",
"Carson, William","8","0","1","0","12.5","-8","744","45","150","6.05","20.16","-161.83","98","49","347","21","70","6.05","20.17","-127","41","16","29","39.02","39.02","11.29","554","38","121","6.86","6.86","-186.04",
"Cavanagh, Mr S","2","0","0","0","0","-2","62","3","10","4.84","16.13","-16","35","6","24","1","2","4.17","8.33","-12","2","0","1","0","0","-2","11","2","3","18.18","18.18","18",
