Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Smith, J","6","2","3","33.33","50","3.25","34","5","11","14.71","32.35","-0.75","2","1","34","5","11","14.71","32.35","-0.75","6","3","5","50","50","7.25","30","4","9","13.33","13.33","-11.75",
"Smithers, C D","5","0","1","0","20","-5","102","3","12","2.94","11.76","-83.83","20","6","79","3","11","3.8","13.92","-60.83","4","1","4","25","25","-2.33","53","1","4","1.89","1.89","-40",
"Smithers, P T","4","0","2","0","50","-4","88","3","13","3.41","14.77","-35","283","53","61","1","5","1.64","8.2","-38","1","0","0","0","0","-1","37","1","2","2.7","2.7","-28",
"Stammers, Oliver","16","1","3","6.25","18.75","-8.5","572","63","180","11.01","31.47","-92.44","12","11","292","32","95","10.96","32.53","-61.85","53","15","32","28.3","28.3","-9.09","491","57","164","11.61","11.61","-81.27",
"Stones, Lewis","3","0","1","0","33.33","-3","230","31","79","13.48","34.35","-31.8","44","10","133","19","42","14.29","31.58","4.58","24","8","14","33.33","33.33","2.41","195","26","67","13.33","13.33","-14.68",
"Stott, Kevin","26","3","12","11.54","46.15","-13.37","1438","222","551","15.44","38.32","-249.59","2","1","904","149","358","16.48","39.6","-118.52","273","96","179","35.16","35.16","-10.87","933","139","337","14.9","14.9","-114.37",
"Stratton, Miss M","0","0","0","0","0","0","0","0","0","0","0","0","9999","9999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Sullivan, James P","17","2","4","11.76","23.53","7","926","61","203","6.59","21.92","-195.21","1","3","425","38","123","8.94","28.94","-84","36","13","23","36.11","36.11","13.04","769","52","170","6.76","6.76","-167.33",
"Swan, H C","6","0","3","0","50","-6","279","30","107","10.75","38.35","-86.97","22","9","144","16","58","11.11","40.28","-81.89","37","11","24","29.73","29.73","-7.96","56","2","16","3.57","3.57","-44",
"Thomas, Mr Philip","2","1","1","50","50","0.38","14","2","3","14.29","21.43","-5.62","4","2","6","2","3","33.33","50","2.38","2","1","1","50","50","0.38","11","2","3","18.18","18.18","-2.62",
"Torrens, Simon","14","1","5","7.14","35.71","-9","734","38","143","5.18","19.48","-483.34","12","12","389","22","80","5.66","20.57","-221.32","37","12","24","32.43","32.43","-6.59","396","17","75","4.29","4.29","-234.87",
"Townend, P","14","3","7","21.43","50","-8.8","554","207","344","37.36","62.09","-97.79","6","5","301","117","192","38.87","63.79","-45.74","312","174","244","55.77","55.77","0.74","95","11","39","11.58","11.58","-35.42",
"Tucker, Miss Amy","0","0","0","0","0","0","9","0","1","0","11.11","-9","9999","9999","9","0","1","0","11.11","-9","0","0","0","0","0","0","9","0","1","0","0","-9",
"Tudhope, Daniel","43","10","18","23.26","41.86","4.52","1229","194","446","15.79","36.29","-93.07","1","2","602","87","204","14.45","33.89","-100.06","246","75","141","30.49","30.49","-42.94","765","110","267","14.38","14.38","-126.79",
"Tudor, Jack","12","0","0","0","0","-12","516","54","133","10.47","25.78","-112.41","56","30","277","29","67","10.47","24.19","-48.63","75","21","42","28","28","-18.95","368","45","110","12.23","12.23","-55.57",
"Turner, Hayley","22","0","2","0","9.09","-22","762","70","206","9.19","27.03","-298.14","49","72","383","33","101","8.62","26.37","-164.34","69","24","37","34.78","34.78","5.86","534","48","144","8.99","8.99","-218.64",
"Twiston-Davies, Sam","17","2","9","11.76","52.94","-6.5","1335","185","458","13.86","34.31","-241.93","8","10","645","86","219","13.33","33.95","-92.27","224","65","122","29.02","29.02","-56.42","857","122","282","14.24","14.24","-32.16",
"Walsh, E","10","0","1","0","10","-10","409","21","77","5.13","18.83","-214.79","55","42","206","9","36","4.37","17.48","-137.87","18","2","9","11.11","11.11","-11.25","217","12","52","5.53","5.53","-99.5",
"Walsh, M P","3","0","1","0","33.33","-3","546","103","230","18.86","42.12","-81.44","15","4","198","42","75","21.21","37.88","-7.08","158","59","99","37.34","37.34","-6.4","245","34","91","13.88","13.88","-70.04",
"Watson, Jason","28","2","4","7.14","14.29","-20","1279","146","395","11.42","30.88","-163.85","5","10","609","49","159","8.05","26.11","-240.44","162","47","101","29.01","29.01","-31","937","110","290","11.74","11.74","-112.58",
"Waugh, Amie","6","0","0","0","0","-6","299","11","42","3.68","14.05","-171.25","72","47","146","3","20","2.05","13.7","-88.75","13","2","2","15.38","15.38","-6.75","261","10","40","3.83","3.83","-139.25",
"Wedge, Adam","11","1","3","9.09","27.27","-7.75","968","115","243","11.88","25.1","-221.64","8","1","448","43","102","9.6","22.77","-172.76","107","42","62","39.25","39.25","10.12","672","88","174","13.1","13.1","-60.18",
"Wheatley, Zak","13","1","2","7.69","15.38","-9","316","31","71","9.81","22.47","4.83","3","3","174","16","41","9.2","23.56","-46.17","24","7","10","29.17","29.17","1.58","243","29","64","11.93","11.93","61.83",
"Whelan, Trevor","22","1","7","4.55","31.82","12","909","69","196","7.59","21.56","-294.24","14","22","425","30","95","7.06","22.35","-100.44","49","14","24","28.57","28.57","-6.41","599","51","145","8.51","8.51","-203.19",
"Whittington, Elisha","8","1","3","12.5","37.5","7","253","7","30","2.77","11.86","-140.5","2","2","158","6","23","3.8","14.56","-86.5","5","0","1","0","0","-5","208","7","29","3.37","3.37","-95.5",
"Wilding, Miss Iesha","0","0","0","0","0","0","0","0","0","0","0","0","9999","9999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Wilkie, Brandon","6","0","1","0","16.67","-6","145","12","33","8.28","22.76","-73.41","22","15","87","8","19","9.2","21.84","-34.29","11","1","5","9.09","9.09","-8.12","136","11","31","8.09","8.09","-68.74",
"Williams, Isabel","2","0","0","0","0","-2","206","26","55","12.62","26.7","-42.81","40","4","88","10","21","11.36","23.86","-20.29","16","9","11","56.25","56.25","10.11","165","21","47","12.73","12.73","-30.24",
"Williams, Jordan","0","0","0","0","0","0","162","13","46","8.02","28.4","-68.37","111","9","111","8","33","7.21","29.73","-47","8","3","5","37.5","37.5","1.13","140","12","41","8.57","8.57","-54.87",
"Winn, Mark","16","2","5","12.5","31.25","12","412","58","139","14.08","33.74","5.37","1","2","324","43","112","13.27","34.57","-44.84","51","16","34","31.37","31.37","4.21","371","55","129","14.82","14.82","28.54",
"Wonnacott, Millie","6","0","0","0","0","-6","47","2","6","4.26","12.77","-24.5","78","28","47","2","6","4.26","12.77","-24.5","1","0","0","0","0","-1","34","2","4","5.88","5.88","-11.5",
"Wood, George","11","0","4","0","36.36","-11","331","26","77","7.85","23.26","-109.07","23","22","196","16","44","8.16","22.45","-40.16","26","12","16","46.15","46.15","17.93","229","20","62","8.73","8.73","-68.82",
"Woods, K K","14","2","7","14.29","50","-2","576","88","217","15.28","37.67","-3.54","1","1","260","38","104","14.62","40","-54.79","96","31","61","32.29","32.29","-18.25","352","59","141","16.76","16.76","27.91",
 
