Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Mr J","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","3","0","0","0","0","-3","23","1","2","4.35","8.7","-11","32","6","16","1","1","6.25","6.25","-4","0","0","0","0","0","0","13","1","2","7.69","7.69","-1",
"Anderson, Joe","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","1","0","33.33","-3","223","29","78","13","34.98","-23.45","71","10","148","15","44","10.14","29.73","-30.03","21","8","13","38.1","38.1","4.72","181","24","68","13.26","13.26","-17.2",
"Anderson, Mr A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","240","12","40","5","16.67","-121","102","33","87","4","12","4.6","13.79","-38.5","7","1","2","14.29","14.29","-3.5","182","10","35","5.49","5.49","-75.5",
"Austin, Edward","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","12","31","7.06","18.24","-47.97","128","23","97","6","22","6.19","22.68","-23.1","9","6","7","66.67","66.67","11.53","126","10","28","7.94","7.94","-34.47",
"Barron, Mr R W","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","1","1","50","50","0.88","130","19","51","14.62","39.23","-0.73","10","2","69","13","30","18.84","43.48","10.27","12","3","8","25","25","-2.24","19","4","9","21.05","21.05","16",
"Bass, David","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","474","57","139","12.03","29.32","-126.48","120","39","240","19","57","7.92","23.75","-129.04","70","18","36","25.71","25.71","-27.28","263","33","72","12.55","12.55","-22.5",
"Bass, George","0","0","0","0","0","0","2","0","1","0","50","-2","6","0","4","0","66.67","-6","11","0","5","0","45.45","-11","339","31","99","9.14","29.2","-160.55","16","12","158","17","47","10.76","29.75","-75.51","24","9","13","37.5","37.5","3.96","250","28","85","11.2","11.2","-86.88",
"Beasley, Connor","0","0","0","0","0","0","8","0","2","0","25","-8","8","0","2","0","25","-8","8","0","2","0","25","-8","1270","142","435","11.18","34.25","-288.44","30","48","534","60","182","11.24","34.08","-146.99","169","44","105","26.04","26.04","-34.26","962","101","322","10.5","10.5","-275.43",
"Bennett, Charlie","0","0","0","0","0","0","1","0","0","0","0","-1","6","0","2","0","33.33","-6","13","0","3","0","23.08","-13","385","12","70","3.12","18.18","-273","65","38","116","4","21","3.45","18.1","-58","15","2","5","13.33","13.33","-7.5","282","9","57","3.19","3.19","-186.5",
"Berry, Mr R A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","37","2","8","5.41","21.62","-11","90","7","11","1","2","9.09","18.18","4","1","0","0","0","0","-1","15","2","4","13.33","13.33","11",
"Best, J A","1","0","0","0","0","-1","5","0","1","0","20","-5","5","0","1","0","20","-5","13","0","1","0","7.69","-13","725","40","138","5.52","19.03","-294.98","50","36","388","27","81","6.96","20.88","-174.11","29","10","15","34.48","34.48","2.36","490","38","126","7.76","7.76","-81.98",
"Bewley, Callum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","234","17","46","7.26","19.66","-89.21","62","9","161","12","32","7.45","19.88","-43.42","6","3","5","50","50","4.08","120","14","37","11.67","11.67","-5.09",
"Blackmore, Rachael","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","13","3","4","23.08","30.77","-6.15","891","128","329","14.37","36.92","-288.69","10","6","454","67","162","14.76","35.68","-161.2","179","56","110","31.28","31.28","-32.24","361","29","103","8.03","8.03","-163.62",
"Bond, Alice","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","71","3","13","4.23","18.31","-38.5","15","3","39","3","7","7.69","17.95","-6.5","0","0","0","0","0","0","59","3","13","5.08","5.08","-26.5",
"Bowen, James C","1","0","0","0","0","-1","3","1","2","33.33","66.67","-0.37","3","1","2","33.33","66.67","-0.37","8","2","5","25","62.5","-0.37","693","97","248","14","35.79","-123.78","2","2","471","75","186","15.92","39.49","-52.04","121","42","80","34.71","34.71","-5.33","409","62","140","15.16","15.16","-0.16",
"Bowen, Sean P","3","1","2","33.33","66.67","0","9","2","5","22.22","55.56","-4","10","2","5","20","50","-5","27","4","12","14.81","44.44","-15.3","1436","276","547","19.22","38.09","124.33","1","3","697","126","265","18.08","38.02","-34.19","361","146","213","40.44","40.44","2.53","937","159","324","16.97","16.97","-67.56",
"Bradley, Paddy","0","0","0","0","0","0","2","0","1","0","50","-2","8","2","5","25","62.5","-1.25","23","4","7","17.39","30.43","-7.75","590","51","148","8.64","25.08","-152.55","4","3","338","29","85","8.58","25.15","-87.71","34","8","16","23.53","23.53","-8.54","447","46","129","10.29","10.29","-33.05",
"Breslin, Andrew","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","8","2","3","25","37.5","16.5","371","17","70","4.58","18.87","-168","13","7","264","15","58","5.68","21.97","-90","11","1","4","9.09","9.09","-7.75","316","15","60","4.75","4.75","-147",
"Brouder, Gavin","0","0","0","0","0","0","1","0","0","0","0","-1","5","1","2","20","40","4","9","1","2","11.11","22.22","0","337","19","64","5.64","18.99","-161.87","5","2","162","10","27","6.17","16.67","-91.75","23","6","12","26.09","26.09","5.25","214","17","47","7.94","7.94","-46.25",
"Burke, Jonathan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","60","-5","744","101","268","13.58","36.02","-200.63","21","12","424","59","159","13.92","37.5","-85.65","117","49","81","41.88","41.88","9.2","427","48","138","11.24","11.24","-131.28",
"Burns, Harry","0","0","0","0","0","0","1","0","1","0","100","-1","3","0","1","0","33.33","-3","6","0","1","0","16.67","-6","302","24","75","7.95","24.83","-147.27","32","9","94","3","12","3.19","12.77","-58.5","17","5","10","29.41","29.41","-2.1","220","17","60","7.73","7.73","-112.01",
"Byrnes, Mr P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","3","0","42.86","-7","424","45","99","10.61","23.35","-182.67","30","13","241","21","51","8.71","21.16","-112.65","52","23","36","44.23","44.23","14.08","233","25","53","10.73","10.73","-83.17",
"Carson, William","0","0","0","0","0","0","1","0","0","0","0","-1","10","1","4","10","40","-5.5","19","1","5","5.26","26.32","-14.5","912","56","190","6.14","20.83","-454.92","6","7","459","36","117","7.84","25.49","-170.45","53","17","34","32.08","32.08","-0.92","721","51","168","7.07","7.07","-304.47",
"Carver, Bryan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","432","47","109","10.88","25.23","-154.37","51","10","252","23","57","9.13","22.62","-125.48","37","19","26","51.35","51.35","14.84","306","38","83","12.42","12.42","-65.54",
"Carver, William","0","0","0","0","0","0","2","1","1","50","50","11","6","2","4","33.33","66.67","10.75","10","3","5","30","50","17.75","279","23","63","8.24","22.58","-108.5","3","2","154","13","36","8.44","23.38","-59.5","20","2","8","10","10","-12","189","16","42","8.47","8.47","-67.75",
"Catton, Luke","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","4","0","0","0","0","-4","298","24","66","8.05","22.15","-111.47","18","6","156","11","36","7.05","23.08","-76.42","17","3","7","17.65","17.65","-9.8","254","23","56","9.06","9.06","-71.47",
"Chapman, Ross","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","435","42","95","9.66","21.84","-105.53","73","15","225","27","56","12","24.89","-26.24","37","14","23","37.84","37.84","2.56","311","38","76","12.22","12.22","-9.13",
"Clutterbuck, Rhys","0","0","0","0","0","0","3","0","1","0","33.33","-3","15","0","2","0","13.33","-15","34","1","4","2.94","11.76","-17","752","65","176","8.64","23.4","-240.24","8","16","409","37","91","9.05","22.25","-142.17","57","17","35","29.82","29.82","-8.24","528","53","138","10.04","10.04","-101.72",
