Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Scott, Rowan","14","2","5","14.29","35.71","-6.25","28","4","10","14.29","35.71","-12","898","74","257","8.24","28.62","-376.59","1","2","482","40","142","8.3","29.46","-191.75","58","14","33","24.14","24.14","-12.13","664","60","200","9.04","9.04","-218.59",
"Sexton, Mr H E","1","0","0","0","0","-1","2","0","0","0","0","-2","66","2","8","3.03","12.12","-25","416","54","46","0","3","0","6.52","-46","0","0","0","0","0","0","36","2","6","5.56","5.56","5",
"Shaw, Harrison","6","1","2","16.67","33.33","3.5","14","1","2","7.14","14.29","-4.5","461","29","108","6.29","23.43","-201.87","1","1","168","9","39","5.36","23.21","-44.75","34","7","19","20.59","20.59","-9","340","22","87","6.47","6.47","-126.25",
"Sheehan, Gavin","12","0","3","0","25","-12","14","0","5","0","35.71","-14","1008","168","366","16.67","36.31","-24.17","54","38","535","84","176","15.7","32.9","40.8","176","67","109","38.07","38.07","-2.72","618","97","210","15.7","15.7","-80.19",
"Shepherd, Callum","27","4","8","14.81","29.63","-10.84","46","5","16","10.87","34.78","-22.84","1423","165","450","11.6","31.62","-211.61","3","7","885","105","282","11.86","31.86","-149.88","161","54","94","33.54","33.54","-0.39","962","121","321","12.58","12.58","-142.51",
"Shinnick, J P","8","2","4","25","50","15.5","11","3","5","27.27","45.45","24.5","254","21","55","8.27","21.65","-71.25","2","2","167","18","45","10.78","26.95","-7.25","22","6","11","27.27","27.27","2","157","16","38","10.19","10.19","-20",
"Shoemark, Kieran","14","6","8","42.86","57.14","12.63","26","6","12","23.08","46.15","0.63","1086","139","356","12.8","32.78","-158.15","2","1","686","91","235","13.27","34.26","-45.29","136","47","77","34.56","34.56","-5.02","629","79","201","12.56","12.56","14.25",
"Skelton, Harry","4","2","3","50","75","1.95","7","3","4","42.86","57.14","1.83","948","200","438","21.1","46.2","-132.83","1","2","556","118","260","21.22","46.76","-72.64","303","113","201","37.29","37.29","-14.14","521","104","225","19.96","19.96","-28.38",
"Slatter, Mr N","1","0","1","0","100","-1","2","1","2","50","100","3.5","48","9","19","18.75","39.58","6.47","9","2","36","7","14","19.44","38.89","5.97","6","2","3","33.33","33.33","-2.53","35","4","10","11.43","11.43","-8.2",
"Slevin, J J","15","1","3","6.67","20","0","23","1","3","4.35","13.04","-8","929","80","235","8.61","25.3","-335.09","6","13","483","29","115","6","23.81","-232.25","76","21","46","27.63","27.63","-15.71","446","35","112","7.85","7.85","-81.75",
