Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","41","12","20","29.27","48.78","25.54","1269","152","406","11.98","31.99","-193.08","3","3","592","79","197","13.34","33.28","-159.09","184","62","112","33.7","33.7","5.04","940","130","320","13.83","13.83","-134.25",
"Atzeni, Andrea","20","4","12","20","60","7.25","1038","150","385","14.45","37.09","-227.42","4","5","409","61","156","14.91","38.14","-91.2","190","60","123","31.58","31.58","-33.12","541","84","201","15.53","15.53","-82.07",
"Bass, George","12","0","0","0","0","-12","398","35","102","8.79","25.63","-56.2","17","16","158","12","29","7.59","18.35","8.63","27","10","17","37.04","37.04","2.55","313","29","82","9.27","9.27","-39.95",
"Beasley, Connor","40","7","15","17.5","37.5","16.38","1053","135","370","12.82","35.14","-89.75","5","10","691","97","240","14.04","34.73","37.25","165","46","99","27.88","27.88","-5.73","746","106","281","14.21","14.21","12.06",
"Beech, Aled J","6","0","0","0","0","-6","227","15","38","6.61","16.74","-120.29","36","16","177","11","29","6.21","16.38","-100.29","10","4","7","40","40","2.38","165","13","33","7.88","7.88","-74.79",
"Bennett, Charlie","11","1","1","9.09","9.09","-8.62","751","41","136","5.46","18.11","-349.18","11","9","321","10","50","3.12","15.58","-213.12","34","8","16","23.53","23.53","-10.47","529","38","120","7.18","7.18","-136.43",
"Bishop, Charles","17","0","1","0","5.88","-17","887","67","190","7.55","21.42","-345.15","15","19","298","18","66","6.04","22.15","-89.62","56","17","33","30.36","30.36","-4.51","535","37","111","6.92","6.92","-204.29",
"Breslin, Andrew","7","0","1","0","14.29","-7","275","16","58","5.82","21.09","-102.5","52","36","132","9","31","6.82","23.48","-17","12","2","4","16.67","16.67","-6.75","240","16","56","6.67","6.67","-67.5",
"Brookes, Aiden","7","0","0","0","0","-7","136","10","33","7.35","24.26","-39","85","25","105","9","27","8.57","25.71","-16.5","10","1","5","10","10","-6.5","117","10","31","8.55","8.55","-20",
"Browne, L W","5","0","0","0","0","-5","145","13","28","8.97","19.31","24.83","49","26","136","12","25","8.82","18.38","-17.17","12","2","3","16.67","16.67","-2.67","116","10","21","8.62","8.62","42.33",
"Buick, William","53","13","31","24.53","58.49","-6.78","1684","366","741","21.73","44","-39.69","1","3","833","192","374","23.05","44.9","32.51","533","204","348","38.27","38.27","-0.09","931","170","351","18.26","18.26","-102.19",
"Callan, N","26","5","13","19.23","50","7.25","229","28","74","12.23","32.31","33.29","1","1","229","28","74","12.23","32.31","33.29","29","4","15","13.79","13.79","-16.42","154","21","48","13.64","13.64","30.91",
"Carson, William","19","4","8","21.05","42.11","89.5","794","52","157","6.55","19.77","-161.56","4","4","399","20","61","5.01","15.29","-153.39","39","16","27","41.03","41.03","11.56","596","44","128","7.38","7.38","-186.54",
"Carver, William","9","2","2","22.22","22.22","8.33","330","31","69","9.39","20.91","-139.06","5","3","143","15","26","10.49","18.18","-41.96","33","10","17","30.3","30.3","-6.39","251","25","55","9.96","9.96","-81.29",
"Cherchi, Stefano","9","2","4","22.22","44.44","-0.33","512","54","158","10.55","30.86","-173.69","10","6","295","32","97","10.85","32.88","-136.63","61","20","38","32.79","32.79","-6.02","377","41","114","10.88","10.88","-118.32",
"Clutterbuck, Rhys","19","1","6","5.26","31.58","-17.17","556","64","158","11.51","28.42","-112.83","8","11","377","42","110","11.14","29.18","-86.21","66","20","38","30.3","30.3","-4.91","457","56","140","12.25","12.25","-78.9",
"Coakley, Ross","19","4","9","21.05","47.37","9.25","534","57","145","10.67","27.15","-119.7","1","2","301","42","108","13.95","35.88","-38.7","40","20","30","50","50","14.89","313","39","93","12.46","12.46","-20.3",
"Cosgrave, Pat","25","1","10","4","40","-22.75","667","79","223","11.84","33.43","-116.1","2","4","378","45","128","11.9","33.86","-90.82","87","31","52","35.63","35.63","2.16","449","52","148","11.58","11.58","-54.41",
"Costello, Dougie","24","4","6","16.67","25","-7.8","850","69","216","8.12","25.41","-273.81","2","2","392","39","107","9.95","27.3","-152.06","63","20","35","31.75","31.75","2.19","633","57","170","9","9","-159",
"Cox, William","14","0","4","0","28.57","-14","414","22","82","5.31","19.81","-252.41","19","15","238","11","47","4.62","19.75","-156.29","18","7","12","38.89","38.89","5.34","308","19","71","6.17","6.17","-162.29",
"Crouch, Hector","21","1","5","4.76","23.81","-8","821","113","271","13.76","33.01","-55.36","3","6","392","55","131","14.03","33.42","1.72","124","46","78","37.1","37.1","16.35","480","72","166","15","15","82.05",
"Crowley, Jim","24","7","15","29.17","62.5","4.6","1056","200","404","18.94","38.26","-58.7","4","7","425","90","172","21.18","40.47","69.04","267","96","166","35.96","35.96","-34.77","518","73","170","14.09","14.09","-72.05",
