Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Anderson, Mr A","2","0","1","0","50","-2","249","9","36","3.61","14.46","-189.12","27","9","73","3","9","4.11","12.33","-50.25","4","3","3","75","75","4.88","177","8","30","4.52","4.52","-125.12",
"Andrews, Bridget","13","1","3","7.69","23.08","-10.12","233","29","64","12.45","27.47","-63.81","6","5","105","13","23","12.38","21.9","-50.94","35","15","22","42.86","42.86","0.69","123","7","24","5.69","5.69","-64.05",
"Andrews, Jack","1","1","1","100","100","5","179","23","57","12.85","31.84","-35.75","14","1","151","16","42","10.6","27.81","-85.69","26","7","13","26.92","26.92","-12.58","125","15","43","12","12","-31.59",
"Armson, Philip","17","1","1","5.88","5.88","109","440","37","109","8.41","24.77","-83.59","1","1","316","32","93","10.13","29.43","-32.42","43","8","24","18.6","18.6","-15.88","388","35","104","9.02","9.02","-161.92",
"Bass, David","20","5","10","25","50","15.38","539","78","176","14.47","32.65","-120.1","1","1","233","36","86","15.45","36.91","-20.13","97","28","54","28.87","28.87","-24.24","297","36","88","12.12","12.12","-79.88",
"Bastyan, Mitchell S","7","1","1","14.29","14.29","-5","400","49","129","12.25","32.25","-106.51","11","6","167","22","57","13.17","34.13","-64.64","53","18","35","33.96","33.96","-7.84","261","31","90","11.88","11.88","-63.64",
"Bellamy, Tom","45","3","15","6.67","33.33","-29.5","805","98","261","12.17","32.42","-245.87","7","18","432","51","152","11.81","35.19","-159.12","87","36","53","41.38","41.38","8.42","468","56","153","11.97","11.97","-147.21",
"Berry, Mr R A","2","0","1","0","50","-2","19","1","3","5.26","15.79","-10","314","13","14","1","3","7.14","21.43","-5","0","0","0","0","0","0","4","1","2","25","25","5",
"Best, J A","19","0","3","0","15.79","-19","794","48","159","6.05","20.03","-367.32","39","55","339","19","63","5.6","18.58","-208.56","39","14","20","35.9","35.9","3.77","481","36","115","7.48","7.48","-165.47",
"Bewley, Callum","9","0","2","0","22.22","-9","553","32","107","5.79","19.35","-267.49","17","12","286","15","50","5.24","17.48","-168.37","35","9","18","25.71","25.71","-8.45","318","24","77","7.55","7.55","-148.62",
"Blackmore, Rachael","27","5","10","18.52","37.04","14","911","146","350","16.03","38.42","-304.83","9","12","464","62","159","13.36","34.27","-143.87","218","76","133","34.86","34.86","-46.77","351","28","105","7.98","7.98","-125.21",
"Boinville, Nico","17","2","6","11.76","35.29","-13.81","700","144","274","20.57","39.14","-99.26","1","4","291","58","105","19.93","36.08","-13.42","231","89","135","38.53","38.53","-33.67","317","44","100","13.88","13.88","-12.68",
"Bowen, James C","25","2","6","8","24","-8.5","722","116","251","16.07","34.76","13.39","1","1","336","55","118","16.37","35.12","10.07","115","41","75","35.65","35.65","-3.62","450","78","162","17.33","17.33","116.06",
"Bowen, Sean P","38","4","12","10.53","31.58","-22.13","1077","205","400","19.03","37.14","-204.75","3","6","567","114","222","20.11","39.15","-92.91","261","112","167","42.91","42.91","11.11","704","126","248","17.9","17.9","-92.27",
"Brace, Connor","13","2","4","15.38","30.77","-5.5","367","40","101","10.9","27.52","-38.84","1","1","187","25","51","13.37","27.27","-26.61","35","14","20","40","40","7.53","201","26","58","12.94","12.94","7.39",
"Brace, Mr J","8","1","2","12.5","25","-1","35","5","10","14.29","28.57","26","11","6","35","5","10","14.29","28.57","26","3","0","1","0","0","-3","33","5","10","15.15","15.15","28",
"Brennan, Nathan","5","0","0","0","0","-5","111","13","30","11.71","27.03","-15.38","120","13","44","6","15","13.64","34.09","-12.21","16","3","10","18.75","18.75","-8.54","82","11","21","13.41","13.41","0.29",
"Brennan, P J","17","6","11","35.29","64.71","2.41","796","175","362","21.98","45.48","-83.89","2","2","355","84","165","23.66","46.48","-37.84","226","93","146","41.15","41.15","-2.22","411","79","161","19.22","19.22","-49.2",
"Brogan, Kevin","13","0","3","0","23.08","-13","542","79","195","14.58","35.98","-30.91","30","26","291","41","96","14.09","32.99","15.11","107","36","67","33.64","33.64","-13.15","442","68","166","15.38","15.38","-62.41",
"Brooke, Henry","25","7","13","28","52","2.07","612","69","187","11.27","30.56","-182.83","1","4","306","38","103","12.42","33.66","-67.22","68","26","45","38.24","38.24","12.43","386","53","132","13.73","13.73","-83.06",
"Brouder, Gavin","9","1","2","11.11","22.22","17","274","18","48","6.57","17.52","-1.14","4","1","124","8","21","6.45","16.94","40.2","7","2","2","28.57","28.57","-0.47","182","13","36","7.14","7.14","-4.97",
"Bryan, Joshua","7","2","3","28.57","42.86","4","311","30","89","9.65","28.62","-62.43","7","1","180","19","52","10.56","28.89","-22.52","26","9","21","34.62","34.62","-0.14","196","20","57","10.2","10.2","-19.41",
"Buckley, Kieran","11","1","1","9.09","9.09","15","303","37","99","12.21","32.67","-51.31","6","6","207","23","66","11.11","31.88","-50.57","40","15","28","37.5","37.5","7.44","216","29","68","13.43","13.43","-11.42",
"Buckley, Tom","14","1","4","7.14","28.57","-8","267","28","84","10.49","31.46","-95.24","2","3","151","15","50","9.93","33.11","-61.62","39","14","28","35.9","35.9","1.41","206","20","69","9.71","9.71","-68.14",
