Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Austin, Edward","3","0","0","0","0","-3","124","13","26","10.48","20.97","-25.87","18","7","73","8","12","10.96","16.44","-9.12","12","6","10","50","50","7.13","89","9","20","10.11","10.11","-26.37",
"Beasley, Connor","11","1","6","9.09","54.55","-5.5","1370","168","470","12.26","34.31","-199.95","5","2","750","87","253","11.6","33.73","-141.78","206","58","120","28.16","28.16","-13.76","975","127","349","13.03","13.03","-66.09",
"Bellamy, Tom","31","1","6","3.23","19.35","-12","844","96","269","11.37","31.87","-247.22","10","21","423","47","137","11.11","32.39","-104.7","89","35","53","39.33","39.33","4.32","506","59","163","11.66","11.66","-150.06",
"Bennett, Charlie","7","0","3","0","42.86","-7","670","27","121","4.03","18.06","-401.79","28","12","312","13","56","4.17","17.95","-218.12","23","3","11","13.04","13.04","-11.5","481","26","107","5.41","5.41","-218.79",
"Boinville, Nico","16","3","5","18.75","31.25","-7.87","641","142","248","22.15","38.69","-56.32","2","1","262","60","100","22.9","38.17","-17.08","207","87","126","42.03","42.03","-10.15","309","54","101","17.48","17.48","24.4",
"Bradley, Paddy","7","0","1","0","14.29","-7","120","9","32","7.5","26.67","-50.17","17","9","120","9","32","7.5","26.67","-50.17","7","0","2","0","0","-7","90","9","28","10","10","-20.17",
"Brennan, P J","13","2","5","15.38","38.46","-9.18","730","166","337","22.74","46.16","-120.93","2","2","303","78","142","25.74","46.86","-4.89","216","94","143","43.52","43.52","5.52","376","75","148","19.95","19.95","-81.73",
"Brooke, Henry","22","6","7","27.27","31.82","-0.37","684","79","204","11.55","29.82","-240.69","4","7","278","46","99","16.55","35.61","-62.12","82","30","50","36.59","36.59","6.7","435","61","147","14.02","14.02","-128.29",
"Brookes, Aiden","2","0","0","0","0","-2","265","30","65","11.32","24.53","46.96","19","4","170","22","41","12.94","24.12","64.96","22","7","13","31.82","31.82","-0.04","228","30","62","13.16","13.16","83.96",
"Bryan, Joshua","6","1","2","16.67","33.33","3","335","35","95","10.45","28.36","-49.93","3","1","186","18","49","9.68","26.34","-82.12","30","10","24","33.33","33.33","-0.64","213","23","64","10.8","10.8","-14.41",
"Burns, Harry","8","0","1","0","12.5","-8","374","46","103","12.3","27.54","-101.71","43","21","186","24","54","12.9","29.03","-54.16","43","9","23","20.93","20.93","-19.04","304","37","83","12.17","12.17","-65.45",
"Cannon, Tom J","34","6","13","17.65","38.24","-5.46","848","147","303","17.33","35.73","-142.97","2","3","416","80","152","19.23","36.54","-28.57","154","69","101","44.81","44.81","12.2","463","69","139","14.9","14.9","-100.02",
"Carson, William","19","0","3","0","15.79","-19","783","35","130","4.47","16.6","-213.09","54","57","381","20","73","5.25","19.16","-99.75","31","11","18","35.48","35.48","2.66","573","30","104","5.24","5.24","-182.05",
