Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","4","0","2","0","50","-4","15","0","4","0","26.67","-15","31","1","9","3.23","29.03","-24.5","43","4","13","9.3","30.23","-22","1314","122","394","9.28","29.98","-412.94","6","28","632","58","198","9.18","31.33","-193.08","140","34","77","24.29","24.29","-23.72","1020","101","322","9.9","9.9","-308.34",
"Beasley, Connor","2","0","0","0","0","-2","10","0","0","0","0","-10","23","3","9","13.04","39.13","-0.37","46","4","13","8.7","28.26","-19.37","1264","139","425","11","33.62","-296.31","5","15","540","61","182","11.3","33.7","-144.19","169","42","104","24.85","24.85","-38.63","957","100","318","10.45","10.45","-279.55",
"Bennett, Miss N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","8","12","14.55","21.82","54","16","1","29","4","5","13.79","17.24","35","1","0","0","0","0","-1","43","8","11","18.6","18.6","66",
"Birkett, Mr R","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","11","2","1","1","50","50","10","33","5","11","15.15","33.33","0.25","7","1","16","2","2","12.5","12.5","-0.75","5","1","1","20","20","-1.75","33","5","11","15.15","15.15","0.25",
"Bishop, Charles","6","0","3","0","50","-6","7","1","4","14.29","57.14","-1.5","17","2","7","11.76","41.18","-6.5","28","2","10","7.14","35.71","-17.5","864","87","250","10.07","28.94","-238.35","2","7","462","47","131","10.17","28.35","-102.14","85","31","53","36.47","36.47","-4.93","533","52","146","9.76","9.76","-91.27",
"Bowen, Miss S L","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","57","5","14","8.77","24.56","-33.45","20","3","33","4","9","12.12","27.27","-15.95","3","2","2","66.67","66.67","2.55","57","5","14","8.77","8.77","-33.45",
"Bowen, S D","4","0","0","0","0","-4","9","0","1","0","11.11","-9","22","5","9","22.73","40.91","14.67","38","7","18","18.42","47.37","7.42","636","65","181","10.22","28.46","-101.53","4","10","386","40","115","10.36","29.79","-98.99","69","21","43","30.43","30.43","-5.86","533","51","155","9.57","9.57","-68.28",
"Bradley, Paddy","3","1","1","33.33","33.33","0","6","1","1","16.67","16.67","-3","13","2","4","15.38","30.77","-3.5","26","3","8","11.54","30.77","-4.5","607","53","152","8.73","25.04","-161.05","1","3","352","30","89","8.52","25.28","-86.96","37","9","18","24.32","24.32","-8.54","459","48","133","10.46","10.46","-36.55",
"Bradnam, Joe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","71","4","19","5.63","26.76","-48","79","17","37","2","11","5.41","29.73","-29.75","3","2","2","66.67","66.67","4.75","63","4","19","6.35","6.35","-40",
"Breslin, Andrew","0","0","0","0","0","0","3","0","0","0","0","-3","8","0","1","0","12.5","-8","14","0","1","0","7.14","-14","380","17","71","4.47","18.68","-177","25","21","266","14","58","5.26","21.8","-95.25","11","1","4","9.09","9.09","-7.75","322","15","61","4.66","4.66","-153",
