Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","0","0","0","0","0","0","3","0","0","0","0","-3","20","1","3","5","15","-14.5","44","2","8","4.55","18.18","-30.5","1323","122","396","9.22","29.93","-366.44","7","17","637","62","195","9.73","30.61","-174.58","142","33","78","23.24","23.24","-29.72","1024","102","324","9.96","9.96","-254.84",
"Bennett, Charlie","1","0","1","0","100","-1","3","0","2","0","66.67","-3","6","0","2","0","33.33","-6","8","0","2","0","25","-8","383","12","70","3.13","18.28","-271","59","33","116","4","20","3.45","17.24","-58","15","2","5","13.33","13.33","-7.5","278","9","57","3.24","3.24","-182.5",
"Bishop, Charles","5","0","0","0","0","-5","9","0","3","0","33.33","-9","12","0","4","0","33.33","-12","26","1","7","3.85","26.92","-16","857","88","246","10.27","28.7","-225.87","14","24","451","48","127","10.64","28.16","-72.54","84","33","54","39.29","39.29","2.05","523","53","144","10.13","10.13","-72.77",
"Blackmore, Rachael","2","0","0","0","0","-2","3","0","0","0","0","-3","7","2","3","28.57","42.86","-1.65","18","5","6","27.78","33.33","-5.15","889","128","329","14.4","37.01","-286.69","4","4","452","67","162","14.82","35.84","-159.2","177","56","110","31.64","31.64","-30.24","360","29","103","8.06","8.06","-162.62",
"Bowen, S D","2","0","0","0","0","-2","8","1","2","12.5","25","-4.75","20","2","7","10","35","-14.12","27","6","11","22.22","40.74","7.13","591","57","161","9.64","27.24","-107.95","3","5","360","36","105","10","29.17","-102.66","59","18","36","30.51","30.51","-2.28","493","45","139","9.13","9.13","-76.28",
"Bradley, Paddy","1","0","1","0","100","-1","4","1","2","25","50","-1","13","2","3","15.38","23.08","-4.5","23","2","5","8.7","21.74","-14.5","584","49","144","8.39","24.66","-153.3","3","3","335","28","83","8.36","24.78","-79.46","32","7","15","21.88","21.88","-8.79","443","44","127","9.93","9.93","-35.8",
"Breslin, Andrew","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","16","12","3","4","25","33.33","25.5","368","17","69","4.62","18.75","-165","7","3","265","15","57","5.66","21.51","-91","11","1","4","9.09","9.09","-7.75","314","15","59","4.78","4.78","-145",
"Brookes, Aiden","1","0","0","0","0","-1","3","0","0","0","0","-3","9","0","2","0","22.22","-9","15","0","2","0","13.33","-15","453","30","83","6.62","18.32","66.58","19","22","245","16","45","6.53","18.37","106","21","5","14","23.81","23.81","-0.17","401","29","77","7.23","7.23","112.58",
"Brouder, Gavin","1","0","0","0","0","-1","1","0","0","0","0","-1","4","0","0","0","0","-4","9","0","2","0","22.22","-9","337","18","63","5.34","18.69","-170.87","27","11","163","9","26","5.52","15.95","-101.75","21","6","11","28.57","28.57","7.25","212","16","45","7.55","7.55","-53.25",
"Bryan, Joshua","1","1","1","100","100","1.2","3","1","1","33.33","33.33","-0.8","7","2","2","28.57","28.57","-0.8","14","3","4","21.43","28.57","-5.89","416","39","121","9.38","29.09","-171.73","1","1","215","19","67","8.84","31.16","-114.73","28","11","20","39.29","39.29","4.94","270","25","83","9.26","9.26","-118.72",
