Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","3","0","0","0","0","-3","9","1","3","11.11","33.33","-5.75","27","1","8","3.7","29.63","-23.75","55","5","17","9.09","30.91","-30.75","1320","122","396","9.24","30","-417.69","2","6","630","59","200","9.37","31.75","-187.83","138","34","76","24.64","24.64","-20.47","1027","102","325","9.93","9.93","-312.09",
"Anderson, Mr A","1","0","1","0","100","-1","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","4","0","1","0","25","-4","240","14","43","5.83","17.92","-96","16","5","92","6","15","6.52","16.3","-18.5","7","1","2","14.29","14.29","-3.5","183","12","38","6.56","6.56","-51.5",
"Barron, Mr R W","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","4","0","0","0","0","-4","132","19","50","14.39","37.88","-2.73","26","7","69","12","29","17.39","42.03","3.77","12","3","8","25","25","-2.24","19","4","9","21.05","21.05","16",
"Barry, Mr J C","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","1","0","1","0","100","-1","151","9","36","5.96","23.84","-84.54","30","4","82","6","20","7.32","24.39","-49.54","3","1","1","33.33","33.33","-1.2","25","0","5","0","0","-25",
"Bass, George","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319","28","93","8.78","29.15","-167.05","32","13","152","17","47","11.18","30.92","-69.51","23","9","13","39.13","39.13","4.96","236","26","81","11.02","11.02","-91.38",
"Beasley, Connor","2","0","1","0","50","-2","6","1","3","16.67","50","-2.25","19","1","3","5.26","15.79","-15.25","40","4","13","10","32.5","-13.62","1262","140","427","11.09","33.84","-290.56","2","3","540","61","182","11.3","33.7","-144.19","169","43","105","25.44","25.44","-34.88","960","101","320","10.52","10.52","-278.8",
"Bewley, Callum","0","0","0","0","0","0","4","0","0","0","0","-4","8","0","1","0","12.5","-8","8","0","1","0","12.5","-8","239","18","48","7.53","20.08","-71.21","16","9","172","13","34","7.56","19.77","-31.42","7","3","5","42.86","42.86","3.08","124","15","39","12.1","12.1","13.91",
"Bishop, Charles","0","0","0","0","0","0","0","0","0","0","0","0","10","1","5","10","50","-4.5","25","2","11","8","44","-14.5","862","87","250","10.09","29","-236.35","6","10","459","47","131","10.24","28.54","-99.14","85","31","53","36.47","36.47","-4.93","532","52","147","9.77","9.77","-90.27",
"Bowen, James C","2","1","2","50","100","11","4","3","4","75","100","20.5","7","4","5","57.14","71.43","24","9","5","6","55.56","66.67","31.5","697","100","253","14.35","36.3","-99.41","1","1","481","80","192","16.63","39.92","-21.54","124","43","82","34.68","34.68","-3.33","417","64","144","15.35","15.35","10.71",
"Bowen, S D","1","0","0","0","0","-1","3","1","1","33.33","33.33","0.5","19","1","4","5.26","21.05","-15.5","39","8","16","20.51","41.03","9.92","643","65","183","10.11","28.46","-107.78","2","3","396","41","118","10.35","29.8","-105.49","68","21","43","30.88","30.88","-4.11","538","52","158","9.67","9.67","-69.78",
"Bowen, Sean P","6","0","2","0","33.33","-6","6","0","2","0","33.33","-6","12","0","4","0","33.33","-12","19","1","7","5.26","36.84","-12","1440","270","544","18.75","37.78","106.29","14","19","699","125","266","17.88","38.05","-42.19","357","142","206","39.78","39.78","-0.05","944","158","329","16.74","16.74","-74.09",
"Bradnam, Joe","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","71","4","19","5.63","26.76","-48","83","18","38","2","11","5.26","28.95","-30.75","3","2","2","66.67","66.67","4.75","62","4","19","6.45","6.45","-39",
"Breslin, Andrew","1","0","0","0","0","-1","3","0","1","0","33.33","-3","7","0","1","0","14.29","-7","14","0","2","0","14.29","-14","381","17","72","4.46","18.9","-178","29","25","263","14","57","5.32","21.67","-92.25","11","1","4","9.09","9.09","-7.75","322","15","62","4.66","4.66","-153",
"Brouder, Gavin","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","6","0","0","0","0","-6","341","19","64","5.57","18.77","-165.87","21","10","160","9","25","5.63","15.63","-95.25","22","6","12","27.27","27.27","6.25","218","17","47","7.8","7.8","-50.25",
"Bughenaim, Faleh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","9999","9999","6","0","1","0","16.67","-6","0","0","0","0","0","0","4","0","0","0","0","-4",
"Buick, William","0","0","0","0","0","0","0","0","0","0","0","0","5","1","2","20","40","-3.82","12","3","5","25","41.67","-0.32","1281","286","549","22.33","42.86","-151.54","5","5","508","115","204","22.64","40.16","-87.54","449","170","268","37.86","37.86","-33.16","640","132","248","20.63","20.63","1.26",
"Byrnes, Mr P","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","2","0","0","0","0","-2","418","44","97","10.53","23.21","-179.67","46","16","240","21","50","8.75","20.83","-111.65","49","22","35","44.9","44.9","14.08","233","24","52","10.3","10.3","-86.17",
"Callan, N","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","25","4","7","16","28","-4.04","930","122","302","13.12","32.47","-94.12","12","17","416","41","124","9.86","29.81","-165.18","135","45","89","33.33","33.33","-13.79","607","81","201","13.34","13.34","-48.57",
"Carmichael, Oliver","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","2","3","12.5","18.75","22.5","49","4","16","2","3","12.5","18.75","22.5","0","0","0","0","0","0","16","2","3","12.5","12.5","22.5",
