Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Jamin, Pierre-Louis","1","0","0","0","0","-1","2","0","0","0","0","-2","2","0","0","0","0","-2","9","1","2","11.11","22.22","-7.96","403","49","122","12.16","30.27","-90.15","10","5","208","25","59","12.02","28.37","-29.04","41","15","30","36.59","36.59","-0.48","248","25","77","10.08","10.08","-63.46",
"Johnston, Dylan","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","6","1","2","16.67","33.33","-3","286","32","99","11.19","34.62","-88.6","8","3","144","21","56","14.58","38.89","-31.35","31","9","19","29.03","29.03","-10.18","238","27","86","11.34","11.34","-71.43",
"Jones, Ethan","0","0","0","0","0","0","2","0","0","0","0","-2","6","0","0","0","0","-6","12","0","1","0","8.33","-12","217","22","67","10.14","30.88","-95.85","20","16","200","21","61","10.5","30.5","-87.35","21","8","15","38.1","38.1","0.49","191","19","60","9.95","9.95","-81.05",
"Joyce, Wesley","3","2","2","66.67","66.67","10","3","2","2","66.67","66.67","10","13","2","2","15.38","15.38","0","27","3","5","11.11","18.52","3","389","35","93","9","23.91","-98.04","1","1","362","32","84","8.84","23.2","-95.04","28","9","17","32.14","32.14","3.46","294","31","79","10.54","10.54","-73.54",
"Kavanagh, Ryan","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","66.67","-3","5","0","3","0","60","-5","74","5","17","6.76","22.97","-43.73","15","6","55","4","14","7.27","25.45","-30.23","3","1","2","33.33","33.33","-1.56","66","5","16","7.58","7.58","-35.73",
"Keane, C T","5","0","0","0","0","-5","9","0","0","0","0","-9","23","1","5","4.35","21.74","-19.5","33","3","8","9.09","24.24","6.6","1619","225","578","13.9","35.7","-360.21","4","12","807","125","298","15.49","36.93","-140.37","332","97","188","29.22","29.22","-58.83","822","100","266","12.17","12.17","-147.48",
"Kearney, J","2","0","1","0","50","-2","3","0","1","0","33.33","-3","4","0","1","0","25","-4","11","0","1","0","9.09","-11","526","34","118","6.46","22.43","-60.27","42","28","257","13","59","5.06","22.96","-44.7","35","8","25","22.86","22.86","-11.27","381","24","92","6.3","6.3","-65.7",
"Keeley, Aidan","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","16","4","5","25","31.25","18.73","647","71","189","10.97","29.21","-108.96","8","6","299","41","95","13.71","31.77","-57","46","19","30","41.3","41.3","4.88","544","61","167","11.21","11.21","-111.9",
"Keenan, Darragh","2","0","0","0","0","-2","6","0","1","0","16.67","-6","16","3","5","18.75","31.25","9.25","26","5","7","19.23","26.92","10.75","898","67","183","7.46","20.38","-232.61","4","7","417","33","94","7.91","22.54","-176.36","48","17","26","35.42","35.42","0.43","596","49","139","8.22","8.22","-104.7",
"Keniry, L P","1","0","0","0","0","-1","6","1","3","16.67","50","2","9","1","5","11.11","55.56","-1","15","2","6","13.33","40","-3.25","564","39","108","6.91","19.15","-128.66","3","6","338","23","65","6.8","19.23","-158.26","18","6","8","33.33","33.33","-5.24","387","27","84","6.98","6.98","-100.67",
"Kennedy, B P","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","0","0","0","-3","126","1","9","0.79","7.14","-111","551","99","57","0","4","0","7.02","-57","1","0","0","0","0","-1","67","1","8","1.49","1.49","-52",
"Kennedy, K G","4","0","1","0","25","-4","5","0","1","0","20","-5","14","1","2","7.14","14.29","-5","20","1","4","5","20","-11","213","26","62","12.21","29.11","-9.86","7","13","213","26","62","12.21","29.11","-9.86","32","10","17","31.25","31.25","3.31","191","24","55","12.57","12.57","6.24",
"Kingscote, Richard","2","0","0","0","0","-2","7","0","1","0","14.29","-7","13","1","3","7.69","23.08","-6.5","29","1","7","3.45","24.14","-22.5","1229","134","417","10.9","33.93","-453.96","7","12","601","59","195","9.82","32.45","-248.83","199","56","117","28.14","28.14","-52.49","738","79","242","10.7","10.7","-256.61",
"Larson, Frederick","2","0","0","0","0","-2","4","0","0","0","0","-4","7","1","1","14.29","14.29","0","16","2","4","12.5","25","-5.75","456","43","131","9.43","28.73","-163.54","4","6","169","12","46","7.1","27.22","-79.91","52","10","30","19.23","19.23","-29.33","371","35","108","9.43","9.43","-122.19",
"Leavy, Mr Joe","4","1","3","25","75","4.5","13","2","5","15.38","38.46","1.5","22","6","11","27.27","50","16.96","38","8","17","21.05","44.74","9.09","438","52","153","11.87","34.93","1.88","1","1","353","46","128","13.03","36.26","-12.12","39","12","23","30.77","30.77","-1.41","376","42","134","11.17","11.17","-6.91",
"Lee, Clifford","0","0","0","0","0","0","4","1","2","25","50","3.5","12","2","3","16.67","25","2","21","4","6","19.05","28.57","2.5","1328","174","443","13.1","33.36","-340.04","3","3","677","90","225","13.29","33.23","-183.45","198","66","116","33.33","33.33","-16.32","814","100","237","12.29","12.29","-147.62",
"Lee, W J","3","2","2","66.67","66.67","3.67","7","3","5","42.86","71.43","3.42","25","5","11","20","44","-5.95","39","9","18","23.08","46.15","3.05","1307","179","465","13.7","35.58","-273.01","1","2","595","100","219","16.81","36.81","1.92","250","83","156","33.2","33.2","-3.81","614","64","202","10.42","10.42","-195.04",
"Leonard, Killian","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","6","0","0","0","0","-6","240","7","30","2.92","12.5","-180.25","64","22","109","6","21","5.5","19.27","-59.25","8","1","4","12.5","12.5","-4.75","168","7","25","4.17","4.17","-108.25",
