Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","0","0","0","0","0","0","5","0","0","0","0","-5","14","3","4","21.43","28.57","0.5","19","3","7","15.79","36.84","-4.5","1296","121","389","9.34","30.02","-401.44","4","7","624","61","195","9.78","31.25","-170.08","141","34","77","24.11","24.11","-24.72","1008","101","319","10.02","10.02","-296.34",
"Armson, Philip","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","352","16","50","4.55","14.2","-82.09","28","7","146","4","18","2.74","12.33","-86.5","19","0","7","0","0","-19","286","14","44","4.9","4.9","-146.42",
"Barfoot-Saunt, Mr G","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","-20","6700","170","4","0","0","0","0","-4","0","0","0","0","0","0","0","0","0","0","0","0",
"Barron, Mr R W","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","3","0","0","0","0","-3","132","19","51","14.39","38.64","-2.73","17","4","71","13","30","18.31","42.25","8.27","12","3","8","25","25","-2.24","19","4","9","21.05","21.05","16",
"Bass, David","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","475","57","139","12","29.26","-127.48","127","40","239","19","57","7.95","23.85","-128.04","70","18","36","25.71","25.71","-27.28","263","33","72","12.55","12.55","-22.5",
"Beasley, Connor","0","0","0","0","0","0","6","1","2","16.67","33.33","-3.37","19","2","3","10.53","15.79","-12.37","27","2","5","7.41","18.52","-20.37","1260","137","425","10.87","33.73","-312.31","2","2","538","61","180","11.34","33.46","-148.69","167","42","102","25.15","25.15","-36.63","958","98","316","10.23","10.23","-300.55",
"Bennett, Charlie","1","0","0","0","0","-1","3","0","0","0","0","-3","6","1","2","16.67","33.33","-1","12","1","4","8.33","33.33","-7","379","12","69","3.17","18.21","-275","7","6","116","5","22","4.31","18.97","-53","14","2","5","14.29","14.29","-6.5","278","9","56","3.24","3.24","-190.5",
"Best, J A","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","7","0","1","0","14.29","-7","723","40","138","5.53","19.09","-292.98","57","38","388","27","80","6.96","20.62","-174.11","29","10","15","34.48","34.48","2.36","490","38","126","7.76","7.76","-81.98",
"Bishop, Charles","0","0","0","0","0","0","9","1","4","11.11","44.44","-4","15","1","5","6.67","33.33","-10","31","2","8","6.45","25.81","-23.5","863","87","248","10.08","28.74","-238.85","2","2","453","47","127","10.38","28.04","-96.14","84","32","53","38.1","38.1","0.07","533","52","145","9.76","9.76","-92.77",
"Bowen, James C","0","0","0","0","0","0","0","0","0","0","0","0","5","1","2","20","40","4.5","8","2","4","25","50","4.13","694","98","250","14.12","36.02","-115.28","5","1","476","76","188","15.97","39.5","-47.54","122","42","81","34.43","34.43","-6.33","412","62","141","15.05","15.05","-3.16",
"Bowen, S D","4","0","1","0","25","-4","14","3","7","21.43","50","0.25","19","3","10","15.79","52.63","-4.75","41","4","15","9.76","36.59","-20.75","626","61","176","9.74","28.12","-122.7","2","6","378","37","112","9.79","29.63","-117.16","65","19","41","29.23","29.23","-6.03","523","48","151","9.18","9.18","-88.28",
"Bowen, Sean P","0","0","0","0","0","0","0","0","0","0","0","0","11","1","4","9.09","36.36","-4","21","3","9","14.29","42.86","-9","1439","275","546","19.11","37.94","119.26","5","3","696","127","266","18.25","38.22","-26.19","362","145","210","40.06","40.06","-0.04","943","160","327","16.97","16.97","-66.56",
"Bradley, Paddy","0","0","0","0","0","0","7","0","2","0","28.57","-7","16","1","6","6.25","37.5","-4","24","3","11","12.5","45.83","-5.25","599","51","151","8.51","25.21","-162.55","6","12","347","29","89","8.36","25.65","-88.46","37","8","18","21.62","21.62","-11.54","454","46","132","10.13","10.13","-41.05",
"Bradnam, Joe","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","72","4","19","5.56","26.39","-49","74","17","38","2","11","5.26","28.95","-30.75","3","2","2","66.67","66.67","4.75","64","4","19","6.25","6.25","-41",
"Brookes, Aiden","0","0","0","0","0","0","1","0","0","0","0","-1","6","0","0","0","0","-6","12","1","1","8.33","8.33","-1","456","30","83","6.58","18.2","70.25","12","10","247","15","42","6.07","17","-3","21","4","13","19.05","19.05","-4.5","404","29","77","7.18","7.18","116.25",
"Bryan, Joshua","1","0","0","0","0","-1","4","0","1","0","25","-4","4","0","1","0","25","-4","6","2","3","33.33","50","-0.8","417","40","122","9.59","29.26","-169.73","13","5","211","20","67","9.48","31.75","-107.73","30","12","22","40","40","5.94","272","26","85","9.56","9.56","-117.72",
"Burke, Jonathan","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","744","101","267","13.58","35.89","-200.63","28","13","425","59","159","13.88","37.41","-86.65","116","49","80","42.24","42.24","10.2","428","48","138","11.21","11.21","-132.28",
"Caffrey, Adam","1","0","0","0","0","-1","2","0","0","0","0","-2","6","2","3","33.33","50","18","18","2","5","11.11","27.78","6","662","69","184","10.42","27.79","-88.22","5","4","343","38","99","11.08","28.86","-34.38","70","19","42","27.14","27.14","7.79","547","60","157","10.97","10.97","-26.3",
"Callan, N","0","0","0","0","0","0","10","4","4","40","40","10.96","14","4","4","28.57","28.57","6.96","28","6","9","21.43","32.14","-2.21","934","123","303","13.17","32.44","-72.12","3","6","436","44","131","10.09","30.05","-146.68","134","45","89","33.58","33.58","-12.79","606","82","202","13.53","13.53","-21.57",
"Cameron, Tyrese","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","6","15","13.04","32.61","4.96","33","4","9","2","3","22.22","33.33","4.88","5","2","4","40","40","2.21","46","6","15","13.04","13.04","4.96",
"Carroll, G F","1","0","0","0","0","-1","6","0","1","0","16.67","-6","12","1","3","8.33","25","14","22","3","7","13.64","31.82","17.25","1020","96","264","9.41","25.88","-227.13","6","8","484","37","125","7.64","25.83","-103.32","93","26","56","27.96","27.96","-8.17","516","47","142","9.11","9.11","-150.18",
"Carson, William","0","0","0","0","0","0","3","0","0","0","0","-3","9","1","2","11.11","22.22","-6.62","19","2","6","10.53","31.58","-12.12","921","57","192","6.19","20.85","-461.54","7","9","459","37","118","8.06","25.71","-168.07","55","18","36","32.73","32.73","-0.54","729","52","170","7.13","7.13","-310.09",
"Clutterbuck, Rhys","0","0","0","0","0","0","2","0","0","0","0","-2","7","1","1","14.29","14.29","-5.75","22","1","3","4.55","13.64","-20.75","751","66","177","8.79","23.57","-237.99","5","4","407","36","89","8.85","21.87","-149.92","55","18","36","32.73","32.73","-4.99","526","53","138","10.08","10.08","-99.72",
"Coakley, Ross","1","0","0","0","0","-1","5","0","0","0","0","-5","10","0","2","0","20","-10","19","1","5","5.26","26.32","-16.5","725","86","225","11.86","31.03","-173.98","11","13","364","39","106","10.71","29.12","-81.24","81","27","47","33.33","33.33","-6.28","427","53","135","12.41","12.41","-82.33",
"Cole, Morgan","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","295","23","72","7.8","24.41","-177.66","34","16","184","11","44","5.98","23.91","-119.37","21","6","8","28.57","28.57","-4.24","246","22","69","8.94","8.94","-133.16",
"Cosgrave, Pat","2","1","1","50","50","10","6","1","2","16.67","33.33","6","10","2","4","20","40","11.5","22","2","6","9.09","27.27","-0.5","432","53","130","12.27","30.09","-110.19","1","2","219","26","59","11.87","26.94","-31.47","53","26","37","49.06","49.06","19.9","316","39","100","12.34","12.34","-82.93",
"Costello, Dougie","0","0","0","0","0","0","4","0","1","0","25","-4","7","0","1","0","14.29","-7","21","2","6","9.52","28.57","-12.25","709","65","173","9.17","24.4","-220.39","9","8","336","26","76","7.74","22.62","-157.65","53","15","34","28.3","28.3","-14.05","541","54","137","9.98","9.98","-110.2",
"Crosse, Nathan","0","0","0","0","0","0","2","1","1","50","50","9","8","1","1","12.5","12.5","3","22","2","5","9.09","22.73","40","811","38","139","4.69","17.14","-101.59","2","1","343","15","62","4.37","18.08","10.78","27","5","15","18.52","18.52","-8.17","446","23","85","5.16","5.16","-11.5",
"Crouch, Hector","0","0","0","0","0","0","9","2","2","22.22","22.22","-3.2","9","2","2","22.22","22.22","-3.2","13","2","2","15.38","15.38","-7.2","961","145","326","15.09","33.92","-139.5","3","8","492","72","176","14.63","35.77","-85.2","173","55","101","31.79","31.79","-20.16","537","82","184","15.27","15.27","-37",
"Crowley, Jim","0","0","0","0","0","0","9","2","4","22.22","44.44","0.5","13","3","5","23.08","38.46","7.5","30","4","9","13.33","30","-3.5","768","126","262","16.41","34.11","-82.47","2","4","403","57","124","14.14","30.77","-90.27","156","60","99","38.46","38.46","-3.29","406","49","128","12.07","12.07","-67.16",
"Currie, Nicola","2","0","1","0","50","-2","6","0","1","0","16.67","-6","6","0","1","0","16.67","-6","11","0","2","0","18.18","-11","278","13","39","4.68","14.03","-71.84","27","22","104","5","15","4.81","14.42","-47","4","1","2","25","25","-1","191","11","32","5.76","5.76","0.16",
