Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Anderson, Mr A","6","1","2","16.67","33.33","0","251","10","37","3.98","14.74","-185.12","3","1","74","3","9","4.05","12.16","-49","4","3","3","75","75","4.88","178","9","31","5.06","5.06","-120.12",
"Bass, David","20","5","11","25","55","10.21","535","76","174","14.21","32.52","-126.02","3","5","238","36","89","15.13","37.39","-26.8","97","27","55","27.84","27.84","-27.66","293","34","88","11.6","11.6","-85.63",
"Bellamy, Tom","29","0","7","0","24.14","-29","792","96","256","12.12","32.32","-239.12","15","30","432","51","152","11.81","35.19","-159.12","84","35","51","41.67","41.67","9.17","458","56","151","12.23","12.23","-137.21",
"Beswick, Harrison","0","0","0","0","0","0","79","7","18","8.86","22.78","44.08","19","3","28","3","3","10.71","10.71","-10.75","3","1","2","33.33","33.33","1.33","43","5","12","11.63","11.63","61.33",
"Bewley, Callum","12","0","1","0","8.33","-12","557","32","107","5.75","19.21","-271.49","25","21","285","12","48","4.21","16.84","-188.37","35","9","18","25.71","25.71","-8.45","319","24","76","7.52","7.52","-149.62",
"Bewley, Jonathon","4","0","0","0","0","-4","124","16","41","12.9","33.06","-37.46","18","5","75","11","25","14.67","33.33","-23.96","10","4","5","40","40","1.54","95","15","37","15.79","15.79","-12.96",
"Blackmore, Rachael","24","1","8","4.17","33.33","-19","903","142","346","15.73","38.32","-311.02","5","9","468","61","162","13.03","34.62","-170.27","215","74","132","34.42","34.42","-43.96","350","27","104","7.71","7.71","-133.21",
"Boinville, Nico","18","4","7","22.22","38.89","-10.31","695","145","272","20.86","39.14","-91.49","5","8","294","59","107","20.07","36.39","-15.67","229","90","136","39.3","39.3","-28.9","313","45","98","14.38","14.38","-5.43",
"Bowen, James C","28","4","10","14.29","35.71","-5.5","730","117","254","16.03","34.79","-5.61","8","16","335","55","120","16.42","35.82","10.69","118","43","78","36.44","36.44","-0.62","454","78","162","17.18","17.18","99.06",
"Bowen, Sean P","40","8","16","20","40","-7.97","1077","207","404","19.22","37.51","-214.92","1","4","580","115","225","19.83","38.79","-102.6","262","113","167","43.13","43.13","12.61","699","125","249","17.88","17.88","-99.27",
"Brace, Connor","11","4","5","36.36","45.45","6.88","364","42","100","11.54","27.47","-24.46","4","2","189","28","53","14.81","28.04","-14.23","35","14","20","40","40","6.91","201","28","60","13.93","13.93","16.27",
"Brace, Mr J","9","2","3","22.22","33.33","-2.62","41","7","13","17.07","31.71","26.38","3","4","41","7","13","17.07","31.71","26.38","4","1","2","25","25","-1.62","38","7","13","18.42","18.42","29.38",
"Brennan, P J","19","6","10","31.58","52.63","-2.39","790","175","360","22.15","45.57","-91.66","1","2","355","86","165","24.23","46.48","-34.48","223","95","145","42.6","42.6","4.01","409","78","161","19.07","19.07","-61.7",
"Brogan, Kevin","14","0","1","0","7.14","-14","544","78","194","14.34","35.66","-35.41","38","33","292","41","94","14.04","32.19","14.11","106","35","66","33.02","33.02","-14.65","443","67","165","15.12","15.12","-65.91",
"Bromley, Ben","10","3","7","30","70","5","97","17","36","17.53","37.11","-25.73","2","5","59","8","17","13.56","28.81","-15.75","16","4","9","25","25","-7.61","66","12","24","18.18","18.18","-10.25",
"Brooke, Henry","33","5","10","15.15","30.3","-15.89","630","70","189","11.11","30","-198.08","2","5","302","38","99","12.58","32.78","-64.8","71","26","46","36.62","36.62","9.43","394","53","133","13.45","13.45","-91.06",
"Buckley, Tom","16","2","7","12.5","43.75","-5.5","271","29","88","10.7","32.47","-94.74","8","7","157","16","54","10.19","34.39","-63.12","39","14","28","35.9","35.9","1.41","208","21","71","10.1","10.1","-65.64",
"Burke, Jonathan","35","7","14","20","40","1.45","827","114","274","13.78","33.13","-136.69","1","2","451","68","153","15.08","33.92","-54.88","103","41","66","39.81","39.81","9.67","517","72","176","13.93","13.93","-80.66",
"Carberry, Peter","10","1","2","10","20","5","290","9","37","3.1","12.76","-218","1","2","159","6","23","3.77","14.47","-114.5","9","2","4","22.22","22.22","-3.5","144","8","27","5.56","5.56","-80.5",
