Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","5","1","2","20","40","1.5","5","1","2","20","40","1.5","5","1","2","20","40","1.5","20","1","5","5","25","-13.5","1310","121","395","9.24","30.15","-401.94","1","5","623","60","195","9.63","31.3","-173.58","142","33","78","23.24","23.24","-29.72","1017","101","324","9.93","9.93","-296.34",
"Beasley, Connor","4","0","0","0","0","-4","11","1","1","9.09","9.09","-7","19","1","3","5.26","15.79","-15","19","1","3","5.26","15.79","-15","1273","142","433","11.15","34.01","-290.94","2","5","536","60","181","11.19","33.77","-149.32","169","44","104","26.04","26.04","-33.76","966","101","321","10.46","10.46","-278.93",
"Bennett, Charlie","1","0","0","0","0","-1","2","1","1","50","50","3","4","1","1","25","25","1","12","1","4","8.33","33.33","-7","382","13","70","3.4","18.32","-265","3","2","117","5","22","4.27","18.8","-54","14","2","5","14.29","14.29","-6.5","281","10","57","3.56","3.56","-180.5",
"Bishop, Charles","1","0","1","0","100","-1","5","0","1","0","20","-5","12","1","3","8.33","25","-9.5","28","1","8","3.57","28.57","-25.5","861","87","245","10.1","28.46","-231.85","7","11","454","48","129","10.57","28.41","-90.04","83","32","52","38.55","38.55","1.07","527","53","143","10.06","10.06","-76.77",
"Bowen, S D","1","0","0","0","0","-1","4","0","2","0","50","-4","17","0","6","0","35.29","-17","40","2","11","5","27.5","-30.75","613","58","168","9.46","27.41","-123.95","8","21","370","35","106","9.46","28.65","-120.16","63","18","40","28.57","28.57","-6.28","513","46","145","8.97","8.97","-90.28",
"Bradley, Paddy","0","0","0","0","0","0","6","1","4","16.67","66.67","6","9","2","6","22.22","66.67","7.5","22","5","11","22.73","50","5.25","593","51","150","8.6","25.3","-156.55","2","2","344","30","89","8.72","25.87","-81.71","35","8","16","22.86","22.86","-9.54","449","46","130","10.24","10.24","-36.05",
"Breslin, Andrew","1","0","0","0","0","-1","5","0","0","0","0","-5","5","0","0","0","0","-5","10","0","1","0","10","-10","375","17","70","4.53","18.67","-172","16","12","267","15","58","5.62","21.72","-93","11","1","4","9.09","9.09","-7.75","319","15","60","4.7","4.7","-150",
"Brookes, Aiden","0","0","0","0","0","0","2","0","0","0","0","-2","4","0","0","0","0","-4","12","1","2","8.33","16.67","-1","456","31","84","6.8","18.42","74.58","8","6","247","15","43","6.07","17.41","-3","22","5","14","22.73","22.73","-1.17","404","30","78","7.43","7.43","120.58",
"Buick, William","0","0","0","0","0","0","0","0","0","0","0","0","14","3","5","21.43","35.71","-3.12","34","6","12","17.65","35.29","-7.12","1309","298","567","22.77","43.32","-138.32","5","4","541","123","225","22.74","41.59","-92.93","464","178","279","38.36","38.36","-22.07","654","138","257","21.1","21.1","10.03",
"Callan, N","2","0","0","0","0","-2","2","0","0","0","0","-2","14","2","3","14.29","21.43","-9.17","25","4","7","16","28","-3.67","935","119","302","12.73","32.3","-94.08","7","10","424","40","127","9.43","29.95","-155.64","134","43","88","32.09","32.09","-18.42","607","79","201","13.01","13.01","-32.53",
"Catton, Luke","0","0","0","0","0","0","2","0","1","0","50","-2","2","0","1","0","50","-2","5","0","1","0","20","-5","299","24","66","8.03","22.07","-112.47","21","8","156","11","37","7.05","23.72","-76.42","17","3","7","17.65","17.65","-9.8","255","23","56","9.02","9.02","-72.47",
"Chalkley, Lewis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50","50","6","70","4","14","5.71","20","-45.75","12","1","49","3","10","6.12","20.41","-33.25","4","1","1","25","25","0","63","4","13","6.35","6.35","-38.75",
"Coakley, Ross","0","0","0","0","0","0","2","0","0","0","0","-2","8","1","2","12.5","25","-5.5","15","1","4","6.67","26.67","-12.5","717","86","223","11.99","31.1","-165.98","7","5","365","42","109","11.51","29.86","-61.44","80","27","46","33.75","33.75","-5.28","424","53","134","12.5","12.5","-79.33",
"Cosgrave, Pat","1","0","1","0","100","-1","3","1","2","33.33","66.67","6.5","11","1","3","9.09","27.27","-1.5","20","1","5","5","25","-10.5","437","52","131","11.9","29.98","-127.19","3","2","212","25","57","11.79","26.89","-36.47","53","26","37","49.06","49.06","19.9","319","38","101","11.91","11.91","-97.93",
