Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","4","0","2","0","50","-4","14","1","5","7.14","35.71","-7.5","28","4","9","14.29","32.14","-7","28","4","9","14.29","32.14","-7","1303","122","392","9.36","30.08","-401.94","3","13","630","60","196","9.52","31.11","-181.58","139","34","77","24.46","24.46","-22.72","1013","101","321","9.97","9.97","-301.34",
"Austin, Edward","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","173","12","32","6.94","18.5","-50.97","137","26","100","6","23","6","23","-26.1","9","6","7","66.67","66.67","11.53","128","10","29","7.81","7.81","-36.47",
"Beasley, Connor","4","0","3","0","75","-4","9","2","8","22.22","88.89","11","21","3","10","14.29","47.62","1.63","36","4","13","11.11","36.11","-9.37","1263","139","429","11.01","33.97","-295.31","2","5","542","62","185","11.44","34.13","-137.19","170","42","104","24.71","24.71","-39.63","960","100","320","10.42","10.42","-282.55",
"Berry, Mr R A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","2","8","5.41","21.62","-11","99","7","11","1","2","9.09","18.18","4","1","0","0","0","0","-1","15","2","4","13.33","13.33","11",
"Bewley, Callum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","33.33","33.33","20","235","18","47","7.66","20","-67.21","9","1","164","13","33","7.93","20.12","-23.42","6","3","5","50","50","4.08","121","15","38","12.4","12.4","16.91",
"Bewley, Jonathon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","167","17","40","10.18","23.95","-71.68","60","5","80","7","18","8.75","22.5","-40.84","14","4","6","28.57","28.57","-0.34","137","16","34","11.68","11.68","-46.18",
"Blackmore, Rachael","0","0","0","0","0","0","0","0","0","0","0","0","5","1","3","20","60","-0.5","9","1","3","11.11","33.33","-4.5","888","128","330","14.41","37.16","-285.52","5","3","442","65","161","14.71","36.43","-167.2","179","55","109","30.73","30.73","-36.57","361","30","104","8.31","8.31","-159.12",
"Bowen, James C","0","0","0","0","0","0","1","0","0","0","0","-1","2","1","1","50","50","7.5","9","2","4","22.22","44.44","3.13","695","98","250","14.1","35.97","-116.28","7","2","476","76","188","15.97","39.5","-47.54","123","42","81","34.15","34.15","-7.33","413","62","141","15.01","15.01","-4.16",
"Bowen, Sean P","0","0","0","0","0","0","4","0","1","0","25","-4","7","1","3","14.29","42.86","0","25","3","10","12","40","-13","1442","275","547","19.07","37.93","116.26","7","7","696","127","266","18.25","38.22","-26.19","362","145","210","40.06","40.06","-0.04","944","160","327","16.95","16.95","-67.56",
"Bradley, Paddy","2","0","0","0","0","-2","3","1","1","33.33","33.33","3.5","13","1","3","7.69","23.08","-6.5","25","4","11","16","44","0.25","602","52","152","8.64","25.25","-159.05","2","3","348","29","88","8.33","25.29","-85.96","37","8","18","21.62","21.62","-11.54","455","47","133","10.33","10.33","-35.55",
"Breslin, Andrew","2","0","1","0","50","-2","2","0","1","0","50","-2","7","0","1","0","14.29","-7","12","0","2","0","16.67","-12","378","17","71","4.5","18.78","-175","22","18","268","14","58","5.22","21.64","-97.25","11","1","4","9.09","9.09","-7.75","321","15","61","4.67","4.67","-152",
"Brouder, Gavin","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","8","1","2","12.5","25","1","338","19","64","5.62","18.93","-162.87","14","7","163","10","27","6.13","16.56","-92.75","22","6","12","27.27","27.27","6.25","217","17","47","7.83","7.83","-49.25",
"Buckley, Kieran","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","7","0","3","0","42.86","-7","487","31","111","6.37","22.79","-262.41","26","17","206","15","50","7.28","24.27","-99.14","38","9","21","23.68","23.68","-15.16","268","19","72","7.09","7.09","-95.5",
"Buckley, Tom","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","163","21","57","12.88","34.97","-57.44","284","22","33","3","8","9.09","24.24","-21.15","22","10","19","45.45","45.45","12.23","118","20","49","16.95","16.95","-21.94",
"Byrnes, Mr P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","423","44","97","10.4","22.93","-184.67","39","14","238","21","50","8.82","21.01","-109.65","51","22","35","43.14","43.14","12.08","233","24","52","10.3","10.3","-86.17",
"Callan, N","1","0","1","0","100","-1","5","0","2","0","40","-5","19","4","6","21.05","31.58","1.96","31","6","9","19.35","29.03","-5.21","934","122","303","13.06","32.44","-98.12","5","11","434","44","130","10.14","29.95","-144.68","135","45","90","33.33","33.33","-13.79","608","81","201","13.32","13.32","-49.57",
"Carson, William","3","0","1","0","33.33","-3","5","0","2","0","40","-5","8","0","2","0","25","-8","20","1","6","5","30","-17.62","926","57","194","6.16","20.95","-466.54","9","14","461","37","119","8.03","25.81","-170.07","55","18","36","32.73","32.73","-0.54","734","52","172","7.08","7.08","-315.09",
"Chapman, Ross","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","435","42","95","9.66","21.84","-105.53","82","16","225","26","55","11.56","24.44","-31.24","37","14","23","37.84","37.84","2.56","311","38","76","12.22","12.22","-9.13",
"Cleary, Mr Paddy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","16","0","0","0","0","-16","9999","9999","11","0","0","0","0","-11","0","0","0","0","0","0","5","0","0","0","0","-5",
"Clutterbuck, Rhys","1","0","0","0","0","-1","3","0","0","0","0","-3","7","1","1","14.29","14.29","-5.75","20","1","3","5","15","-18.75","751","66","177","8.79","23.57","-237.99","7","7","409","36","89","8.8","21.76","-151.92","54","18","36","33.33","33.33","-3.99","527","53","138","10.06","10.06","-100.72",
"Coakley, Ross","0","0","0","0","0","0","4","0","0","0","0","-4","11","0","2","0","18.18","-11","21","1","4","4.76","19.05","-18.5","728","86","225","11.81","30.91","-176.98","13","16","367","39","106","10.63","28.88","-84.24","83","27","47","32.53","32.53","-8.28","430","53","135","12.33","12.33","-85.33",
"Cody, Mr P J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","2","7","6.06","21.21","147","33","3","19","1","4","5.26","21.05","132","0","0","0","0","0","0","2","0","0","0","0","-2",
