Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","28","3","9","10.71","32.14","-9.3","1276","137","396","10.74","31.03","-301.58","3","5","678","66","203","9.73","29.94","-152.04","174","57","103","32.76","32.76","7.14","972","119","323","12.24","12.24","-116.02",
"Anderson, Mr A","2","0","0","0","0","-2","234","11","36","4.7","15.38","-138.75","71","24","149","8","22","5.37","14.77","-78.5","6","1","2","16.67","16.67","-2.25","173","9","30","5.2","5.2","-90.25",
"Atzeni, Andrea","26","3","10","11.54","38.46","-9","852","140","323","16.43","37.91","-70.68","1","4","456","61","161","13.38","35.31","-68.68","168","55","98","32.74","32.74","-17.38","473","75","164","15.86","15.86","-29.42",
"Barlow, Patrick","2","0","0","0","0","-2","45","2","9","4.44","20","-13","60","4","22","2","4","9.09","18.18","10","1","0","0","0","0","-1","29","2","6","6.9","6.9","3",
"Barron, Mr R W","5","1","3","20","60","-0.5","114","5","30","4.39","26.32","-57.5","2","2","60","4","20","6.67","33.33","-29.5","7","1","4","14.29","14.29","-2.5","18","2","7","11.11","11.11","-5.5",
"Bass, George","6","1","2","16.67","33.33","-2.25","375","35","97","9.33","25.87","-57.9","5","2","192","16","53","8.33","27.6","-80.41","23","9","12","39.13","39.13","4.27","286","31","82","10.84","10.84","-35.4",
"Beasley, Connor","36","5","9","13.89","25","-7","1440","167","486","11.6","33.75","-201.04","1","1","732","78","244","10.66","33.33","-159.01","198","50","114","25.25","25.25","-40.68","1037","122","358","11.76","11.76","-106.68",
"Bennett, Charlie","10","0","1","0","10","-10","596","18","99","3.02","16.61","-441.62","102","85","288","10","55","3.47","19.1","-219","21","3","10","14.29","14.29","-9.5","429","16","84","3.73","3.73","-284.62",
"Bird, Sean","5","0","0","0","0","-5","109","3","8","2.75","7.34","-25","40","15","65","2","6","3.08","9.23","-10","2","0","0","0","0","-2","75","2","5","2.67","2.67","-17",
"Bishop, Charles","29","0","8","0","27.59","-29","697","63","185","9.04","26.54","-216.49","21","40","410","42","123","10.24","30","-150.25","67","21","39","31.34","31.34","-12.61","407","30","97","7.37","7.37","-126.45",
"Blackmore, Rachael","16","3","3","18.75","18.75","7","796","120","297","15.08","37.31","-223.02","12","10","448","67","165","14.96","36.83","-115.73","184","62","117","33.7","33.7","-39.31","308","23","88","7.47","7.47","-107.21",
