Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Bass, George","5","0","1","0","20","-5","12","4","6","33.33","50","4","336","31","95","9.23","28.27","-157.55","9","6","154","17","44","11.04","28.57","-71.51","24","9","13","37.5","37.5","3.96","249","28","81","11.24","11.24","-85.88",
"Bennett, Charlie","7","0","1","0","14.29","-7","7","0","1","0","14.29","-7","384","12","69","3.13","17.97","-272","58","32","115","4","19","3.48","16.52","-57","15","2","5","13.33","13.33","-7.5","278","9","56","3.24","3.24","-182.5",
"Bishop, Charles","11","0","4","0","36.36","-11","22","1","7","4.55","31.82","-12","856","89","247","10.4","28.86","-220.54","13","19","446","48","127","10.76","28.48","-67.54","84","33","54","39.29","39.29","2.05","523","54","145","10.33","10.33","-68.44",
"Blackmore, Rachael","9","3","4","33.33","44.44","-2.15","16","5","6","31.25","37.5","-3.15","890","128","329","14.38","36.97","-287.69","3","2","450","67","162","14.89","36","-157.2","179","56","110","31.28","31.28","-32.24","361","29","103","8.03","8.03","-163.62",
"Bowen, S D","19","3","8","15.79","42.11","-10.87","25","6","11","24","44","9.13","590","57","161","9.66","27.29","-106.95","2","3","360","37","106","10.28","29.44","-96.16","59","18","36","30.51","30.51","-2.28","493","45","139","9.13","9.13","-76.28",
"Bradley, Paddy","15","2","2","13.33","13.33","-6.5","22","2","4","9.09","18.18","-13.5","583","49","143","8.4","24.53","-152.3","2","2","334","28","82","8.38","24.55","-78.46","32","7","15","21.88","21.88","-8.79","442","44","126","9.95","9.95","-34.8",
"Brookes, Aiden","9","0","2","0","22.22","-9","15","0","2","0","13.33","-15","453","30","83","6.62","18.32","66.58","18","21","244","16","45","6.56","18.44","107","21","5","14","23.81","23.81","-0.17","400","29","77","7.25","7.25","113.58",
"Brouder, Gavin","4","0","0","0","0","-4","8","0","2","0","25","-8","337","18","64","5.34","18.99","-170.87","26","10","162","9","26","5.56","16.05","-100.75","21","6","11","28.57","28.57","7.25","212","16","46","7.55","7.55","-53.25",
"Bryan, Joshua","6","1","1","16.67","16.67","-2","15","2","3","13.33","20","-9.09","415","38","120","9.16","28.92","-172.93","3","4","214","18","66","8.41","30.84","-115.93","27","10","19","37.04","37.04","3.74","269","24","82","8.92","8.92","-119.92",
"Caffrey, Adam","11","2","3","18.18","27.27","14","21","2","3","9.52","14.29","4","651","68","181","10.45","27.8","-92.22","1","2","341","37","98","10.85","28.74","-52.38","70","19","42","27.14","27.14","7.79","540","59","154","10.93","10.93","-34.3",
"Callan, N","11","2","3","18.18","27.27","5.5","22","3","7","13.64","31.82","-2.5","932","117","301","12.55","32.3","-95.91","3","3","428","41","128","9.58","29.91","-153.1","132","41","84","31.06","31.06","-21.25","605","77","200","12.73","12.73","-35.36",
"Carroll, G F","11","0","4","0","36.36","-11","22","0","8","0","36.36","-22","1029","94","264","9.14","25.66","-269.38","16","26","498","34","126","6.83","25.3","-156.57","93","26","55","27.96","27.96","-4.42","521","46","142","8.83","8.83","-166.18",
"Carson, William","9","0","1","0","11.11","-9","24","2","9","8.33","37.5","-8.5","902","55","186","6.1","20.62","-449.42","10","13","458","35","115","7.64","25.11","-173.95","53","17","34","32.08","32.08","-0.92","713","50","165","7.01","7.01","-300.97",
"Catton, Luke","2","0","0","0","0","-2","6","2","2","33.33","33.33","8.5","300","25","68","8.33","22.67","-107.47","11","4","157","12","37","7.64","23.57","-68.42","16","3","7","18.75","18.75","-8.8","257","24","58","9.34","9.34","-68.47",
