Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Bass, David","16","2","4","12.5","25","-3.33","524","73","167","13.93","31.87","-127.16","1","1","225","34","80","15.11","35.56","-27.13","94","25","55","26.6","26.6","-28.97","292","33","86","11.3","11.3","-99.56",
"Beasley, Connor","23","2","10","8.7","43.48","-11.3","1299","163","444","12.55","34.18","-144.61","4","9","739","87","256","11.77","34.64","-129.36","197","56","112","28.43","28.43","-12.34","928","125","334","13.47","13.47","-24.42",
"Bellamy, Tom","35","3","10","8.57","28.57","-6.5","797","94","253","11.79","31.74","-248.87","1","2","419","50","140","11.93","33.41","-127.21","81","33","48","40.74","40.74","7.17","471","57","151","12.1","12.1","-125.71",
"Berry, Mr J P","0","0","0","0","0","0","35","1","4","2.86","11.43","-28.5","147","8","23","1","3","4.35","13.04","-16.5","0","0","0","0","0","0","8","0","0","0","0","-8",
"Best, J A","25","1","5","4","20","-20","781","47","151","6.02","19.33","-326.9","7","10","306","13","49","4.25","16.01","-183.21","38","14","19","36.84","36.84","5.44","477","37","111","7.76","7.76","-121.8",
"Blackmore, Rachael","25","2","10","8","40","-18.5","884","138","338","15.61","38.24","-306.32","7","3","463","63","161","13.61","34.77","-169.92","209","70","129","33.49","33.49","-46.39","349","27","106","7.74","7.74","-132.21",
"Bowen, James C","35","6","14","17.14","40","-5.54","753","119","264","15.8","35.06","-39.65","3","7","348","57","123","16.38","35.34","-5.14","130","47","85","36.15","36.15","3.34","465","81","165","17.42","17.42","82.52",
"Bowen, Sean P","48","6","15","12.5","31.25","176.39","1106","204","409","18.44","36.98","1","3","7","599","118","237","19.7","39.57","138.9","265","110","169","41.51","41.51","3.08","719","127","254","17.66","17.66","-55.02",
"Brace, Mr J","4","1","2","25","50","-0.5","52","9","17","17.31","32.69","21.88","13","4","50","9","16","18","32","23.88","6","3","4","50","50","2.88","49","9","17","18.37","18.37","24.88",
"Brooke, Henry","5","0","0","0","0","-5","642","72","193","11.21","30.06","-202.83","31","10","254","36","89","14.17","35.04","-69.05","72","26","46","36.11","36.11","8.43","399","54","135","13.53","13.53","-93.31",
"Brouder, Gavin","11","0","1","0","9.09","-11","265","16","44","6.04","16.6","-4.97","47","21","128","6","20","4.69","15.63","15.2","6","1","1","16.67","16.67","-3.8","166","11","31","6.63","6.63","-1.8",
"Brouder, Gearoid","6","0","0","0","0","-6","238","6","26","2.52","10.92","-119.5","156","44","110","4","9","3.64","8.18","-6.5","4","0","0","0","0","-4","116","3","17","2.59","2.59","-96",
"Buckley, Kieran","14","0","4","0","28.57","-14","323","36","102","11.15","31.58","-83.31","49","35","221","21","67","9.5","30.32","-76.07","40","15","28","37.5","37.5","7.44","222","28","70","12.61","12.61","-29.42",
"Buckley, Tom","19","3","5","15.79","26.32","3.5","285","32","92","11.23","32.28","-91.37","1","1","164","20","57","12.2","34.76","-56.62","39","15","28","38.46","38.46","4.78","214","23","74","10.75","10.75","-63.77",
"Burns, Harry","7","0","3","0","42.86","-7","347","44","96","12.68","27.67","-84.71","58","23","197","28","58","14.21","29.44","-36.49","40","9","20","22.5","22.5","-16.04","281","35","77","12.46","12.46","-52.45",
"Carver, Bryan","19","2","5","10.53","26.32","-7.62","310","38","97","12.26","31.29","-93.73","8","7","143","16","41","11.19","28.67","-25.79","40","17","28","42.5","42.5","9.31","220","29","73","13.18","13.18","-38.03",
"Coakley, Ross","4","0","1","0","25","-4","610","71","203","11.64","33.28","-170.15","26","9","407","53","142","13.02","34.89","-89.76","73","27","46","36.99","36.99","-0.35","381","46","122","12.07","12.07","-107.01",
"Codd, Mr J J","7","1","4","14.29","57.14","-0.5","277","58","138","20.94","49.82","-78.27","13","5","108","18","50","16.67","46.3","-51.99","94","37","66","39.36","39.36","-15.54","23","2","8","8.7","8.7","-10.5",
"Cooper, Bryan J","18","1","2","5.56","11.11","-15.5","614","70","198","11.4","32.25","-165.69","7","3","278","30","94","10.79","33.81","-114.05","91","32","62","35.16","35.16","-0.57","272","31","92","11.4","11.4","15.88",
"Deegan, R","24","1","6","4.17","25","-22","630","34","119","5.4","18.89","-340.2","10","12","308","21","54","6.82","17.53","-105.7","21","6","12","28.57","28.57","-1.86","308","20","81","6.49","6.49","-121.5",
"Dempsey, Luke","20","1","4","5","20","-16.75","702","47","137","6.7","19.52","-300.74","7","3","338","24","60","7.1","17.75","-189.52","33","11","23","33.33","33.33","-4.02","346","20","62","5.78","5.78","-104.67",
"Deutsch, Charlie","27","3","10","11.11","37.04","-14.75","577","85","207","14.73","35.88","-163.01","2","9","275","44","98","16","35.64","-76.84","132","40","71","30.3","30.3","-26.42","406","67","150","16.5","16.5","-64.64",
"Donoghue, K M","20","3","7","15","35","-9","594","70","178","11.78","29.97","-124.83","7","4","368","45","113","12.23","30.71","-92.84","73","25","44","34.25","34.25","0.12","234","31","74","13.25","13.25","-16.34",
"Doyle, R A","11","1","3","9.09","27.27","-5","470","26","83","5.53","17.66","-20.17","13","10","231","12","41","5.19","17.75","-74.5","11","4","8","36.36","36.36","6.33","216","14","46","6.48","6.48","108.83",
"Dunne, R T","16","0","3","0","18.75","-16","375","34","96","9.07","25.6","-146.04","18","20","86","5","15","5.81","17.44","-55.87","41","12","19","29.27","29.27","-9.92","251","22","68","8.76","8.76","-138.12",
"Eaves, Tom","20","1","5","5","25","-16","1118","65","246","5.81","22","-514.64","2","2","506","28","110","5.53","21.74","-229.91","55","16","35","29.09","29.09","-6.11","779","46","174","5.91","5.91","-291.31",
"Edmunds, Lewis","23","0","5","0","21.74","-23","765","75","209","9.8","27.32","-189.2","17","24","405","41","114","10.12","28.15","-98.08","86","22","42","25.58","25.58","-22.53","552","56","158","10.14","10.14","-159.29",
"Edwards, Lee","15","1","4","6.67","26.67","-11","353","29","82","8.22","23.23","-21.57","7","3","158","16","38","10.13","24.05","12.33","18","8","12","44.44","44.44","6.6","226","21","61","9.29","9.29","1.58",
"Enright, P T","25","3","6","12","24","-6.5","835","54","178","6.47","21.32","-322.11","10","11","453","27","78","5.96","17.22","-233.62","49","9","31","18.37","18.37","-17.99","418","35","109","8.37","8.37","-79.87",
"Ewing, Sam","30","0","6","0","20","-30","745","58","172","7.79","23.09","-216.72","23","38","344","25","78","7.27","22.67","-100.85","50","9","20","18","18","-19.54","498","40","115","8.03","8.03","-185.71",
"Fenelon, S","7","0","0","0","0","-7","277","7","32","2.53","11.55","-175.5","377","121","108","0","9","0","8.33","-108","5","1","3","20","20","-1","152","6","22","3.95","3.95","-57",
"Fitzgerald, S","12","0","4","0","33.33","-12","576","54","172","9.38","29.86","-130.97","49","42","260","20","70","7.69","26.92","-142.97","53","17","30","32.08","32.08","-4.05","329","30","100","9.12","9.12","-36.04",
"Foley, J B","10","0","0","0","0","-10","600","60","154","10","25.67","-222.6","87","36","309","23","65","7.44","21.04","-159.91","62","18","33","29.03","29.03","-10.93","366","38","89","10.38","10.38","-88.54",
"Gainford, Mr J C","21","5","7","23.81","33.33","-1.95","754","86","210","11.41","27.85","-20.01","7","2","347","33","73","9.51","21.04","4.49","84","22","44","26.19","26.19","-8.13","414","43","107","10.39","10.39","36.31",
"Geoghegan, Mr R P","3","0","1","0","33.33","-3","50","3","10","6","20","-22.25","100","11","41","3","10","7.32","24.39","-13.25","2","1","1","50","50","0.25","34","1","8","2.94","2.94","-25.5",
"Gethings, Ciaran","16","1","3","6.25","18.75","-11.67","561","54","143","9.63","25.49","-227.12","7","7","252","27","70","10.71","27.78","-141.62","49","14","25","28.57","28.57","-15.78","335","30","78","8.96","8.96","-120.26",
"Gillard, Mr T","15","0","5","0","33.33","-15","446","49","136","10.99","30.49","-94.15","44","35","221","32","65","14.48","29.41","16.51","39","14","24","35.9","35.9","2.98","332","39","102","11.75","11.75","-40",
"Gleeson, Mr J L","6","0","1","0","16.67","-6","92","18","32","19.57","34.78","36.75","20","9","65","14","24","21.54","36.92","52.32","8","5","6","62.5","62.5","3.25","19","1","3","5.26","5.26","-7",
"Gordon, Mr Fred","6","0","0","0","0","-6","55","9","18","16.36","32.73","10.08","34","11","52","9","17","17.31","32.69","13.08","8","1","5","12.5","12.5","-5.75","52","9","18","17.31","17.31","13.08",
"Hammond, Charlie","18","4","9","22.22","50","3.25","530","75","168","14.15","31.7","89.74","7","3","273","36","80","13.19","29.3","-32.5","65","20","37","30.77","30.77","-9.16","381","56","125","14.7","14.7","13.5",
"Hampson, Brodie","1","0","0","0","0","-1","86","8","32","9.3","37.21","-45.17","142","19","56","6","19","10.71","33.93","-31.17","14","3","8","21.43","21.43","-3.5","82","8","31","9.76","9.76","-41.17",
"Hardie, Cameron","34","1","8","2.94","23.53","-25.5","1547","79","323","5.11","20.88","-915.51","7","20","722","34","155","4.71","21.47","-460.65","58","22","37","37.93","37.93","10.58","1223","75","286","6.13","6.13","-637.01",
"Hayes, Brian","19","0","3","0","15.79","-19","692","67","174","9.68","25.14","-277.65","28","26","310","23","66","7.42","21.29","-163.85","65","25","44","38.46","38.46","3.64","309","27","79","8.74","8.74","-90.5",
"Hendrick, Mr J W","0","0","0","0","0","0","50","5","10","10","20","18","265","9","14","2","4","14.29","28.57","6","2","0","1","0","0","-2","7","1","2","14.29","14.29","6",
"Hornby, Rob","28","1","4","3.57","14.29","-16","1180","117","314","9.92","26.61","-231.92","9","21","684","65","185","9.5","27.05","-113.82","126","31","58","24.6","24.6","-41.13","681","73","185","10.72","10.72","-203.29",
"Jacob, Daryl","22","6","11","27.27","50","-8.26","569","89","201","15.64","35.33","-113.83","1","3","235","40","97","17.02","41.28","-32.1","92","41","58","44.57","44.57","4.18","294","38","90","12.93","12.93","-75.02",
"James, S H","17","0","6","0","35.29","-17","1039","123","335","11.84","32.24","-239.43","19","21","590","65","173","11.02","29.32","-154.42","132","43","76","32.58","32.58","0.76","751","82","233","10.92","10.92","-147.69",
"Kelly, Aidan","10","1","2","10","20","19","206","7","34","3.4","16.5","-115.5","8","3","131","4","19","3.05","14.5","-82.5","7","0","1","0","0","-7","109","4","22","3.67","3.67","-59",
"Kelly, Eoin G","1","0","0","0","0","-1","38","1","6","2.63","15.79","-30.5","178","8","19","1","4","5.26","21.05","-11.5","0","0","0","0","0","0","21","1","4","4.76","4.76","-13.5",
"Kennedy, J W","31","4","10","12.9","32.26","-13","784","146","326","18.62","41.58","-71.67","7","7","472","96","196","20.34","41.53","-17.26","151","71","102","47.02","47.02","11.78","225","28","69","12.44","12.44","-14.79",
