Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","7","0","2","0","28.57","-7","12","1","3","8.33","25","-5.5","24","4","7","16.67","29.17","-3","29","4","10","13.79","34.48","-8","1302","122","392","9.37","30.11","-400.94","2","9","631","61","197","9.67","31.22","-174.08","140","34","77","24.29","24.29","-23.72","1012","101","321","9.98","9.98","-300.34",
"Beasley, Connor","4","2","4","50","100","16","9","3","6","33.33","66.67","13.63","23","4","8","17.39","34.78","3.63","32","4","10","12.5","31.25","-5.37","1261","139","427","11.02","33.86","-293.31","1","1","541","62","184","11.46","34.01","-136.19","168","42","103","25","25","-37.63","959","100","318","10.43","10.43","-281.55",
"Bennett, Charlie","2","0","0","0","0","-2","5","0","0","0","0","-5","7","0","1","0","14.29","-7","13","1","3","7.69","23.08","-8","380","12","69","3.16","18.16","-276","8","8","118","5","22","4.24","18.64","-55","14","2","5","14.29","14.29","-6.5","278","9","56","3.24","3.24","-190.5",
"Bird, Sean","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","132","3","12","2.27","9.09","-62","55","13","61","1","6","1.64","9.84","-46","0","0","0","0","0","0","86","2","9","2.33","2.33","-42",
"Bowen, S D","1","1","1","100","100","18","10","2","5","20","50","14.5","20","4","11","20","55","13.25","40","5","16","12.5","40","-0.75","627","62","177","9.89","28.23","-104.7","1","1","379","38","113","10.03","29.82","-99.16","65","19","41","29.23","29.23","-6.03","524","49","152","9.35","9.35","-70.28",
"Bradley, Paddy","1","1","1","100","100","5.5","5","1","3","20","60","1.5","14","2","5","14.29","35.71","4.5","24","4","11","16.67","45.83","1.25","600","52","152","8.67","25.33","-157.05","1","1","348","30","90","8.62","25.86","-82.96","37","8","18","21.62","21.62","-11.54","455","47","133","10.33","10.33","-35.55",
"Breslin, Andrew","0","0","0","0","0","0","3","0","0","0","0","-3","8","0","0","0","0","-8","13","0","1","0","7.69","-13","376","17","70","4.52","18.62","-173","21","16","267","14","57","5.24","21.35","-96.25","11","1","4","9.09","9.09","-7.75","320","15","60","4.69","4.69","-151",
"Brookes, Aiden","2","0","1","0","50","-2","3","0","1","0","33.33","-3","8","0","1","0","12.5","-8","13","1","2","7.69","15.38","-2","458","30","84","6.55","18.34","68.25","13","12","248","15","43","6.05","17.34","-4","21","4","13","19.05","19.05","-4.5","406","29","78","7.14","7.14","114.25",
"Caffrey, Adam","4","1","1","25","25","-0.25","6","1","1","16.67","16.67","-2.25","10","3","4","30","40","17.75","21","3","6","14.29","28.57","6.75","665","70","185","10.53","27.82","-87.47","1","3","347","39","100","11.24","28.82","-34.63","71","20","43","28.17","28.17","10.54","548","61","158","11.13","11.13","-23.55",
"Callan, N","4","0","1","0","25","-4","9","0","1","0","11.11","-9","18","4","5","22.22","27.78","2.96","30","6","8","20","26.67","-4.21","933","122","302","13.08","32.37","-97.12","4","10","440","44","132","10","30","-150.68","135","45","90","33.33","33.33","-13.79","608","81","201","13.32","13.32","-49.57",
"Carroll, G F","3","0","0","0","0","-3","10","0","1","0","10","-10","16","1","3","6.25","18.75","10","23","1","5","4.35","21.74","3","1019","96","262","9.42","25.71","-226.13","7","12","488","37","125","7.58","25.61","-107.32","93","26","55","27.96","27.96","-8.17","517","47","141","9.09","9.09","-151.18",
"Carson, William","2","0","1","0","50","-2","3","0","1","0","33.33","-3","9","0","2","0","22.22","-9","19","2","7","10.53","36.84","-12.12","923","57","193","6.18","20.91","-463.54","8","11","461","37","119","8.03","25.81","-170.07","55","18","36","32.73","32.73","-0.54","731","52","171","7.11","7.11","-312.09",
"Carver, William","0","0","0","0","0","0","3","0","1","0","33.33","-3","6","1","2","16.67","33.33","-0.5","15","3","6","20","40","7.25","285","24","64","8.42","22.46","-109","6","4","158","14","37","8.86","23.42","-58","20","2","8","10","10","-12","193","16","42","8.29","8.29","-71.75",
"Catton, Luke","0","0","0","0","0","0","1","0","1","0","100","-1","3","1","3","33.33","100","6.5","5","1","3","20","60","4.5","298","25","68","8.39","22.82","-101.97","5","2","152","12","36","7.89","23.68","-62.92","17","3","7","17.65","17.65","-9.8","253","24","57","9.49","9.49","-60.97",
"Cleary, Jack","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","8","0","1","0","12.5","-8","282","16","58","5.67","20.57","-124.29","23","19","165","11","39","6.67","23.64","-40.87","17","5","9","29.41","29.41","1.46","180","10","33","5.56","5.56","-68.42",
"Cleary, R P","0","0","0","0","0","0","3","0","0","0","0","-3","8","0","0","0","0","-8","12","0","0","0","0","-12","806","38","148","4.71","18.36","-340.63","21","21","349","17","61","4.87","17.48","-108.54","40","9","21","22.5","22.5","-9.59","412","21","78","5.1","5.1","-73.75",
"Clutterbuck, Rhys","2","0","0","0","0","-2","4","0","0","0","0","-4","8","1","1","12.5","12.5","-6.75","21","1","3","4.76","14.29","-19.75","750","66","177","8.8","23.6","-236.99","6","6","409","36","89","8.8","21.76","-151.92","54","18","36","33.33","33.33","-3.99","526","53","138","10.08","10.08","-99.72",
"Coen, J","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","5","0","1","0","20","-5","348","21","73","6.03","20.98","-167.17","26","12","152","9","28","5.92","18.42","-56","19","4","9","21.05","21.05","-2.67","260","15","55","5.77","5.77","-130.67",
"Coen, S","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","1","0","33.33","-3","7","0","1","0","14.29","-7","9999","9999","7","0","1","0","14.29","-7","0","0","0","0","0","0","7","0","1","0","0","-7",
"Cole, Morgan","1","0","1","0","100","-1","2","0","1","0","50","-2","3","0","1","0","33.33","-3","5","0","1","0","20","-5","297","23","73","7.74","24.58","-179.66","35","18","186","11","45","5.91","24.19","-121.37","21","6","8","28.57","28.57","-4.24","248","22","70","8.87","8.87","-135.16",
"Cosgrave, Pat","2","0","0","0","0","-2","6","1","1","16.67","16.67","6","10","1","3","10","30","2","23","2","6","8.7","26.09","-1.5","432","53","129","12.27","29.86","-110.19","2","4","221","26","59","11.76","26.7","-33.47","53","26","37","49.06","49.06","19.9","316","39","99","12.34","12.34","-82.93",
"Costello, Dougie","3","1","1","33.33","33.33","3","5","1","2","20","40","1","10","1","2","10","20","-4","24","3","7","12.5","29.17","-9.25","707","63","170","8.91","24.05","-238.89","1","2","339","27","77","7.96","22.71","-154.65","53","15","34","28.3","28.3","-14.05","538","51","133","9.48","9.48","-133.7",
"Coughlan, Laura","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","11","0","2","0","18.18","-11","214","17","46","7.94","21.5","-22.17","52","25","105","6","18","5.71","17.14","-30.5","15","4","8","26.67","26.67","-3.67","174","14","37","8.05","8.05","-13.17",
"Cox, William","1","0","0","0","0","-1","6","0","0","0","0","-6","12","0","0","0","0","-12","17","1","1","5.88","5.88","24","435","14","53","3.22","12.18","-173.5","13","16","251","9","30","3.59","11.95","-22.5","7","0","2","0","0","-7","291","10","41","3.44","3.44","-67.5",
"Croot, Elle-May","0","0","0","0","0","0","2","0","0","0","0","-2","2","0","0","0","0","-2","5","0","1","0","20","-5","208","17","48","8.17","23.08","-61.19","28","7","101","8","18","7.92","17.82","-25.44","10","3","8","30","30","-0.02","170","15","42","8.82","8.82","-51.19",
"Crosse, Nathan","2","0","1","0","50","-2","6","1","3","16.67","50","5","12","1","3","8.33","25","-1","26","2","7","7.69","26.92","36","813","38","141","4.67","17.34","-103.59","3","5","347","15","64","4.32","18.44","6.78","27","5","15","18.52","18.52","-8.17","447","23","87","5.15","5.15","-12.5",
"Crouch, Hector","3","0","1","0","33.33","-3","9","0","2","0","22.22","-9","14","2","4","14.29","28.57","-8.2","18","2","4","11.11","22.22","-12.2","961","144","326","14.98","33.92","-149.5","4","13","496","72","177","14.52","35.69","-89.2","174","55","101","31.61","31.61","-21.16","536","82","183","15.3","15.3","-36",
"Davies, Harry","3","0","1","0","33.33","-3","8","1","2","12.5","25","5","12","2","4","16.67","33.33","6","29","5","7","17.24","24.14","19","908","98","281","10.79","30.95","-179.17","2","5","549","60","176","10.93","32.06","-76.61","104","30","61","28.85","28.85","-15.63","597","54","169","9.05","9.05","-198.04",
