Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","45","1","12","2.22","26.67","-39.5","1281","127","390","9.91","30.44","-393.35","1","1","678","59","200","8.7","29.5","-233.36","172","55","102","31.98","31.98","7.45","989","110","326","11.12","11.12","-215.71",
"Beasley, Connor","41","5","17","12.2","41.46","-15.29","1454","167","491","11.49","33.77","-227.3","6","10","726","80","247","11.02","34.02","-142.45","204","50","120","24.51","24.51","-49.65","1051","123","363","11.7","11.7","-105.35",
"Bishop, Charles","23","3","6","13.04","26.09","9.5","706","70","192","9.92","27.2","-170.01","1","3","405","40","118","9.88","29.14","-137.43","67","22","40","32.84","32.84","-13.13","419","34","99","8.11","8.11","-98.7",
"Bowen, S D","19","3","8","15.79","42.11","1","377","28","91","7.43","24.14","-63.79","1","2","237","23","60","9.7","25.32","2.21","26","6","14","23.08","23.08","-7.79","308","21","72","6.82","6.82","-54.79",
"Bradley, Paddy","11","1","2","9.09","18.18","-7","289","23","72","7.96","24.91","-100.84","8","4","251","21","62","8.37","24.7","-75.84","20","1","8","5","5","-16.5","222","22","64","9.91","9.91","-37.34",
"Brassil, C","5","0","0","0","0","-5","161","9","38","5.59","23.6","-84.2","82","23","94","4","17","4.26","18.09","-47.4","9","3","5","33.33","33.33","-1.7","95","3","19","3.16","3.16","-75.5",
"Breslin, Andrew","9","1","2","11.11","22.22","-3","243","14","40","5.76","16.46","-104.87","10","7","105","2","12","1.9","11.43","-76","10","3","3","30","30","-2.12","213","14","36","6.57","6.57","-74.87",
"Brookes, Aiden","11","2","3","18.18","27.27","61.5","347","36","77","10.37","22.19","52.71","1","1","207","15","39","7.25","18.84","28.58","23","9","14","39.13","39.13","6.46","303","35","71","11.55","11.55","90.71",
"Brotherton, Miss S","3","0","1","0","33.33","-3","75","6","21","8","28","-52.49","67","14","37","4","8","10.81","21.62","-22.37","16","4","9","25","25","-5.49","75","6","21","8","8","-52.49",
"Brouder, Gavin","13","1","7","7.69","53.85","-7","306","16","57","5.23","18.63","-38.92","13","8","173","9","37","5.2","21.39","-68.12","13","2","6","15.38","15.38","-6.3","193","12","37","6.22","6.22","-17.3",
"Bryan, Joshua","14","0","3","0","21.43","-14","363","36","98","9.92","27","-60.27","20","19","204","20","54","9.8","26.47","-60","23","8","16","34.78","34.78","1.48","223","22","65","9.87","9.87","-34.87",
"Buckley, Kieran","9","0","1","0","11.11","-9","440","37","120","8.41","27.27","-187.9","60","29","284","18","62","6.34","21.83","-158.1","48","14","30","29.17","29.17","-3.9","274","25","78","9.12","9.12","-79.24",
"Buick, William","60","20","30","33.33","50","32.31","1562","377","721","24.14","46.16","-78.76","1","2","761","173","341","22.73","44.81","-34.46","560","225","357","40.18","40.18","-10.97","829","183","355","22.07","22.07","-37.32",
"Burns, Harry","18","1","6","5.56","33.33","-16.09","395","46","109","11.65","27.59","-132.22","14","18","209","21","62","10.05","29.67","-89.77","35","10","18","28.57","28.57","-7.8","306","35","87","11.44","11.44","-84.21",
"Caffrey, Adam","17","2","5","11.76","29.41","5","417","38","106","9.11","25.42","-63.76","12","14","311","31","84","9.97","27.01","-40.84","35","9","20","25.71","25.71","-2.42","336","30","82","8.93","8.93","-31.59",
"Callan, N","41","8","17","19.51","41.46","-3.7","943","140","329","14.85","34.89","104.89","2","3","505","78","174","15.45","34.46","60.56","147","47","87","31.97","31.97","-12.09","607","92","217","15.16","15.16","86.22",
"Cameron, Tyrese","0","0","0","0","0","0","37","4","12","10.81","32.43","0.08","58","7","36","4","12","11.11","33.33","1.08","3","1","2","33.33","33.33","1.33","37","4","12","10.81","10.81","0.08",
"Carroll, G F","35","1","8","2.86","22.86","-30.5","1022","102","262","9.98","25.64","-282.51","8","23","536","59","140","11.01","26.12","-123.81","108","36","68","33.33","33.33","17.11","532","59","148","11.09","11.09","-99.88",
"Catton, Luke","10","1","2","10","20","-7.25","244","26","57","10.66","23.36","-14.16","8","5","140","12","29","8.57","20.71","-42.05","16","5","8","31.25","31.25","-2.66","216","25","50","11.57","11.57","-37.16",
