Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","3","0","0","0","0","-3","12","3","4","25","33.33","2.5","12","3","4","25","33.33","2.5","20","3","7","15","35","-5.5","1309","122","394","9.32","30.1","-401.44","2","5","625","62","197","9.92","31.52","-167.58","144","34","78","23.61","23.61","-27.72","1018","102","324","10.02","10.02","-293.34",
"Anderson, Mr A","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","100","100","23","2","2","2","100","100","23","240","14","42","5.83","17.5","-96","5","1","88","6","14","6.82","15.91","-14.5","7","1","2","14.29","14.29","-3.5","183","12","37","6.56","6.56","-51.5",
"Beasley, Connor","2","0","1","0","50","-2","8","0","1","0","12.5","-8","23","1","4","4.35","17.39","-19","23","1","4","4.35","17.39","-19","1270","141","431","11.1","33.94","-289.94","4","9","538","60","180","11.15","33.46","-151.32","168","43","103","25.6","25.6","-34.76","964","101","320","10.48","10.48","-276.93",
"Bennett, Charlie","0","0","0","0","0","0","2","0","1","0","50","-2","4","1","2","25","50","1","11","1","5","9.09","45.45","-6","382","13","70","3.4","18.32","-265","5","3","115","5","22","4.35","19.13","-52","14","2","5","14.29","14.29","-6.5","281","10","57","3.56","3.56","-180.5",
"Birkett, Mr R","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","33","4","10","12.12","30.3","-11.75","216","9","15","1","1","6.67","6.67","-11.75","5","1","1","20","20","-1.75","33","4","10","12.12","12.12","-11.75",
"Bishop, Charles","3","0","2","0","66.67","-3","5","0","3","0","60","-5","11","0","3","0","27.27","-11","29","1","9","3.45","31.03","-26.5","864","87","247","10.07","28.59","-234.85","9","15","453","47","129","10.38","28.48","-91.14","84","32","53","38.1","38.1","0.07","531","53","145","9.98","9.98","-80.77",
"Blackmore, Rachael","4","1","3","25","75","0.5","4","1","3","25","75","0.5","6","1","3","16.67","50","-1.5","11","1","3","9.09","27.27","-6.5","894","129","332","14.43","37.14","-287.19","1","2","450","68","165","15.11","36.67","-152.7","180","56","110","31.11","31.11","-33.24","362","30","105","8.29","8.29","-160.12",
"Bowen, Miss S L","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50","50","1.75","57","5","15","8.77","26.32","-33.45","13","2","32","4","9","12.5","28.13","-14.95","3","2","2","66.67","66.67","2.55","57","5","15","8.77","8.77","-33.45",
"Bowen, S D","5","2","3","40","60","3.75","7","2","4","28.57","57.14","1.75","16","2","9","12.5","56.25","-7.25","38","4","13","10.53","34.21","-20","617","60","172","9.72","27.88","-119.2","1","2","369","36","108","9.76","29.27","-113.66","64","19","41","29.69","29.69","-5.03","516","47","148","9.11","9.11","-86.78",
"Bradley, Paddy","3","0","0","0","0","-3","6","0","0","0","0","-6","13","1","4","7.69","30.77","-1","23","4","10","17.39","43.48","-1.25","597","51","149","8.54","24.96","-160.55","4","8","346","29","87","8.38","25.14","-87.46","35","8","16","22.86","22.86","-9.54","453","46","130","10.15","10.15","-40.05",
