Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","5","0","1","0","20","-5","16","0","5","0","31.25","-16","28","3","8","10.71","28.57","-13.5","33","4","10","12.12","30.3","-12","1308","122","393","9.33","30.05","-406.94","4","18","631","59","196","9.35","31.06","-186.58","139","34","77","24.46","24.46","-22.72","1016","101","321","9.94","9.94","-304.34",
"Barry, Mr B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","-18","1090","28","9","0","0","0","0","-9","0","0","0","0","0","0","8","0","0","0","0","-8",
"Beasley, Connor","4","0","0","0","0","-4","12","2","7","16.67","58.33","8","21","3","10","14.29","47.62","1.63","40","4","13","10","32.5","-13.37","1267","139","429","10.97","33.86","-299.31","3","9","542","61","183","11.25","33.76","-146.19","170","42","104","24.71","24.71","-39.63","962","100","320","10.4","10.4","-284.55",
"Bennett, Charlie","0","0","0","0","0","0","4","0","0","0","0","-4","8","0","1","0","12.5","-8","12","1","2","8.33","16.67","-7","382","12","69","3.14","18.06","-278","10","10","118","5","21","4.24","17.8","-55","14","2","5","14.29","14.29","-6.5","279","9","56","3.23","3.23","-191.5",
"Bishop, Charles","0","0","0","0","0","0","3","0","1","0","33.33","-3","14","1","5","7.14","35.71","-9","26","2","8","7.69","30.77","-18.5","864","87","248","10.07","28.7","-239.85","5","6","457","47","128","10.28","28.01","-100.14","85","32","54","37.65","37.65","-0.93","535","52","146","9.72","9.72","-94.77",
"Bond, Alice","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","72","3","13","4.17","18.06","-39.5","25","4","40","3","7","7.5","17.5","-7.5","0","0","0","0","0","0","60","3","13","5","5","-27.5",
"Bowen, S D","0","0","0","0","0","0","4","4","4","100","100","27.17","19","7","12","36.84","63.16","26.42","36","7","18","19.44","50","9.42","628","65","180","10.35","28.66","-93.53","2","1","379","41","115","10.82","30.34","-86.99","67","21","43","31.34","31.34","-3.86","525","51","154","9.71","9.71","-60.28",
"Bradley, Paddy","2","0","0","0","0","-2","5","1","1","20","20","1.5","15","1","3","6.67","20","-8.5","24","3","9","12.5","37.5","-1","604","52","152","8.61","25.17","-161.05","3","5","350","29","88","8.29","25.14","-87.96","37","8","18","21.62","21.62","-11.54","456","47","133","10.31","10.31","-36.55",
"Breslin, Andrew","2","0","0","0","0","-2","4","0","1","0","25","-4","8","0","1","0","12.5","-8","13","0","1","0","7.69","-13","380","17","71","4.47","18.68","-177","23","20","268","14","58","5.22","21.64","-97.25","11","1","4","9.09","9.09","-7.75","322","15","61","4.66","4.66","-153",
"Brookes, Aiden","0","0","0","0","0","0","5","0","1","0","20","-5","9","0","1","0","11.11","-9","13","0","1","0","7.69","-13","461","30","84","6.51","18.22","65.25","15","15","248","15","42","6.05","16.94","-4","21","4","13","19.05","19.05","-4.5","409","29","78","7.09","7.09","111.25",
"Burns, Harry","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","297","24","75","8.08","25.25","-142.27","42","9","94","3","12","3.19","12.77","-58.5","16","5","10","31.25","31.25","-1.1","215","17","60","7.91","7.91","-107.01",
"Caffrey, Adam","0","0","0","0","0","0","6","2","2","33.33","33.33","-0.45","8","2","2","25","25","-2.45","20","4","6","20","30","9.55","667","71","186","10.64","27.89","-87.67","2","1","346","40","100","11.56","28.9","-31.83","72","21","44","29.17","29.17","11.34","548","61","158","11.13","11.13","-23.55",
