Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","3","1","2","33.33","66.67","0.25","9","1","4","11.11","44.44","-5.75","28","1","10","3.57","35.71","-24.75","52","5","17","9.62","32.69","-27.75","1318","123","397","9.33","30.12","-413.69","1","3","630","59","201","9.37","31.9","-187.83","139","35","77","25.18","25.18","-19.47","1024","102","325","9.96","9.96","-309.09",
"Anderson, Joe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","226","29","78","12.83","34.51","-26.45","86","13","147","13","42","8.84","28.57","-34.78","21","8","13","38.1","38.1","4.72","184","24","68","13.04","13.04","-20.2",
"Anderson, Mr A","2","0","0","0","0","-2","2","0","0","0","0","-2","2","0","0","0","0","-2","3","0","0","0","0","-3","239","14","42","5.86","17.57","-95","15","4","91","6","14","6.59","15.38","-17.5","7","1","2","14.29","14.29","-3.5","182","12","37","6.59","6.59","-50.5",
"Andrews, Gina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","58","9","22","15.52","37.93","-26.04","118","11","31","4","13","12.9","41.94","-17.04","9","4","6","44.44","44.44","3.38","29","5","14","17.24","17.24","-11.12",
"Andrews, Jack","0","0","0","0","0","0","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","64","5","21","7.81","32.81","-21","333","38","38","1","12","2.63","31.58","-28","4","0","1","0","0","-4","38","4","11","10.53","10.53","-7",
"Armson, Philip","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","348","15","48","4.31","13.79","-87.59","36","8","145","4","18","2.76","12.41","-85.5","19","0","7","0","0","-19","283","13","42","4.59","4.59","-152.92",
"Bannister, Harry A A","1","0","1","0","100","-1","1","0","1","0","100","-1","1","0","1","0","100","-1","3","0","1","0","33.33","-3","435","39","121","8.97","27.82","-176.44","17","5","256","21","62","8.2","24.22","-139.64","50","13","22","26","26","-13.6","322","29","91","9.01","9.01","-115.32",
"Barfoot-Saunt, Mr G","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","20","0","0","0","0","-20","6708","171","5","0","0","0","0","-5","0","0","0","0","0","0","0","0","0","0","0","0",
"Bass, David","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","477","57","139","11.95","29.14","-129.48","135","42","240","19","56","7.92","23.33","-129.04","70","18","36","25.71","25.71","-27.28","263","33","72","12.55","12.55","-22.5",
"Beasley, Connor","3","1","1","33.33","33.33","0.75","7","1","2","14.29","28.57","-3.25","21","1","5","4.76","23.81","-17.25","44","5","13","11.36","29.55","-13.62","1260","140","426","11.11","33.81","-288.56","1","1","541","62","183","11.46","33.83","-141.44","169","43","105","25.44","25.44","-34.88","958","101","319","10.54","10.54","-276.8",
"Bellamy, Tom","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","4","1","1","25","25","5","894","94","271","10.51","30.31","-298.84","13","4","431","49","142","11.37","32.95","-144.3","91","30","53","32.97","32.97","-16.01","557","57","161","10.23","10.23","-231.87",
