Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","46","5","18","10.87","39.13","-29.56","1286","146","404","11.35","31.42","-308.41","1","1","696","67","207","9.63","29.74","-151.32","190","64","118","33.68","33.68","10.76","975","128","325","13.13","13.13","-105.03",
"Andrews, Bridget","1","0","0","0","0","-1","273","35","71","12.82","26.01","-7.48","17","7","156","18","41","11.54","26.28","14.59","31","13","18","41.94","41.94","3.27","155","15","32","9.68","9.68","6.2",
"Atzeni, Andrea","33","5","9","15.15","27.27","20","868","146","324","16.82","37.33","-54.1","3","5","459","85","168","18.52","36.6","37.1","169","58","102","34.32","34.32","-9.3","476","79","167","16.6","16.6","-16.22",
"Bannister, Harry A A","7","0","1","0","14.29","-7","508","66","172","12.99","33.86","-83.25","26","20","169","17","54","10.06","31.95","-43.66","92","26","53","28.26","28.26","-23.17","320","46","114","14.38","14.38","-2.45",
"Bass, George","7","0","1","0","14.29","-7","383","34","94","8.88","24.54","-54.15","20","11","225","22","65","9.78","28.89","-62.78","21","7","10","33.33","33.33","-0.98","288","30","78","10.42","10.42","-25.65",
"Beasley, Connor","47","5","16","10.64","34.04","-6.79","1450","177","495","12.21","34.14","-133.77","3","10","761","80","256","10.51","33.64","-173.02","211","57","122","27.01","27.01","-27.91","1036","132","365","12.74","12.74","-41.16",
"Bellamy, Tom","17","2","6","11.76","35.29","-7.17","859","97","270","11.29","31.43","-280.05","3","2","453","46","135","10.15","29.8","-150.36","81","33","49","40.74","40.74","4.08","524","60","166","11.45","11.45","-178.86",
"Bennett, Charlie","11","0","2","0","18.18","-11","631","22","105","3.49","16.64","-436.12","45","45","309","12","55","3.88","17.8","-222","22","3","10","13.64","13.64","-10.5","456","20","93","4.39","4.39","-271.12",
"Best, J A","14","0","0","0","0","-14","696","44","130","6.32","18.68","-301.28","47","32","294","11","41","3.74","13.95","-169.87","37","14","18","37.84","37.84","6.06","436","37","104","8.49","8.49","-85.18",
"Bishop, Charles","26","3","11","11.54","42.31","-6.67","681","64","180","9.4","26.43","-204.81","4","10","382","45","113","11.78","29.58","-129.19","64","20","39","31.25","31.25","-10.93","408","33","97","8.09","8.09","-110.82",
"Boinville, Nico","8","2","6","25","75","-3.02","606","133","232","21.95","38.28","-12.13","3","2","270","64","111","23.7","41.11","-13.68","195","82","114","42.05","42.05","-5.79","300","56","100","18.67","18.67","77.05",
"Bowen, Sean P","33","11","16","33.33","48.48","2.23","1190","229","446","19.24","37.48","51.08","3","1","668","127","254","19.01","38.02","127.81","284","114","174","40.14","40.14","-14.12","770","135","270","17.53","17.53","-44.86",
"Bradley, Paddy","14","1","3","7.14","21.43","-7.5","185","15","47","8.11","25.41","-48.17","7","4","184","15","47","8.15","25.54","-47.17","10","0","3","0","0","-10","142","14","42","9.86","9.86","-8.67",
"Brooke, Henry","17","2","5","11.76","29.41","-2","673","84","211","12.48","31.35","-219.26","5","4","379","58","130","15.3","34.3","-88.04","84","28","51","33.33","33.33","-3.7","443","65","151","14.67","14.67","-126.21",
"Brookes, Aiden","4","0","0","0","0","-4","302","33","74","10.93","24.5","29.71","21","11","197","24","47","12.18","23.86","46.21","25","9","15","36","36","4.71","262","33","69","12.6","12.6","69.71",
"Burns, Harry","10","0","3","0","30","-10","383","47","109","12.27","28.46","-105.38","18","15","192","26","61","13.54","31.77","-50.08","41","10","23","24.39","24.39","-11.71","311","37","90","11.9","11.9","-71.62",
"Callan, N","48","10","18","20.83","37.5","4.55","735","107","258","14.56","35.1","105.59","2","6","507","80","185","15.78","36.49","76.3","111","34","66","30.63","30.63","-9.76","482","73","174","15.15","15.15","65.47",
"Cannon, Tom J","3","1","2","33.33","66.67","1.33","828","143","288","17.27","34.78","-142.78","3","3","390","59","120","15.13","30.77","-63.96","144","67","95","46.53","46.53","17.89","460","71","133","15.43","15.43","-88.72",
"Carson, William","24","1","5","4.17","20.83","-19","792","37","131","4.67","16.54","-382.29","14","23","394","17","71","4.31","18.02","-229.9","35","12","19","34.29","34.29","0.46","590","32","107","5.42","5.42","-210.05",
"Carver, William","8","0","1","0","12.5","-8","315","30","71","9.52","22.54","-99.08","17","9","173","15","45","8.67","26.01","-58.12","29","5","12","17.24","17.24","-14.41","236","27","61","11.44","11.44","-39.58",
"Clutterbuck, Rhys","16","1","5","6.25","31.25","-3","754","78","207","10.34","27.45","-223.79","4","1","377","36","97","9.55","25.73","-137.58","101","28","56","27.72","27.72","-14.62","541","67","172","12.38","12.38","-104.34",
"Cobden, Harry","30","11","14","36.67","46.67","3.62","936","231","412","24.68","44.02","-87.17","2","1","495","129","233","26.06","47.07","-37.68","287","135","180","47.04","47.04","9.28","521","99","196","19","19","-62.83",
