Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Bannister, Harry A A","8","0","0","0","0","-8","491","62","168","12.63","34.22","-86.38","32","14","175","16","54","9.14","30.86","-44.3","88","24","48","27.27","27.27","-27.97","317","41","110","12.93","12.93","-38.58",
"Barron, Mr R W","8","3","5","37.5","62.5","10.63","124","11","38","8.87","30.65","-22.87","12","5","68","10","25","14.71","36.76","7.13","8","1","5","12.5","12.5","-3.5","21","4","11","19.05","19.05","14",
"Bass, David","8","3","4","37.5","50","4.63","480","72","170","15","35.42","-48.12","2","1","237","41","85","17.3","35.86","12.19","75","22","43","29.33","29.33","-22.1","261","35","85","13.41","13.41","-18.36",
"Bellamy, Tom","16","4","7","25","43.75","10.63","877","98","276","11.17","31.47","-290.84","4","5","466","47","133","10.09","28.54","-134.04","87","33","51","37.93","37.93","-5.67","537","60","171","11.17","11.17","-201.02",
"Bennett, Miss N","0","0","0","0","0","0","42","6","13","14.29","30.95","40.5","205","21","26","4","7","15.38","26.92","19","3","0","1","0","0","-3","35","6","11","17.14","17.14","47.5",
"Best, J A","6","1","3","16.67","50","0.5","707","39","132","5.52","18.67","-281.56","10","4","341","14","62","4.11","18.18","-118.37","35","11","15","31.43","31.43","2.03","451","34","110","7.54","7.54","-58.21",
"Bird, Sean","4","0","0","0","0","-4","121","3","8","2.48","6.61","-37","114","33","76","2","6","2.63","7.89","-21","2","0","0","0","0","-2","79","2","5","2.53","2.53","-21",
"Bishop, Charles","10","1","2","10","20","-6","707","69","192","9.76","27.16","-262.41","10","7","394","38","112","9.64","28.43","-140.81","71","24","43","33.8","33.8","-12.53","414","34","99","8.21","8.21","-174.6",
"Bowen, James C","10","0","2","0","20","-10","543","75","182","13.81","33.52","-75.22","253","46","214","17","60","7.94","28.04","-84.99","90","30","58","33.33","33.33","-4.64","340","52","114","15.29","15.29","41.74",
"Bowen, Sean P","36","8","14","22.22","38.89","-12.75","1321","269","512","20.36","38.76","107.77","7","19","772","154","291","19.95","37.69","152.37","324","141","207","43.52","43.52","13.44","852","154","309","18.08","18.08","3.57",
"Brace, Connor","6","1","3","16.67","50","-0.5","365","56","112","15.34","30.68","7.28","11","6","173","29","58","16.76","33.53","-22.08","43","20","31","46.51","46.51","13.37","202","34","65","16.83","16.83","51.1",
"Brassil, C","2","0","1","0","50","-2","169","10","40","5.92","23.67","-82.7","34","6","92","5","19","5.43","20.65","-35.9","9","3","5","33.33","33.33","-1.7","99","4","21","4.04","4.04","-70",
"Brouder, Gavin","9","0","0","0","0","-9","304","16","58","5.26","19.08","-43.42","23","14","183","10","39","5.46","21.31","-72.62","12","3","7","25","25","0.2","194","12","38","6.19","6.19","-24.8",
"Burke, Jonathan","8","1","5","12.5","62.5","-4","749","103","247","13.75","32.98","-177.52","3","4","316","43","110","13.61","34.81","-111.38","98","41","66","41.84","41.84","9.22","442","57","129","12.9","12.9","-127.92",
"Butler, D","1","0","0","0","0","-1","16","1","2","6.25","12.5","-12.25","86","3","13","1","1","7.69","7.69","-9.25","1","1","1","100","100","2.75","4","1","2","25","25","-0.25",
"Byrnes, Mr P","11","1","4","9.09","36.36","-5.5","220","26","61","11.82","27.73","-99.42","9","6","180","21","46","11.67","25.56","-82.02","30","13","19","43.33","43.33","4.83","120","13","29","10.83","10.83","-55",
"Cannon, Tom J","8","0","1","0","12.5","-8","821","140","286","17.05","34.84","-141","35","14","390","55","116","14.1","29.74","-56.44","136","64","90","47.06","47.06","20.67","463","73","137","15.77","15.77","-84.47",
"Carberry, Peter","5","0","0","0","0","-5","308","10","45","3.25","14.61","-233.5","65","19","154","6","27","3.9","17.53","-106","14","2","6","14.29","14.29","-5","145","8","35","5.52","5.52","-87",
"Carroll, G F","29","0","5","0","17.24","-29","1026","102","267","9.94","26.02","-298.01","24","62","543","56","139","10.31","25.6","-139.64","108","36","70","33.33","33.33","17.11","538","59","156","10.97","10.97","-108.38",
"Cavanagh, Mr S","3","1","1","33.33","33.33","48","60","2","4","3.33","6.67","3","8","2","37","1","2","2.7","5.41","14","1","0","0","0","0","-1","10","1","2","10","10","2",
"Clutterbuck, Rhys","15","1","3","6.67","20","-10.5","728","77","193","10.58","26.51","-182.17","12","12","328","27","82","8.23","25","-104.07","86","24","47","27.91","27.91","-14.75","513","64","156","12.48","12.48","-74.72",
"Cobden, Harry","18","3","8","16.67","44.44","-12.93","994","234","437","23.54","43.96","-119.53","1","1","593","146","277","24.62","46.71","-51.86","297","137","189","46.13","46.13","9.05","567","105","217","18.52","18.52","-82.02",
