Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","47","7","19","14.89","40.43","-5.67","1335","134","399","10.04","29.89","-341.78","6","17","633","64","189","10.11","29.86","-210.46","162","45","90","27.78","27.78","-12.19","1038","110","330","10.6","10.6","-237.6",
"Andrews, Jack","6","0","2","0","33.33","-6","52","5","16","9.62","30.77","-9","228","23","23","1","7","4.35","30.43","-13","5","0","1","0","0","-5","32","4","9","12.5","12.5","-1",
"Armson, Philip","6","0","0","0","0","-6","393","21","72","5.34","18.32","-136.8","62","35","131","5","20","3.82","15.27","-103.17","37","3","17","8.11","8.11","-27.04","323","19","65","5.88","5.88","-197.13",
"Balfe, A","0","0","0","0","0","0","18","1","1","5.56","5.56","-5","71","4","17","1","1","5.88","5.88","-4","0","0","0","0","0","0","9","1","1","11.11","11.11","4",
"Barry, Mr J C","6","2","2","33.33","33.33","2.83","158","8","36","5.06","22.78","-93.34","1","1","81","5","20","6.17","24.69","-50.34","2","0","0","0","0","-2","26","0","4","0","0","-26",
"Beasley, Connor","48","9","21","18.75","43.75","8.71","1286","141","438","10.96","34.06","-337.41","5","11","527","63","186","11.95","35.29","-160.39","177","47","105","26.55","26.55","-35.48","963","102","322","10.59","10.59","-270.12",
"Bellamy, Tom","14","1","3","7.14","21.43","-11.62","892","94","272","10.54","30.49","-310.27","9","7","437","47","137","10.76","31.35","-163.41","93","33","54","35.48","35.48","-13.48","554","55","160","9.93","9.93","-246.12",
"Bennett, Charlie","9","0","0","0","0","-9","432","16","79","3.7","18.29","-287","236","41","124","4","24","3.23","19.35","-66","15","3","6","20","20","-3.5","309","13","65","4.21","4.21","-180.5",
"Berry, Mr R A","1","0","0","0","0","-1","35","1","6","2.86","17.14","-24","364","12","12","1","2","8.33","16.67","-1","1","0","0","0","0","-1","10","1","2","10","10","1",
"Best, J A","12","1","2","8.33","16.67","-6.5","675","34","123","5.04","18.22","-315.78","7","5","373","23","80","6.17","21.45","-137.91","27","9","14","33.33","33.33","2.56","446","32","112","7.17","7.17","-108.78",
"Bewley, Callum","8","1","1","12.5","12.5","7","243","19","48","7.82","19.75","-83.71","7","4","141","11","28","7.8","19.86","-40.42","8","3","6","37.5","37.5","2.08","125","16","39","12.8","12.8","10.41",
"Bishop, Charles","29","1","10","3.45","34.48","-10","828","93","236","11.23","28.5","-188.81","3","7","448","48","123","10.71","27.46","-59.57","86","32","53","37.21","37.21","-1.18","500","52","131","10.4","10.4","-98.22",
"Boinville, Nico","1","0","0","0","0","-1","518","122","211","23.55","40.73","-31.8","15","2","245","57","99","23.27","40.41","-17.37","167","78","104","46.71","46.71","7.2","258","48","88","18.6","18.6","31.1",
"Bowen, James C","14","1","5","7.14","35.71","-10.25","678","88","235","12.98","34.66","-165.35","12","12","414","60","158","14.49","38.16","-81.61","118","37","77","31.36","31.36","-17.65","402","55","134","13.68","13.68","-42.12",
"Bowen, S D","28","4","8","14.29","28.57","-4.75","463","37","120","7.99","25.92","-91.29","7","11","277","26","82","9.39","29.6","-59.04","40","9","21","22.5","22.5","-8.79","389","30","104","7.71","7.71","-55.29",
"Bowen, Sean P","35","7","12","20","34.29","11.84","1403","278","542","19.81","38.63","147.57","2","2","720","146","283","20.28","39.31","30.32","355","147","213","41.41","41.41","-1.75","909","161","326","17.71","17.71","-49.19",
"Brace, Connor","4","0","1","0","25","-4","343","53","105","15.45","30.61","-3.99","46","22","171","23","54","13.45","31.58","5.54","40","19","26","47.5","47.5","13.35","191","29","63","15.18","15.18","16.83",
"Brogan, Kevin","14","1","3","7.14","21.43","-9.67","402","25","87","6.22","21.64","-192.66","12","13","148","6","24","4.05","16.22","-99.17","27","6","17","22.22","22.22","-10.74","283","20","65","7.07","7.07","-188.66",
"Brooke, Henry","19","6","7","31.58","36.84","20.1","744","118","248","15.86","33.33","-130.49","2","1","364","60","118","16.48","32.42","-44.17","120","43","75","35.83","35.83","3.99","505","84","182","16.63","16.63","-77.08",
"Brookes, Aiden","17","2","4","11.76","23.53","115.5","426","38","87","8.92","20.42","135.71","1","1","229","15","41","6.55","17.9","98.5","26","9","18","34.62","34.62","3.46","381","37","82","9.71","9.71","174.71",
"Brouder, Gavin","19","2","5","10.53","26.32","2","347","18","65","5.19","18.73","-153.37","3","3","186","11","38","5.91","20.43","-78.25","20","6","11","30","30","8.25","221","16","47","7.24","7.24","-34.75",
"Brown, O R","8","0","2","0","25","-8","28","3","8","10.71","28.57","11","15","9","28","3","8","10.71","28.57","11","2","0","1","0","0","-2","10","1","2","10","10","1",
"Buckle, Charles","0","0","0","0","0","0","2","0","1","0","50","-2","9999","9999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Buckley, Kieran","15","0","4","0","26.67","-15","511","36","128","7.05","25.05","-270.11","21","17","214","12","46","5.61","21.5","-142.39","47","12","27","25.53","25.53","-13.86","283","22","82","7.77","7.77","-102.12",
"Buckley, Mr Finn","1","0","0","0","0","-1","11","0","2","0","18.18","-11","9999","9999","10","0","1","0","10","-10","0","0","0","0","0","0","2","0","1","0","0","-2",
"Buick, William","31","4","11","12.9","35.48","-12.97","1408","344","628","24.43","44.6","-85.84","1","2","683","162","295","23.72","43.19","-35.04","514","212","319","41.25","41.25","5.37","717","157","289","21.9","21.9","8.06",
"Burns, Harry","8","0","2","0","25","-8","327","32","87","9.79","26.61","-148.92","40","19","136","5","25","3.68","18.38","-106.34","24","7","12","29.17","29.17","-3.5","244","23","69","9.43","9.43","-99.41",
"Butler, D","1","0","1","0","100","-1","24","1","4","4.17","16.67","-20.25","326","13","14","1","4","7.14","28.57","-10.25","1","1","1","100","100","2.75","9","1","2","11.11","11.11","-5.25",
"Byrnes, Mr P","15","3","6","20","40","-2.62","373","39","90","10.46","24.13","-153.3","8","2","190","18","42","9.47","22.11","-74.1","44","19","30","43.18","43.18","10.45","203","22","47","10.84","10.84","-64.92",
"Carson, William","16","0","2","0","12.5","-16","858","52","177","6.06","20.63","-434.87","28","38","466","34","104","7.3","22.32","-207.97","60","20","40","33.33","33.33","0.13","678","48","161","7.08","7.08","-282.72",
