Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","3","0","1","0","33.33","-3","13","0","4","0","30.77","-13","32","1","10","3.13","31.25","-25.5","46","4","14","8.7","30.43","-25","1317","122","395","9.26","29.99","-415.94","7","31","631","58","199","9.19","31.54","-192.08","140","34","77","24.29","24.29","-23.72","1023","101","323","9.87","9.87","-311.34",
"Andrews, Jack","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","5","20","8.2","32.79","-18","331","35","35","1","11","2.86","31.43","-25","4","0","1","0","0","-4","37","4","11","10.81","10.81","-6",
"Barron, Mr R W","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","4","0","0","0","0","-4","132","19","50","14.39","37.88","-2.73","23","6","69","12","29","17.39","42.03","3.77","12","3","8","25","25","-2.24","20","4","9","20","20","15",
"Barry, Mr J C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","9","35","6","23.33","-83.54","27","3","83","6","20","7.23","24.1","-50.54","3","1","1","33.33","33.33","-1.2","25","0","5","0","0","-25",
"Beasley, Connor","3","0","0","0","0","-3","9","0","0","0","0","-9","22","2","8","9.09","36.36","-2","41","4","11","9.76","26.83","-14.37","1265","139","425","10.99","33.6","-297.31","6","18","540","61","182","11.3","33.7","-144.19","169","42","104","24.85","24.85","-38.63","960","100","318","10.42","10.42","-282.55",
"Best, J A","0","0","0","0","0","0","1","1","1","100","100","4.5","2","2","2","100","100","10","5","2","2","40","40","7","725","42","140","5.79","19.31","-282.98","2","1","388","29","81","7.47","20.88","-162.11","30","11","16","36.67","36.67","6.86","492","40","128","8.13","8.13","-71.98",
"Blackmore, Rachael","0","0","0","0","0","0","3","0","2","0","66.67","-3","5","0","3","0","60","-5","12","1","6","8.33","50","-7.5","887","127","331","14.32","37.32","-286.9","9","8","442","64","161","14.48","36.43","-168.87","179","54","110","30.17","30.17","-38.95","360","30","103","8.33","8.33","-158.12",
"Bowen, S D","7","0","2","0","28.57","-7","16","0","3","0","18.75","-16","24","4","8","16.67","33.33","7.17","40","7","17","17.5","42.5","5.42","642","65","183","10.12","28.5","-107.53","5","17","393","40","117","10.18","29.77","-105.99","68","21","43","30.88","30.88","-4.86","537","51","157","9.5","9.5","-72.28",
"Breen, Ms S K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","9999","9999","3","0","0","0","0","-3","0","0","0","0","0","0","0","0","0","0","0","0",
"Brogan, Kevin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","380","23","80","6.05","21.05","-175.41","84","19","161","7","26","4.35","16.15","-105.67","22","4","13","18.18","18.18","-11.49","260","18","57","6.92","6.92","-170.41",
