Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, Mr D","0","0","0","0","0","0","73","8","22","10.96","30.14","-6.87","200","9","28","4","9","14.29","32.14","17.13","7","3","5","42.86","42.86","1.38","8","0","2","0","0","-8",
"Anderson, Mr A","4","1","1","25","25","7","257","11","37","4.28","14.4","-178.12","4","2","84","3","10","3.57","11.9","-61.25","4","3","3","75","75","4.88","182","10","31","5.49","5.49","-111.12",
"Andrews, Bridget","10","0","0","0","0","-10","234","29","65","12.39","27.78","-61.32","196","12","104","14","24","13.46","23.08","-29.57","35","13","21","37.14","37.14","-4.57","130","9","27","6.92","6.92","-62.3",
"Armson, Philip","8","0","0","0","0","-8","422","37","109","8.77","25.83","-179.42","25","18","304","30","93","9.87","30.59","-150.75","43","8","24","18.6","18.6","-15.88","377","37","106","9.81","9.81","-134.42",
"Bass, George","14","0","1","0","7.14","-14","473","44","117","9.3","24.74","-53.44","17","18","241","24","57","9.96","23.65","-2.86","26","10","14","38.46","38.46","1.06","365","39","98","10.68","10.68","-14.94",
"Bastyan, Mitchell S","2","0","0","0","0","-2","413","52","132","12.59","31.96","-89.51","19","4","178","24","63","13.48","35.39","-65.06","54","18","36","33.33","33.33","-8.84","274","33","94","12.04","12.04","-48.64",
"Bellamy, Tom","28","2","9","7.14","32.14","-2.12","806","99","258","12.28","32.01","-197.56","5","9","413","52","145","12.59","35.11","-135.79","87","38","55","43.68","43.68","13.4","469","58","150","12.37","12.37","-94.4",
"Bennett, Charlie","7","0","1","0","14.29","-7","700","34","127","4.86","18.14","-384.81","49","54","318","10","50","3.14","15.72","-237.62","28","5","13","17.86","17.86","-13.6","503","32","115","6.36","6.36","-194.06",
"Best, J A","16","0","1","0","6.25","-16","793","51","164","6.43","20.68","-308.32","16","20","355","25","69","7.04","19.44","-175.31","38","14","20","36.84","36.84","4.77","478","38","119","7.95","7.95","-117.47",
"Bewley, Callum","14","2","2","14.29","14.29","0","564","33","111","5.85","19.68","-264.32","10","9","301","16","50","5.32","16.61","-164.2","34","8","17","23.53","23.53","-9.28","323","24","80","7.43","7.43","-148.95",
"Bishop, Charles","20","2","7","10","35","-7.12","767","68","182","8.87","23.73","-234.06","1","1","328","35","87","10.67","26.52","-109.72","55","18","35","32.73","32.73","-2.88","460","40","104","8.7","8.7","-108.31",
