Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","33","1","9","3.03","27.27","-30.25","1337","138","401","10.32","29.99","-345.57","8","22","646","64","190","9.91","29.41","-249.35","170","51","95","30","30","-4.15","1039","114","334","10.97","10.97","-240.39",
"Armson, Philip","13","0","2","0","15.38","-13","409","30","90","7.33","22","-105.97","39","23","134","6","22","4.48","16.42","-100.17","43","5","23","11.63","11.63","-27.21","339","28","83","8.26","8.26","-166.3",
"Bannister, Harry A A","12","0","1","0","8.33","-12","444","43","125","9.68","28.15","-178.6","28","28","276","24","68","8.7","24.64","-149.44","60","16","29","26.67","26.67","-19.26","321","29","90","9.03","9.03","-132.82",
"Best, J A","20","1","4","5","20","-15.67","652","31","118","4.75","18.1","-309.61","4","5","374","20","77","5.35","20.59","-155.74","25","9","14","36","36","4.56","430","29","107","6.74","6.74","-109.61",
"Bevan, Miss Megan","1","1","1","100","100","2.75","11","2","4","18.18","36.36","-3.5","8","1","5","1","2","20","40","-1.25","1","1","1","100","100","2.75","4","1","2","25","25","-0.25",
"Bishop, Charles","26","2","6","7.69","23.08","-15.09","818","94","230","11.49","28.12","-191.31","3","6","438","52","125","11.87","28.54","-43.79","84","34","52","40.48","40.48","7.32","496","51","129","10.28","10.28","-113.22",
"Bowen, James C","33","5","11","15.15","33.33","-12.22","652","85","226","13.04","34.66","-154.76","2","6","386","56","147","14.51","38.08","-70.69","113","36","74","31.86","31.86","-18.73","381","53","127","13.91","13.91","-31.53",
"Bowen, S D","17","1","3","5.88","17.65","-8","437","32","111","7.32","25.4","-85.54","8","13","255","23","77","9.02","30.2","-28.29","33","8","18","24.24","24.24","-4.04","366","25","96","6.83","6.83","-67.54",
"Bowen, Sean P","46","5","13","10.87","28.26","-16.17","1381","279","539","20.2","39.03","174.29","3","11","730","157","295","21.51","40.41","38.86","352","146","214","41.48","41.48","-3.78","892","161","321","18.05","18.05","-29.9",
"Brace, Connor","11","0","2","0","18.18","-11","346","54","107","15.61","30.92","-4.79","23","13","170","26","56","15.29","32.94","10.8","42","20","29","47.62","47.62","13.55","193","30","65","15.54","15.54","17.03",
"Breslin, Andrew","10","0","0","0","0","-10","321","15","56","4.67","17.45","-151.37","41","29","218","9","42","4.13","19.27","-110.5","13","2","5","15.38","15.38","-7.12","281","14","49","4.98","4.98","-130.37",
"Brogan, Kevin","3","0","1","0","33.33","-3","400","29","90","7.25","22.5","-174.26","48","19","141","6","22","4.26","15.6","-92","28","9","19","32.14","32.14","-3.01","289","24","71","8.3","8.3","-178.26",
"Brooke, Henry","28","7","12","25","42.86","9.73","731","115","244","15.73","33.38","-124.2","1","4","359","56","115","15.6","32.03","-47.16","116","40","72","34.48","34.48","3.28","495","84","180","16.97","16.97","-67.87",
"Brookes, Aiden","10","1","2","10","20","-4.5","414","37","83","8.94","20.05","24.21","6","7","218","13","36","5.96","16.51","-23","26","9","18","34.62","34.62","3.46","367","36","78","9.81","9.81","65.21",
"Bryan, Joshua","6","1","2","16.67","33.33","1","388","38","108","9.79","27.84","-143.17","8","4","204","18","56","8.82","27.45","-86.67","23","9","16","39.13","39.13","5.83","252","23","73","9.13","9.13","-106.42",
"Buick, William","40","9","16","22.5","40","1.13","1446","359","664","24.83","45.92","-77.59","1","1","694","161","301","23.2","43.37","-34.68","534","222","337","41.57","41.57","12.29","741","168","312","22.67","22.67","5.32",
"Burke, Jonathan","26","1","9","3.85","34.62","-23.62","721","97","259","13.45","35.92","-208.4","13","26","347","46","127","13.26","36.6","-95.1","114","47","79","41.23","41.23","9.55","430","52","140","12.09","12.09","-126.4",
"Caffrey, Adam","26","2","4","7.69","15.38","-7","576","59","160","10.24","27.78","-126.64","6","11","339","36","98","10.62","28.91","-77.3","60","19","38","31.67","31.67","11.37","473","50","132","10.57","10.57","-76.47",
"Callan, N","21","1","5","4.76","23.81","-6","1032","140","346","13.57","33.53","-3.32","4","10","541","66","166","12.2","30.68","-71.32","151","50","93","33.11","33.11","-8.84","671","92","230","13.71","13.71","-4.61",
"Cannon, Tom J","17","0","4","0","23.53","-17","774","112","239","14.47","30.88","-190.68","22","22","379","49","115","12.93","30.34","-132.34","104","47","59","45.19","45.19","15.32","452","60","130","13.27","13.27","-120.3",
"Carroll, G F","45","1","10","2.22","22.22","-43.09","1021","96","258","9.4","25.27","-291.48","5","14","548","48","137","8.76","25","-196.6","98","31","62","31.63","31.63","8.98","516","52","142","10.08","10.08","-104.3",
"Chapman, Ross","12","1","2","8.33","16.67","7","400","40","83","10","20.75","-75.26","3","1","194","25","45","12.89","23.2","0.03","31","12","20","38.71","38.71","3.83","284","37","67","13.03","13.03","15.24",
"Cleary, R P","9","0","2","0","22.22","-9","766","39","136","5.09","17.75","-301.34","50","23","395","24","77","6.08","19.49","-124.59","35","9","19","25.71","25.71","-4.59","406","24","76","5.91","5.91","-61.25",
"Clutterbuck, Rhys","19","3","5","15.79","26.32","-5.25","735","69","182","9.39","24.76","-234.51","2","3","351","33","83","9.4","23.65","-81.93","77","21","43","27.27","27.27","-14.26","519","59","148","11.37","11.37","-103.74",
"Coen, Ben M","49","4","13","8.16","26.53","-28.4","1104","104","282","9.42","25.54","-432.03","4","10","600","52","145","8.67","24.17","-235.14","115","37","70","32.17","32.17","1.39","574","51","139","8.89","8.89","-247.25",
"Costello, Dougie","15","0","2","0","13.33","-15","712","63","157","8.85","22.05","-241.63","21","17","349","20","66","5.73","18.91","-196.37","56","13","31","23.21","23.21","-22.38","541","56","128","10.35","10.35","-115.79",
"Cox, William","14","3","4","21.43","28.57","99","423","23","73","5.44","17.26","-123.29","5","8","229","9","33","3.93","14.41","-41","12","3","6","25","25","-3.12","308","19","58","6.17","6.17","-39.29",
"Crosse, Nathan","21","1","3","4.76","14.29","-12.5","781","40","132","5.12","16.9","-72.34","4","4","375","22","62","5.87","16.53","30.16","29","5","17","17.24","17.24","-10.17","462","26","86","5.63","5.63","17",
"Crouch, Hector","23","3","5","13.04","21.74","-12","928","136","306","14.66","32.97","-144.01","3","9","523","77","174","14.72","33.27","-100.6","171","48","91","28.07","28.07","-40.84","537","82","176","15.27","15.27","-21.32",
"Crowley, Jim","25","4","6","16","24","-10.42","741","139","268","18.76","36.17","3.9","1","1","363","57","114","15.7","31.4","-48.15","167","68","106","40.72","40.72","5.62","380","58","129","15.26","15.26","-27.49",
"Davies, Harry","26","6","12","23.08","46.15","77.63","1003","122","335","12.16","33.4","-194.42","1","3","583","62","182","10.63","31.22","-81.13","134","39","79","29.1","29.1","-20.71","720","78","223","10.83","10.83","-208.76",
"Davies, James","23","3","5","13.04","21.74","43","508","33","95","6.5","18.7","-106.04","1","3","247","12","42","4.86","17","-67.29","22","6","15","27.27","27.27","-0.5","305","24","66","7.87","7.87","24.63",
"Deutsch, Charlie","10","2","4","20","40","2.5","586","76","173","12.97","29.52","-230.5","1","2","320","50","102","15.63","31.88","-95.93","112","34","64","30.36","30.36","-21.71","437","61","130","13.96","13.96","-145.18",
"Doyle, Hollie","54","6","17","11.11","31.48","-13.5","1788","254","577","14.21","32.27","-355.72","1","4","1024","143","331","13.96","32.32","-187.67","313","95","175","30.35","30.35","-55.04","1224","177","382","14.46","14.46","-213.85",
"Doyle, James","25","3","7","12","28","-17.15","878","169","374","19.25","42.6","-191.55","2","9","447","85","186","19.02","41.61","-107.53","266","101","173","37.97","37.97","-34.51","435","73","163","16.78","16.78","-107.16",
"Dunne, R T","27","0","7","0","25.93","-27","463","31","108","6.7","23.33","-215.3","24","35","240","15","60","6.25","25","-144.93","33","6","15","18.18","18.18","-12.21","293","23","75","7.85","7.85","-141.96",
"Eaves, Tom","30","2","4","6.67","13.33","-7.5","1323","94","312","7.11","23.58","-386.28","6","15","687","45","165","6.55","24.02","-201.87","68","19","44","27.94","27.94","-17.33","952","65","233","6.83","6.83","-288.17",
