Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Mr J","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","0","0","0","-3","22","1","2","4.55","9.09","-10","29","5","15","1","1","6.67","6.67","-3","0","0","0","0","0","0","12","1","2","8.33","8.33","0",
"Andrews, Jack","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","0","50","-4","4","0","2","0","50","-4","60","5","19","8.33","31.67","-17","315","34","34","1","10","2.94","29.41","-24","4","0","1","0","0","-4","37","4","11","10.81","10.81","-6",
"Barnett, Mr L P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","9999","9999","2","0","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0",
"Barron, Mr R W","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","1.88","1","1","1","100","100","1.88","129","19","51","14.73","39.53","0.27","7","1","68","13","30","19.12","44.12","11.27","11","3","8","27.27","27.27","-1.24","19","4","9","21.05","21.05","16",
"Bass, David","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","473","57","139","12.05","29.39","-125.48","117","38","239","19","57","7.95","23.85","-128.04","70","18","36","25.71","25.71","-27.28","263","33","72","12.55","12.55","-22.5",
"Bass, George","0","0","0","0","0","0","1","0","1","0","100","-1","6","0","4","0","66.67","-6","13","2","7","15.38","53.85","-5.5","338","31","98","9.17","28.99","-159.55","13","10","157","17","46","10.83","29.3","-74.51","24","9","13","37.5","37.5","3.96","250","28","84","11.2","11.2","-86.88",
"Best, J A","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","8","0","0","0","0","-8","721","40","137","5.55","19","-290.98","47","31","383","27","80","7.05","20.89","-169.11","29","10","15","34.48","34.48","2.36","485","38","125","7.84","7.84","-76.98",
"Bishop, Charles","4","1","1","25","25","-1.5","8","1","2","12.5","25","-5.5","17","1","5","5.88","29.41","-14.5","29","1","7","3.45","24.14","-26.5","861","88","247","10.22","28.69","-229.47","1","3","456","49","129","10.75","28.29","-75.04","85","33","54","38.82","38.82","1.45","526","53","144","10.08","10.08","-75.77",
"Bowen, Miss S L","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","2.75","2","2","2","100","100","6.75","56","5","15","8.93","26.79","-32.45","5","1","31","4","9","12.9","29.03","-13.95","3","2","2","66.67","66.67","2.55","56","5","15","8.93","8.93","-32.45",
"Bowen, S D","6","0","1","0","16.67","-6","13","1","2","7.69","15.38","-7","24","2","4","8.33","16.67","-14.75","38","7","13","18.42","34.21","2.13","602","58","163","9.63","27.08","-112.95","2","10","367","36","105","9.81","28.61","-111.66","59","18","36","30.51","30.51","-2.28","503","46","140","9.15","9.15","-80.28",
"Bowen, Sean P","0","0","0","0","0","0","1","0","0","0","0","-1","7","0","1","0","14.29","-7","22","3","8","13.64","36.36","-13.77","1430","275","543","19.23","37.97","127.43","9","9","693","124","263","17.89","37.95","-35.19","359","145","212","40.39","40.39","1.63","934","160","323","17.13","17.13","-62.46",
"Bradley, Paddy","1","1","1","100","100","3.5","5","2","3","40","60","1.75","12","3","5","25","41.67","-2.25","23","4","7","17.39","30.43","-7.75","589","51","147","8.66","24.96","-151.55","1","1","338","30","85","8.88","25.15","-75.71","34","8","16","23.53","23.53","-8.54","446","46","129","10.31","10.31","-32.05",
"Brickley, Mr F D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","16","3","5","18.75","31.25","22.5","26","4","13","2","3","15.38","23.08","17.5","0","0","0","0","0","0","3","1","1","33.33","33.33","1.5",
"Bromley, Ben","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183","23","65","12.57","35.52","-79.37","84","7","88","7","29","7.95","32.95","-61.51","29","9","20","31.03","31.03","-6.12","134","16","50","11.94","11.94","-62.72",
"Brotherton, Miss S","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","65","5","18","7.69","27.69","-44.87","83","13","29","1","11","3.45","37.93","-23.5","15","4","7","26.67","26.67","-1.87","65","5","18","7.69","7.69","-44.87",
"Brouder, Gavin","0","0","0","0","0","0","3","1","2","33.33","66.67","6","6","1","2","16.67","33.33","3","10","1","3","10","30","-1","339","19","65","5.6","19.17","-163.87","2","1","166","10","28","6.02","16.87","-95.75","22","6","12","27.27","27.27","6.25","214","17","47","7.94","7.94","-46.25",
"Brouder, Gearoid","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","0","0","0","-2","82","2","5","2.44","6.1","-58","523","23","2","0","0","0","0","-2","1","0","0","0","0","-1","45","2","4","4.44","4.44","-21",
"Buckley, Kieran","0","0","0","0","0","0","1","0","1","0","100","-1","4","0","1","0","25","-4","12","1","2","8.33","16.67","1","492","33","113","6.71","22.97","-259.24","14","11","208","15","51","7.21","24.52","-101.14","40","11","23","27.5","27.5","-8.99","270","20","73","7.41","7.41","-91",
"Buckley, Mr Finn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","22","0","5","0","22.73","-22","9999","9999","19","0","4","0","21.05","-19","0","0","0","0","0","0","4","0","1","0","0","-4",
"Buick, William","5","1","2","20","40","-2.62","13","2","4","15.38","30.77","-7.62","20","2","6","10","30","-14.62","29","5","12","17.24","41.38","-4.12","1316","301","573","22.87","43.54","-121.78","1","4","557","129","233","23.16","41.83","-87.57","468","179","281","38.25","38.25","-25.03","657","140","260","21.31","21.31","27.78",
