Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Mr J","0","0","0","0","0","0","7","0","0","0","0","-7","9999","9999","7","0","0","0","0","-7","0","0","0","0","0","0","4","0","0","0","0","-4",
"Armson, Philip","5","1","2","20","40","4.5","398","38","107","9.55","26.88","-80.42","3","1","283","29","90","10.25","31.8","-133.75","39","8","23","20.51","20.51","-11.88","358","37","103","10.34","10.34","-52.42",
"Atzeni, Andrea","18","4","6","22.22","33.33","9.75","891","153","344","17.17","38.61","-52.01","1","2","388","79","162","20.36","41.75","32.36","182","64","113","35.16","35.16","-17.66","459","77","165","16.78","16.78","-22.54",
"Bannister, Harry A A","3","0","0","0","0","-3","610","76","188","12.46","30.82","-92.37","57","13","318","44","111","13.84","34.91","-55.58","87","28","50","32.18","32.18","-12.79","374","52","121","13.9","13.9","-15.7",
"Barfoot-Saunt, Mr G","1","0","0","0","0","-1","19","0","0","0","0","-19","5976","150","8","0","0","0","0","-8","0","0","0","0","0","0","1","0","0","0","0","-1",
"Beasley, Connor","46","7","21","15.22","45.65","-5.5","1186","154","418","12.98","35.24","-115.02","7","22","736","90","256","12.23","34.78","-79.85","187","55","110","29.41","29.41","-4.92","846","120","318","14.18","14.18","11.42",
"Bellamy, Tom","2","0","1","0","50","-2","794","98","247","12.34","31.11","-196.2","23","9","408","53","142","12.99","34.8","-143.05","81","36","52","44.44","44.44","16.64","459","58","143","12.64","12.64","-73.89",
"Bishop, Charles","21","3","5","14.29","23.81","-4.62","783","68","173","8.68","22.09","-258.96","2","6","307","32","78","10.42","25.41","-50.7","53","18","34","33.96","33.96","1.39","471","39","101","8.28","8.28","-132.36",
"Blackmore, Rachael","16","2","4","12.5","25","-9.29","965","160","379","16.58","39.27","-304.48","2","2","418","63","151","15.07","36.12","-137.82","228","81","142","35.53","35.53","-46","364","32","107","8.79","8.79","-117.21",
"Bowen, James C","8","2","2","25","25","4.13","740","116","273","15.68","36.89","-62.33","1","1","329","60","124","18.24","37.69","44.65","113","43","79","38.05","38.05","8.99","466","76","178","16.31","16.31","33.81",
"Bowen, S D","6","0","0","0","0","-6","146","5","31","3.42","21.23","-72","87","41","146","5","31","3.42","21.23","-72","8","1","2","12.5","12.5","-5.5","113","3","20","2.65","2.65","-75",
"Bowen, Sean P","19","5","10","26.32","52.63","-2.26","1076","216","413","20.07","38.38","-60.88","1","2","556","117","227","21.04","40.83","-31.01","252","115","170","45.63","45.63","31.74","720","138","263","19.17","19.17","-6.29",
"Brace, Connor","3","0","0","0","0","-3","389","44","115","11.31","29.56","-31.11","20","7","190","28","54","14.74","28.42","35.74","41","15","24","36.59","36.59","3.26","231","29","68","12.55","12.55","-0.38",
"Breslin, Andrew","5","0","0","0","0","-5","300","19","64","6.33","21.33","-101.37","77","34","143","12","28","8.39","19.58","-33.87","13","3","5","23.08","23.08","-5.12","264","19","62","7.2","7.2","-65.37",
"Brett, Tommy N","2","0","1","0","50","-2","185","7","34","3.78","18.38","-55.17","162","36","85","3","17","3.53","20","8","7","0","2","0","0","-7","107","3","22","2.8","2.8","-85.17",
"Brogan, Kevin","6","0","2","0","33.33","-6","518","84","195","16.22","37.64","-56.75","27","13","293","49","104","16.72","35.49","-47.76","111","39","70","35.14","35.14","-8.99","427","73","165","17.1","17.1","-19.25",
"Bromley, Ben","1","1","1","100","100","4.5","68","11","24","16.18","35.29","-26.48","10","1","41","4","9","9.76","21.95","-17.75","13","4","8","30.77","30.77","-4.61","47","8","15","17.02","17.02","-13.5",
"Brookes, Aiden","7","1","1","14.29","14.29","-2.67","210","26","54","12.38","25.71","-6.54","8","3","142","22","38","15.49","26.76","26.46","18","7","11","38.89","38.89","3.96","180","26","52","14.44","14.44","23.46",
"Brouder, Gearoid","8","0","0","0","0","-8","267","13","36","4.87","13.48","-106.17","49","22","111","4","10","3.6","9.01","-7.5","6","1","1","16.67","16.67","-1.5","137","9","26","6.57","6.57","-79.17",
"Broughton, Mr T P","1","0","0","0","0","-1","24","4","11","16.67","45.83","-5.79","24","2","16","3","9","18.75","56.25","-6.29","5","3","4","60","60","4.71","18","3","8","16.67","16.67","-4.12",
"Buckley, Kieran","13","2","4","15.38","30.77","-4.83","252","31","87","12.3","34.52","-53.31","6","6","166","20","61","12.05","36.75","-33.07","30","12","20","40","40","7.94","186","24","60","12.9","12.9","-27.92",
"Buick, William","34","11","20","32.35","58.82","3.82","1676","391","747","23.33","44.57","-24.46","1","2","762","199","371","26.12","48.69","-38.06","577","237","377","41.07","41.07","27.27","945","186","366","19.68","19.68","-103.44",
"Burke, Jonathan","1","0","1","0","100","-1","858","109","268","12.7","31.24","-200.59","31","7","442","61","138","13.8","31.22","-73.81","101","42","60","41.58","41.58","22.45","535","67","170","12.52","12.52","-111.99",
"Butler, D","0","0","0","0","0","0","5","0","1","0","20","-5","9999","9999","3","0","1","0","33.33","-3","0","0","0","0","0","0","5","0","1","0","0","-5",
"Byrnes, Mr P","6","1","2","16.67","33.33","-3","100","13","33","13","33","-43.42","6","5","28","2","10","7.14","35.71","-22.9","13","8","9","61.54","61.54","12.58","28","3","8","10.71","10.71","-10",
"Caffrey, Adam","7","2","2","28.57","28.57","8","133","9","26","6.77","19.55","-34.92","3","2","110","9","24","8.18","21.82","-11.92","6","3","3","50","50","6.08","117","8","21","6.84","6.84","-22.67",
"Callan, N","29","1","9","3.45","31.03","-3","505","66","171","13.07","33.86","40.33","6","8","445","61","159","13.71","35.73","54","79","21","43","26.58","26.58","-17.64","334","46","113","13.77","13.77","28.65",
"Cannon, Tom J","4","2","2","50","50","2.13","847","138","308","16.29","36.36","-187.75","5","1","434","82","171","18.89","39.4","-97.33","146","66","103","45.21","45.21","5.79","459","63","133","13.73","13.73","-98.31",
"Carberry, Peter","6","0","1","0","16.67","-6","271","6","30","2.21","11.07","-220.5","120","46","155","4","19","2.58","12.26","-129.5","6","1","3","16.67","16.67","-3.5","133","5","21","3.76","3.76","-91",
"Carroll, G F","34","3","12","8.82","35.29","-18.42","995","93","256","9.35","25.73","-197.88","3","7","498","45","129","9.04","25.9","-174.12","82","25","51","30.49","30.49","4.29","526","57","147","10.84","10.84","-29.13",
"Carver, Bryan","1","0","0","0","0","-1","343","43","117","12.54","34.11","-60","158","10","78","9","25","11.54","32.05","5","51","18","34","35.29","35.29","3.92","235","33","86","14.04","14.04","-30.05",
"Carver, William","5","0","1","0","20","-5","329","29","71","8.81","21.58","-139.43","15","6","160","15","38","9.38","23.75","-49.46","35","9","19","25.71","25.71","-11.26","245","25","57","10.2","10.2","-68.91",
"Cherchi, Stefano","17","3","7","17.65","41.18","-1.25","553","62","175","11.21","31.65","-149.77","6","3","268","29","84","10.82","31.34","-37.22","64","22","42","34.38","34.38","-5.1","402","46","125","11.44","11.44","-97.4",
"Cleary, R P","17","2","3","11.76","17.65","24","774","26","103","3.36","13.31","-424.12","3","3","355","14","50","3.94","14.08","-161","14","1","6","7.14","7.14","-11.62","472","21","77","4.45","4.45","-168.5",
"Cobden, Harry","2","0","0","0","0","-2","982","215","407","21.89","41.45","-211.85","18","3","415","92","168","22.17","40.48","-76.86","271","127","171","46.86","46.86","5.2","490","81","183","16.53","16.53","-84.62",
