Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Balfe, A","0","0","0","0","0","0","12","0","0","0","0","-12","9999","9999","12","0","0","0","0","-12","0","0","0","0","0","0","5","0","0","0","0","-5",
"Bass, David","16","1","4","6.25","25","-3","460","65","148","14.13","32.17","-74.42","2","3","234","34","74","14.53","31.62","-21.42","79","21","41","26.58","26.58","-30.65","257","35","80","13.62","13.62","-17.11",
"Bellamy, Tom","24","3","6","12.5","25","16.17","861","97","267","11.27","31.01","-256.41","10","10","455","53","134","11.65","29.45","-113.81","89","34","52","38.2","38.2","-8.37","523","57","159","10.9","10.9","-205.32",
"Best, J A","22","3","3","13.64","13.64","-3.75","641","31","117","4.84","18.25","-301.57","4","4","366","20","77","5.46","21.04","-147.2","30","10","15","33.33","33.33","3.43","417","27","101","6.47","6.47","-114.82",
"Birkett, Mr R","1","0","0","0","0","-1","38","6","15","15.79","39.47","-4","382","17","16","0","4","0","25","-16","5","1","1","20","20","-1","38","6","15","15.79","15.79","-4",
"Boinville, Nico","8","2","4","25","50","0.23","553","125","220","22.6","39.78","-37.8","1","2","290","72","126","24.83","43.45","-1.44","189","78","110","41.27","41.27","-9.53","276","52","95","18.84","18.84","22.02",
"Bowen, James C","37","5","13","13.51","35.14","-7.37","598","79","214","13.21","35.79","-160.36","8","17","266","36","108","13.53","40.6","-96.5","103","35","69","33.98","33.98","-11.21","346","50","119","14.45","14.45","-4.39",
"Bowen, Miss S L","1","1","1","100","100","5.5","55","3","14","5.45","25.45","-32.5","1","1","27","2","6","7.41","22.22","-14","2","0","2","0","0","-2","55","3","14","5.45","5.45","-32.5",
"Bradley, Paddy","11","2","4","18.18","36.36","-4.25","418","36","108","8.61","25.84","-134.96","9","9","311","28","80","9","25.72","-93.79","27","5","13","18.52","18.52","-11.12","326","35","97","10.74","10.74","-46.46",
"Burke, Jonathan","25","2","12","8","48","-9.5","721","102","268","14.15","37.17","-219.91","7","10","315","45","129","14.29","40.95","-115.79","112","45","79","40.18","40.18","1.21","421","53","140","12.59","12.59","-132.32",
"Byrnes, Mr P","4","0","0","0","0","-4","276","27","66","9.78","23.91","-136.42","93","33","165","14","31","8.48","18.79","-86.1","31","13","20","41.94","41.94","3.83","151","14","33","9.27","9.27","-67",
"Cagney, Eireann","2","0","2","0","100","-2","56","9","22","16.07","39.29","11.13","18","3","32","6","14","18.75","43.75","5.63","4","3","4","75","75","5.13","56","9","22","16.07","16.07","11.13",
"Cannon, Tom J","19","6","9","31.58","47.37","4.15","790","138","269","17.47","34.05","-131.37","1","2","392","58","120","14.8","30.61","-121.04","120","63","77","52.5","52.5","37.38","454","72","141","15.86","15.86","-84.95",
"Carson, William","17","1","2","5.88","11.76","-14.25","845","54","171","6.39","20.24","-304.92","9","12","473","32","97","6.77","20.51","-236.42","53","21","33","39.62","39.62","9.33","655","50","151","7.63","7.63","-142.77",
"Carver, Bryan","13","1","2","7.69","15.38","-10.37","369","42","97","11.38","26.29","-88.58","5","4","204","24","52","11.76","25.49","-61.29","40","16","27","40","40","2.46","256","32","73","12.5","12.5","-15.25",
