Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","4","0","21.05","-19","1308","120","393","9.17","30.05","-406.44","15","22","623","61","195","9.79","31.3","-166.08","141","33","77","23.4","23.4","-28.72","1015","100","322","9.85","9.85","-300.84",
"Anderson, Joe","0","0","0","0","0","0","3","0","0","0","0","-3","3","0","0","0","0","-3","5","0","1","0","20","-5","225","29","78","12.89","34.67","-25.45","73","12","149","14","43","9.4","28.86","-34.28","21","8","13","38.1","38.1","4.72","183","24","68","13.11","13.11","-19.2",
"Bannister, Harry A A","0","0","0","0","0","0","1","0","0","0","0","-1","2","1","1","50","50","4.5","3","1","1","33.33","33.33","3.5","436","39","120","8.94","27.52","-177.44","4","2","259","22","64","8.49","24.71","-123.64","50","13","22","26","26","-13.6","322","29","90","9.01","9.01","-115.32",
"Beasley, Connor","6","1","1","16.67","16.67","-2","7","1","1","14.29","14.29","-3","15","1","3","6.67","20","-11","15","1","3","6.67","20","-11","1275","143","436","11.22","34.2","-289.44","1","1","537","60","182","11.17","33.89","-150.32","171","45","106","26.32","26.32","-32.26","967","102","323","10.55","10.55","-276.43",
"Bellamy, Tom","0","0","0","0","0","0","2","0","0","0","0","-2","2","0","0","0","0","-2","5","0","1","0","20","-5","894","93","272","10.4","30.43","-307.84","45","15","429","48","141","11.19","32.87","-151.3","91","30","53","32.97","32.97","-16.01","558","56","162","10.04","10.04","-241.87",
"Bennett, Charlie","0","0","0","0","0","0","1","1","1","100","100","4","5","1","1","20","20","0","11","1","4","9.09","36.36","-6","384","13","71","3.39","18.49","-267","2","1","116","5","22","4.31","18.97","-53","14","2","5","14.29","14.29","-6.5","282","10","58","3.55","3.55","-181.5",
"Best, J A","0","0","0","0","0","0","2","0","0","0","0","-2","6","0","1","0","16.67","-6","12","0","1","0","8.33","-12","726","40","138","5.51","19.01","-295.98","52","37","387","27","80","6.98","20.67","-173.11","29","10","15","34.48","34.48","2.36","490","38","126","7.76","7.76","-81.98",
"Bishop, Charles","0","0","0","0","0","0","0","0","0","0","0","0","8","1","2","12.5","25","-5.5","23","1","7","4.35","30.43","-20.5","856","87","244","10.16","28.5","-226.85","6","6","449","48","128","10.69","28.51","-85.04","83","32","52","38.55","38.55","1.07","523","53","142","10.13","10.13","-72.77",
"Bowen, James C","0","0","0","0","0","0","5","0","1","0","20","-5","7","1","3","14.29","42.86","-4.37","11","2","6","18.18","54.55","-3.37","697","97","249","13.92","35.72","-127.78","4","6","475","75","187","15.79","39.37","-56.04","122","42","81","34.43","34.43","-6.33","413","62","141","15.01","15.01","-4.16",
"Bowen, S D","0","0","0","0","0","0","1","0","0","0","0","-1","18","1","5","5.56","27.78","-12","37","2","9","5.41","24.32","-27.75","609","58","166","9.52","27.26","-119.95","7","17","368","35","106","9.51","28.8","-118.16","62","18","39","29.03","29.03","-5.28","510","46","143","9.02","9.02","-87.28",
