Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Anderson, Mr A","8","1","3","12.5","37.5","-2","248","10","37","4.03","14.92","-182.12","6","3","75","3","10","4","13.33","-50","4","3","3","75","75","4.88","176","9","30","5.11","5.11","-118.12",
"Andrews, Bridget","10","0","2","0","20","-10","239","29","65","12.13","27.2","-69.81","17","14","106","11","23","10.38","21.7","-59.19","35","15","22","42.86","42.86","0.69","125","7","24","5.6","5.6","-66.05",
"Armson, Philip","14","1","3","7.14","21.43","112","445","37","110","8.31","24.72","-88.59","12","11","319","32","93","10.03","29.15","-35.42","45","8","24","17.78","17.78","-17.88","392","35","105","8.93","8.93","-165.92",
"Bass, David","24","5","11","20.83","45.83","6.21","536","75","173","13.99","32.28","-128.27","6","11","238","34","87","14.29","36.55","-43.55","96","26","53","27.08","27.08","-27.91","293","34","89","11.6","11.6","-85.63",
"Bass, George","0","0","0","0","0","0","461","42","114","9.11","24.73","-73.44","51","25","244","23","57","9.43","23.36","-56.86","26","10","14","38.46","38.46","1.06","351","37","95","10.54","10.54","-32.94",
"Bastyan, Mitchell S","4","0","0","0","0","-4","393","49","126","12.47","32.06","-99.51","22","9","157","21","54","13.38","34.39","-57.64","52","18","34","34.62","34.62","-6.84","254","31","87","12.2","12.2","-56.64",
"Bellamy, Tom","27","1","8","3.7","29.63","-19","790","97","256","12.28","32.41","-229.12","3","3","425","52","149","12.24","35.06","-144.12","84","35","51","41.67","41.67","9.17","458","57","152","12.45","12.45","-129.21",
"Bennett, Charlie","7","0","1","0","14.29","-7","687","31","125","4.51","18.2","-386.44","18","11","319","11","50","3.45","15.67","-234.62","27","4","12","14.81","14.81","-14.4","494","29","113","5.87","5.87","-199.69",
"Bewley, Callum","15","0","2","0","13.33","-15","554","32","107","5.78","19.31","-268.49","28","25","284","12","49","4.23","17.25","-187.37","35","9","18","25.71","25.71","-8.45","318","24","76","7.55","7.55","-148.62",
"Bewley, Jonathon","5","0","0","0","0","-5","123","16","41","13.01","33.33","-36.46","21","6","75","10","24","13.33","32","-28.46","10","4","5","40","40","1.54","95","15","37","15.79","15.79","-12.96",
