Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Aherne, Mr J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","22","1","2","4.55","9.09","-10","27","4","14","1","1","7.14","7.14","-2","0","0","0","0","0","0","13","1","2","7.69","7.69","-1",
"Bass, George","0","0","0","0","0","0","3","0","2","0","66.67","-3","7","0","3","0","42.86","-7","13","3","7","23.08","53.85","-2.5","338","31","97","9.17","28.7","-159.55","11","9","157","17","46","10.83","29.3","-74.51","24","9","13","37.5","37.5","3.96","250","28","83","11.2","11.2","-86.88",
"Bennett, Charlie","1","0","1","0","100","-1","4","0","3","0","75","-4","6","0","3","0","50","-6","9","0","3","0","33.33","-9","384","12","71","3.13","18.49","-272","60","34","114","4","21","3.51","18.42","-56","15","2","5","13.33","13.33","-7.5","279","9","58","3.23","3.23","-183.5",
"Berry, Mr J P","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","31","2","4","6.45","12.9","-20","20","2","17","2","4","11.76","23.53","-6","1","1","1","100","100","4","15","2","4","13.33","13.33","-4",
"Bishop, Charles","3","0","1","0","33.33","-3","8","0","1","0","12.5","-8","15","0","5","0","33.33","-15","26","0","6","0","23.08","-26","860","88","247","10.23","28.72","-228.87","15","27","453","48","128","10.6","28.26","-74.54","84","33","54","39.29","39.29","2.05","525","53","144","10.1","10.1","-74.77",
"Blackmore, Rachael","0","0","0","0","0","0","3","0","0","0","0","-3","7","2","3","28.57","42.86","-1.65","18","5","6","27.78","33.33","-5.15","889","128","329","14.4","37.01","-286.69","5","4","452","67","162","14.82","35.84","-159.2","177","56","110","31.64","31.64","-30.24","360","29","103","8.06","8.06","-162.62",
"Bowen, S D","2","0","0","0","0","-2","4","0","0","0","0","-4","19","1","4","5.26","21.05","-15.75","29","6","11","20.69","37.93","5.13","593","57","161","9.61","27.15","-109.95","4","7","359","35","103","9.75","28.69","-109.66","59","18","36","30.51","30.51","-2.28","495","45","139","9.09","9.09","-78.28",
"Bowen, Sean P","0","0","0","0","0","0","3","0","0","0","0","-3","11","1","3","9.09","27.27","-8.8","29","5","11","17.24","37.93","-12.14","1433","276","545","19.26","38.03","126.05","7","8","694","125","264","18.01","38.04","-21.19","361","146","213","40.44","40.44","1.25","936","160","324","17.09","17.09","-64.46",
"Brace, Connor","0","0","0","0","0","0","1","0","1","0","100","-1","2","0","1","0","50","-2","4","0","1","0","25","-4","341","49","102","14.37","29.91","-21.7","41","6","161","21","49","13.04","30.43","10.88","35","15","22","42.86","42.86","5.14","189","25","59","13.23","13.23","-0.88",
"Bradley, Paddy","1","0","0","0","0","-1","2","0","1","0","50","-2","14","2","3","14.29","21.43","-5.5","22","2","4","9.09","18.18","-13.5","585","49","144","8.38","24.62","-154.3","4","4","336","28","83","8.33","24.7","-80.46","32","7","15","21.88","21.88","-8.79","443","44","127","9.93","9.93","-35.8",
"Bradnam, Joe","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","74","4","20","5.41","27.03","-51","62","15","37","2","12","5.41","32.43","-29.75","4","2","2","50","50","3.75","64","4","20","6.25","6.25","-41",
"Breslin, Andrew","3","0","0","0","0","-3","3","0","0","0","0","-3","4","0","0","0","0","-4","15","3","4","20","26.67","22.5","371","17","69","4.58","18.6","-168","8","6","268","15","57","5.6","21.27","-94","11","1","4","9.09","9.09","-7.75","316","15","59","4.75","4.75","-147",
"Brookes, Aiden","1","0","0","0","0","-1","2","0","0","0","0","-2","8","0","2","0","25","-8","16","0","2","0","12.5","-16","454","30","83","6.61","18.28","65.58","20","23","246","16","45","6.5","18.29","105","21","5","14","23.81","23.81","-0.17","402","29","77","7.21","7.21","111.58",
"Brouder, Gavin","1","0","0","0","0","-1","2","0","0","0","0","-2","5","0","0","0","0","-5","10","0","2","0","20","-10","338","18","63","5.33","18.64","-171.87","28","12","164","9","26","5.49","15.85","-102.75","21","6","11","28.57","28.57","7.25","213","16","45","7.51","7.51","-54.25",
"Brouder, Gearoid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","81","2","5","2.47","6.17","-57","521","22","1","0","0","0","0","-1","1","0","0","0","0","-1","45","2","4","4.44","4.44","-21",
"Bryan, Joshua","1","1","1","100","100","2","2","2","2","100","100","3.2","7","3","3","42.86","42.86","2.2","12","4","4","33.33","33.33","-0.89","417","40","122","9.59","29.26","-169.73","1","1","216","20","68","9.26","31.48","-112.73","29","12","21","41.38","41.38","6.94","271","26","84","9.59","9.59","-116.72",
"Buckley, Kieran","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","-7","14","1","1","7.14","7.14","-1","494","34","113","6.88","22.87","-253.74","12","10","207","15","50","7.25","24.15","-100.14","41","11","23","26.83","26.83","-9.99","273","21","74","7.69","7.69","-86.5",
"Buick, William","5","1","1","20","20","-2","5","1","1","20","20","-2","18","3","7","16.67","38.89","-2","27","4","11","14.81","40.74","-4.5","1311","301","571","22.96","43.55","-116.66","1","2","562","130","236","23.13","41.99","-78.45","467","179","281","38.33","38.33","-23.91","655","140","258","21.37","21.37","29.78",
"Burns, Harry","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3","3","0","0","0","0","-3","302","24","74","7.95","24.5","-147.27","27","6","95","3","12","3.16","12.63","-59.5","17","5","10","29.41","29.41","-2.1","222","17","60","7.66","7.66","-114.01",
"Callaghan, Mr K","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","8","0","1","0","12.5","-8","238","28","59","11.76","24.79","-18.79","27","10","81","8","18","9.88","22.22","-6.83","25","12","19","48","48","2.46","176","16","39","9.09","9.09","15.75",
"Carson, William","2","1","2","50","100","2.5","5","1","3","20","60","-0.5","12","1","3","8.33","25","-7.5","22","2","7","9.09","31.82","-11","906","56","188","6.18","20.75","-448.92","1","1","458","36","116","7.86","25.33","-169.45","53","17","34","32.08","32.08","-0.92","716","51","167","7.12","7.12","-299.47",
"Carver, William","1","1","1","100","100","2.75","1","1","1","100","100","2.75","5","2","2","40","40","9.75","5","2","2","40","40","9.75","276","23","61","8.33","22.1","-115","1","1","150","12","33","8","22","-68.5","21","3","9","14.29","14.29","-9.5","186","16","40","8.6","8.6","-74.25",
"Catton, Luke","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","5","1","1","20","20","1","300","25","68","8.33","22.67","-107.47","13","5","157","12","37","7.64","23.57","-68.42","17","3","7","17.65","17.65","-9.8","257","24","58","9.34","9.34","-68.47",
"Clarke, Conor","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","65","3","14","4.62","21.54","-42","395","44","41","0","7","0","17.07","-41","6","1","2","16.67","16.67","-4.33","29","1","6","3.45","3.45","-27.33",
"Clutterbuck, Rhys","2","0","0","0","0","-2","7","1","1","14.29","14.29","10","21","1","2","4.76","9.52","-4","31","1","4","3.23","12.9","-14","743","66","175","8.88","23.55","-229.14","3","6","411","38","95","9.25","23.11","-139.17","58","18","36","31.03","31.03","-7.14","520","54","138","10.38","10.38","-91.62",
"Coakley, Ross","1","0","1","0","100","-1","1","0","1","0","100","-1","6","0","3","0","50","-6","18","2","7","11.11","38.89","-8.17","714","86","222","12.04","31.09","-161.73","9","8","368","41","109","11.14","29.62","-66.94","79","26","45","32.91","32.91","-6.78","426","53","134","12.44","12.44","-80.08",
"Cole, Morgan","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","5","0","0","0","0","-5","294","23","73","7.82","24.83","-176.66","22","13","194","14","49","7.22","25.26","-117.87","21","6","8","28.57","28.57","-4.24","244","22","69","9.02","9.02","-131.16",
"Cosgrave, Pat","2","0","1","0","50","-2","6","0","1","0","16.67","-6","8","0","2","0","25","-8","18","0","3","0","16.67","-18","432","52","131","12.04","30.32","-124.19","18","23","200","24","54","12","27","-33.97","54","26","38","48.15","48.15","18.9","315","38","101","12.06","12.06","-95.93",
"Costello, Dougie","2","0","1","0","50","-2","2","0","1","0","50","-2","9","0","1","0","11.11","-9","20","3","5","15","25","-0.17","703","64","169","9.1","24.04","-217.64","10","14","332","26","76","7.83","22.89","-153.15","51","15","33","29.41","29.41","-12.05","533","53","134","9.94","9.94","-108.7",
"Coughlan, Laura","2","0","0","0","0","-2","3","0","0","0","0","-3","5","0","0","0","0","-5","6","0","0","0","0","-6","216","17","46","7.87","21.3","-24.17","39","16","103","6","16","5.83","15.53","-28.5","15","4","8","26.67","26.67","-3.67","178","14","37","7.87","7.87","-17.17",
"Cox, William","1","0","0","0","0","-1","2","0","0","0","0","-2","6","0","0","0","0","-6","9","0","0","0","0","-9","421","13","52","3.09","12.35","-200.5","55","43","246","8","31","3.25","12.6","-58.5","7","0","2","0","0","-7","282","9","40","3.19","3.19","-99.5",
"Croot, Elle-May","1","0","1","0","100","-1","1","0","1","0","100","-1","1","0","1","0","100","-1","2","0","1","0","50","-2","206","17","49","8.25","23.79","-59.19","15","3","106","8","18","7.55","16.98","-30.44","10","3","8","30","30","-0.02","169","15","43","8.88","8.88","-50.19",
"Crouch, Hector","1","0","0","0","0","-1","1","0","0","0","0","-1","12","1","6","8.33","50","-8","34","6","15","17.65","44.12","-6.87","966","150","333","15.53","34.47","-107.04","6","8","506","75","181","14.82","35.77","-90.73","175","56","103","32","32","-18.95","543","86","189","15.84","15.84","-9.62",
"Crowley, Jim","3","0","2","0","66.67","-3","3","0","2","0","66.67","-3","9","0","3","0","33.33","-9","25","0","6","0","24","-25","758","127","263","16.75","34.7","-78.59","18","33","401","53","124","13.22","30.92","-114.77","160","62","102","38.75","38.75","-1.91","397","51","129","12.85","12.85","-51.28",
"Currie, Nicola","0","0","0","0","0","0","3","0","0","0","0","-3","7","0","0","0","0","-7","10","0","0","0","0","-10","280","14","39","5","13.93","-70.59","15","13","99","5","13","5.05","13.13","-42","4","2","3","50","50","2.25","195","12","32","6.15","6.15","-0.59",
"Dace, Jack","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","8","0","1","0","12.5","-8","15","1","2","6.67","13.33","-8.5","30","13","15","1","2","6.67","13.33","-8.5","1","0","0","0","0","-1","15","1","2","6.67","6.67","-8.5",
"Davies, Harry","1","1","1","100","100","20","2","1","1","50","50","19","2","1","1","50","50","19","14","2","2","14.29","14.29","9.88","911","101","290","11.09","31.83","-177.04","1","1","548","59","176","10.77","32.12","-86.11","109","33","65","30.28","30.28","-11","606","56","177","9.24","9.24","-204.66",
"Dawson, R","3","0","0","0","0","-3","8","2","3","25","37.5","61.75","12","2","3","16.67","25","57.75","27","5","9","18.52","33.33","57.58","556","60","167","10.79","30.04","-31.31","2","6","190","16","51","8.42","26.84","-32.69","80","18","45","22.5","22.5","-27.81","365","40","111","10.96","10.96","-34.85",
"Dobbs, Pat","1","0","1","0","100","-1","2","0","1","0","50","-2","8","0","2","0","25","-8","15","0","5","0","33.33","-15","387","42","129","10.85","33.33","-112.73","44","37","175","21","60","12","34.29","-21.55","42","15","26","35.71","35.71","-1.58","182","19","66","10.44","10.44","-38.92",
"Dobie, Georgia","2","0","0","0","0","-2","4","0","0","0","0","-4","8","1","2","12.5","25","-3","12","1","3","8.33","25","-7","446","23","81","5.16","18.16","-232.75","7","8","247","15","43","6.07","17.41","-109.5","18","3","8","16.67","16.67","-8.75","343","18","68","5.25","5.25","-173.25",
"Donovan, Philip","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","6","1","1","16.67","16.67","20","279","15","45","5.38","16.13","-32.54","14","6","153","10","28","6.54","18.3","-39.04","7","3","5","42.86","42.86","3.63","136","8","24","5.88","5.88","-17",
"Doughty, Jack","3","1","1","33.33","33.33","-1.17","3","1","1","33.33","33.33","-1.17","3","1","1","33.33","33.33","-1.17","3","1","1","33.33","33.33","-1.17","257","35","81","13.62","31.52","-41.31","1","2","257","35","81","13.62","31.52","-41.31","42","15","31","35.71","35.71","1.94","220","31","67","14.09","14.09","-25.81",
"Downing, George","1","0","0","0","0","-1","1","0","0","0","0","-1","5","0","0","0","0","-5","9","0","0","0","0","-9","255","22","73","8.63","28.63","-94.49","21","13","126","14","41","11.11","32.54","-39.12","25","5","16","20","20","-9.62","160","16","43","10","10","-41.92",
"Doyle, Hollie","6","2","3","33.33","50","10","12","2","4","16.67","33.33","4","23","3","7","13.04","30.43","-4.37","40","6","16","15","40","-13.19","1759","237","564","13.47","32.06","-449.31","1","4","987","125","330","12.66","33.43","-326.19","284","92","163","32.39","32.39","-35.54","1214","158","369","13.01","13.01","-298.72",
"Doyle, James","1","0","1","0","100","-1","1","0","1","0","100","-1","17","3","7","17.65","41.18","-9.67","35","5","14","14.29","40","-18.84","873","165","366","18.9","41.92","-215.93","6","10","438","80","180","18.26","41.1","-122.69","279","104","182","37.28","37.28","-42.19","387","66","141","17.05","17.05","-70.42",
"Doyle, R A","0","0","0","0","0","0","0","0","0","0","0","0","6","1","3","16.67","50","15","9","2","4","22.22","44.44","33","442","22","77","4.98","17.42","-250.98","5","2","225","10","35","4.44","15.56","-115.62","21","5","13","23.81","23.81","-2.86","191","11","39","5.76","5.76","-74.12",
"Eaves, Tom","4","0","1","0","25","-4","4","0","1","0","25","-4","17","1","3","5.88","17.65","-8","31","2","6","6.45","19.35","-12.5","1336","106","325","7.93","24.33","-368.86","4","6","706","58","174","8.22","24.65","-152.49","73","23","47","31.51","31.51","-9.45","956","71","239","7.43","7.43","-327.79",
"Edmunds, Lewis","5","1","1","20","20","8","9","1","1","11.11","11.11","4","14","2","4","14.29","28.57","4.5","22","2","6","9.09","27.27","-3.5","937","105","278","11.21","29.67","-158.68","1","4","520","62","173","11.92","33.27","-138.83","105","35","64","33.33","33.33","8.99","724","95","238","13.12","13.12","-9.92",
"Egan, David","0","0","0","0","0","0","6","1","4","16.67","66.67","-1","19","4","11","21.05","57.89","3","41","6","17","14.63","41.46","-9","1563","186","500","11.9","31.99","-344.23","3","6","755","95","240","12.58","31.79","-75.49","165","55","104","33.33","33.33","-5.72","931","105","275","11.28","11.28","-128.97",
"Egan, John","0","0","0","0","0","0","1","0","1","0","100","-1","4","0","1","0","25","-4","9","0","1","0","11.11","-9","409","29","92","7.09","22.49","-224.65","28","20","178","9","39","5.06","21.91","-101.67","28","9","19","32.14","32.14","-0.65","300","25","79","8.33","8.33","-130.98",
"Elliott, Rhys","3","0","0","0","0","-3","3","0","0","0","0","-3","8","0","2","0","25","-8","19","0","3","0","15.79","-19","111","11","34","9.91","30.63","-23.42","18","23","109","11","34","10.09","31.19","-21.42","11","3","4","27.27","27.27","0.08","102","10","30","9.8","9.8","-19.42",
"Enright, P T","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","0","12.5","-8","22","1","6","4.55","27.27","-17.67","1008","62","204","6.15","20.24","-361.61","12","15","508","31","108","6.1","21.26","-201.5","61","14","39","22.95","22.95","-11.45","523","44","141","8.41","8.41","-74.38",
"Ewing, Sam","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","19","0","4","0","21.05","-19","671","51","166","7.6","24.74","-229.97","24","28","372","36","93","9.68","25","-42.75","47","11","26","23.4","23.4","-21.88","318","23","67","7.23","7.23","-48.71",
"Fallon, Cieren","3","1","2","33.33","66.67","-0.9","3","1","2","33.33","66.67","-0.9","13","1","4","7.69","30.77","-10.9","36","4","12","11.11","33.33","-23.15","880","117","275","13.3","31.25","-212.85","1","2","382","59","120","15.45","31.41","-77.59","111","38","61","34.23","34.23","-9.48","543","68","161","12.52","12.52","-133.01",
"Fanning, Joe","4","2","2","50","50","6.83","4","2","2","50","50","6.83","20","3","9","15","45","-5.92","47","5","15","10.64","31.91","-14.42","968","147","333","15.19","34.4","-43.71","1","2","563","83","197","14.74","34.99","-38.12","145","51","91","35.17","35.17","-1.7","757","111","255","14.66","14.66","-56.62",
"Farragher, Adam J","1","0","0","0","0","-1","3","0","0","0","0","-3","10","0","1","0","10","-10","21","1","3","4.76","14.29","-15","840","88","208","10.48","24.76","-227.55","8","11","483","45","111","9.32","22.98","-122.4","84","32","56","38.1","38.1","7.87","584","67","155","11.47","11.47","-132",
"Fenelon, S","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","7","0","1","0","14.29","-7","265","7","31","2.64","11.7","-146","114","45","143","5","18","3.5","12.59","-49","7","1","3","14.29","14.29","-3","137","4","19","2.92","2.92","-65",
"Fentiman, Duran","2","0","1","0","50","-2","2","0","1","0","50","-2","13","2","5","15.38","38.46","1.5","27","2","7","7.41","25.93","-12.5","626","30","113","4.79","18.05","-252.06","5","6","300","23","68","7.67","22.67","-18.59","24","3","11","12.5","12.5","-17.22","511","28","99","5.48","5.48","-144.59",
"Fisher, Taylor","0","0","0","0","0","0","2","0","1","0","50","-2","8","1","5","12.5","62.5","0","10","1","5","10","50","-2","506","62","165","12.25","32.61","-149.9","4","3","170","18","51","10.59","30","-68.13","59","22","36","37.29","37.29","10.86","427","49","139","11.48","11.48","-159.62",
"Fitzgerald, S","0","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","75","-4","9","0","5","0","55.56","-9","388","24","86","6.19","22.16","-169.54","43","24","178","16","53","8.99","29.78","-5.12","19","7","10","36.84","36.84","2.46","189","16","51","8.47","8.47","-35.54",
"Foley, J B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","9","26","5.03","14.53","-114.6","87","14","55","2","4","3.64","7.27","-35.67","8","2","3","25","25","-2.93","90","7","14","7.78","7.78","-31.5",
"Fraser, Kaiya","2","0","0","0","0","-2","6","0","1","0","16.67","-6","10","0","1","0","10","-10","20","1","5","5","25","-8","265","32","91","12.08","34.34","-75.53","13","17","136","12","43","8.82","31.62","-65.92","47","12","25","25.53","25.53","-12.61","232","30","83","12.93","12.93","-65.53",
"Gainford, Mr J C","0","0","0","0","0","0","0","0","0","0","0","0","7","1","2","14.29","28.57","-3.75","7","1","2","14.29","28.57","-3.75","514","45","124","8.75","24.12","-146.55","5","2","270","19","62","7.04","22.96","-111.55","33","12","19","36.36","36.36","1.74","226","16","47","7.08","7.08","-20.75",
