Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","2","0","0","0","0","-2","9","2","2","22.22","22.22","-1","14","3","4","21.43","28.57","0.5","19","3","7","15.79","36.84","-4.5","1303","121","391","9.29","30.01","-408.44","3","7","627","62","197","9.89","31.42","-169.58","144","34","78","23.61","23.61","-27.72","1014","101","321","9.96","9.96","-302.34",
"Beasley, Connor","4","1","1","25","25","-1.37","8","1","2","12.5","25","-5.37","19","2","3","10.53","15.79","-12.37","27","2","5","7.41","18.52","-20.37","1268","140","428","11.04","33.75","-305.06","1","2","540","61","180","11.3","33.33","-150.69","168","43","103","25.6","25.6","-34.88","964","100","318","10.37","10.37","-294.05",
"Bell, Samantha","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","739","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Bennett, Charlie","2","0","0","0","0","-2","3","0","1","0","33.33","-3","5","1","2","20","40","0","13","1","5","7.69","38.46","-8","382","12","69","3.14","18.06","-278","6","5","117","5","22","4.27","18.8","-54","14","2","5","14.29","14.29","-6.5","281","9","56","3.2","3.2","-193.5",
"Bishop, Charles","6","1","2","16.67","33.33","-1","10","1","4","10","40","-5","15","1","5","6.67","33.33","-10","31","2","8","6.45","25.81","-23.5","868","87","248","10.02","28.57","-243.85","1","2","458","48","130","10.48","28.38","-91.14","84","32","53","38.1","38.1","0.07","534","52","145","9.74","9.74","-93.77",
"Bowen, S D","5","1","3","20","60","0.5","11","3","7","27.27","63.64","3.25","16","3","9","18.75","56.25","-1.75","37","4","14","10.81","37.84","-16.75","622","61","175","9.81","28.14","-118.7","1","2","374","37","111","9.89","29.68","-113.16","64","19","41","29.69","29.69","-5.03","519","48","150","9.25","9.25","-84.28",
"Bryan, Joshua","1","0","1","0","100","-1","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","5","2","3","40","60","0.2","417","40","123","9.59","29.5","-169.73","12","4","210","20","67","9.52","31.9","-106.73","30","12","22","40","40","5.94","271","26","85","9.59","9.59","-116.72",
"Buick, William","0","0","0","0","0","0","5","2","2","40","40","5.5","5","2","2","40","40","5.5","27","6","9","22.22","33.33","-2.62","1299","295","560","22.71","43.11","-132.47","3","4","532","122","219","22.93","41.17","-85.01","458","175","275","38.21","38.21","-25.84","648","136","253","20.99","20.99","8.03",
"Caffrey, Adam","1","0","0","0","0","-1","1","0","0","0","0","-1","5","2","3","40","60","19","19","3","6","15.79","31.58","11","662","70","185","10.57","27.95","-79.22","4","3","342","38","99","11.11","28.95","-33.38","70","19","42","27.14","27.14","7.79","547","61","158","11.15","11.15","-17.3",
"Callan, N","5","0","0","0","0","-5","12","4","4","33.33","33.33","8.96","14","4","4","28.57","28.57","6.96","28","6","9","21.43","32.14","-2.21","937","123","304","13.13","32.44","-75.12","2","6","436","44","131","10.09","30.05","-146.68","134","45","89","33.58","33.58","-12.79","609","82","203","13.46","13.46","-24.57",
