Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Armson, Philip","3","0","0","0","0","-3","5","1","1","20","20","36","356","16","51","4.49","14.33","-86.09","13","5","149","6","20","4.03","13.42","-80.17","20","0","7","0","0","-20","289","14","45","4.84","4.84","-149.42",
"Bannister, Harry A A","0","0","0","0","0","0","0","0","0","0","0","0","435","38","120","8.74","27.59","-182.94","62","10","257","21","63","8.17","24.51","-128.14","51","13","23","25.49","25.49","-14.6","321","28","90","8.72","8.72","-120.82",
"Bellamy, Tom","3","0","1","0","33.33","-3","8","0","3","0","37.5","-8","896","93","274","10.38","30.58","-309.84","35","12","430","48","142","11.16","33.02","-152.3","91","30","53","32.97","32.97","-16.01","560","56","163","10","10","-243.87",
"Bennett, Charlie","5","0","0","0","0","-5","5","0","0","0","0","-5","383","12","68","3.13","17.75","-271","57","30","114","4","19","3.51","16.67","-56","15","2","5","13.33","13.33","-7.5","276","9","55","3.26","3.26","-180.5",
"Best, J A","7","0","0","0","0","-7","14","0","1","0","7.14","-14","722","40","137","5.54","18.98","-291.98","42","30","383","27","80","7.05","20.89","-169.11","29","10","15","34.48","34.48","2.36","484","38","125","7.85","7.85","-75.98",
"Birkett, Mr R","0","0","0","0","0","0","1","0","0","0","0","-1","31","4","10","12.9","32.26","-9.75","203","7","14","1","2","7.14","14.29","-10.75","4","1","1","25","25","-0.75","31","4","10","12.9","12.9","-9.75",
"Blackmore, Rachael","8","3","4","37.5","50","-1.15","19","6","8","31.58","42.11","-2.65","892","128","329","14.35","36.88","-289.69","2","1","449","67","162","14.92","36.08","-156.2","179","56","110","31.28","31.28","-32.24","361","29","103","8.03","8.03","-163.62",
"Bowen, James C","3","0","1","0","33.33","-3","9","1","2","11.11","22.22","-7.64","690","95","244","13.77","35.36","-128.41","13","9","466","73","182","15.67","39.06","-54.67","119","40","78","33.61","33.61","-10.96","406","60","137","14.78","14.78","-4.79",
"Bowen, Miss S L","0","0","0","0","0","0","1","1","1","100","100","4","55","4","14","7.27","25.45","-35.2","9","1","32","3","9","9.38","28.13","-18.7","2","1","1","50","50","-0.2","55","4","14","7.27","7.27","-35.2",
"Bowen, S D","21","5","10","23.81","47.62","5.13","25","6","11","24","44","9.13","590","57","161","9.66","27.29","-106.95","1","3","363","37","107","10.19","29.48","-99.16","59","18","36","30.51","30.51","-2.28","493","45","139","9.13","9.13","-76.28",
"Bowen, Sean P","14","2","7","14.29","50","-7.3","29","6","13","20.69","44.83","-6.64","1432","276","546","19.27","38.13","127.05","4","5","698","127","269","18.19","38.54","-17.52","361","146","213","40.44","40.44","1.25","936","160","325","17.09","17.09","-64.46",
"Brace, Connor","1","0","0","0","0","-1","3","0","0","0","0","-3","341","50","102","14.66","29.91","-18.82","38","5","161","22","49","13.66","30.43","15.21","36","16","23","44.44","44.44","7.02","189","26","59","13.76","13.76","2",
"Brooke, Henry","4","0","0","0","0","-4","6","0","0","0","0","-6","748","120","245","16.04","32.75","-87.76","15","8","404","67","133","16.58","32.92","-11.56","123","44","75","35.77","35.77","2.72","508","83","179","16.34","16.34","-56.96",
"Brotherton, Miss S","2","0","0","0","0","-2","2","0","0","0","0","-2","64","5","18","7.81","28.13","-43.87","78","12","28","1","11","3.57","39.29","-22.5","15","4","7","26.67","26.67","-1.87","64","5","18","7.81","7.81","-43.87",
"Burke, Jonathan","4","0","2","0","50","-4","11","1","4","9.09","36.36","-6.5","746","101","267","13.54","35.79","-202.63","13","11","423","59","158","13.95","37.35","-84.65","117","49","81","41.88","41.88","9.2","430","48","138","11.16","11.16","-134.28",
