Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Blackmore, Rachael","7","0","0","0","0","-7","970","161","381","16.6","39.28","-294.69","19","11","402","61","147","15.17","36.57","-128.53","229","79","140","34.5","34.5","-53.71","370","33","108","8.92","8.92","-112.21",
"Caffrey, Adam","7","0","2","0","28.57","-7","126","7","24","5.56","19.05","-42.92","20","12","106","7","22","6.6","20.75","-22.92","6","3","3","50","50","6.08","110","6","19","5.45","5.45","-30.67",
"Carroll, G F","23","4","6","17.39","26.09","9.75","999","91","254","9.11","25.43","-66.46","4","11","487","43","121","8.83","24.85","-159.7","80","24","48","30","30","1.96","534","56","147","10.49","10.49","102.04",
"Cleary, R P","20","0","0","0","0","-20","780","25","106","3.21","13.59","-454.12","28","35","352","12","50","3.41","14.2","-199","14","1","6","7.14","7.14","-11.62","479","20","79","4.18","4.18","-199.5",
"Coen, Ben M","23","5","11","21.74","47.83","-0.62","931","84","260","9.02","27.93","-335.11","4","5","519","50","159","9.63","30.64","-169.7","97","31","63","31.96","31.96","3.18","466","40","120","8.58","8.58","-161.49",
"Coen, J","19","1","5","5.26","26.32","-6","403","33","106","8.19","26.3","-132.2","8","8","392","32","104","8.16","26.53","-142.2","38","9","20","23.68","23.68","-7.86","307","22","80","7.17","7.17","-98.26",
"Crosse, Nathan","7","0","0","0","0","-7","545","43","115","7.89","21.1","-155.11","31","35","289","24","61","8.3","21.11","-53.82","35","12","24","34.29","34.29","6.39","378","30","86","7.94","7.94","-138.16",
"Crosse, S M","9","1","4","11.11","44.44","-6.12","669","87","232","13","34.68","-266.24","10","5","282","34","100","12.06","35.46","-159.77","107","42","73","39.25","39.25","0.01","220","22","60","10","10","-73.34",
"Doyle, Hollie","47","7","17","14.89","36.17","-25.36","2402","360","859","14.99","35.76","-415.53","5","13","1177","179","422","15.21","35.85","-227.63","428","151","256","35.28","35.28","-32.86","1621","242","575","14.93","14.93","-201.18",
"Enright, M A","10","3","4","30","40","108","529","22","79","4.16","14.93","-164.02","3","3","262","11","41","4.2","15.65","-45.17","13","5","8","38.46","38.46","3.48","282","11","47","3.9","3.9","-153.85",
"Foley, Shane","40","4","14","10","35","-14","1547","164","493","10.6","31.87","-459.55","7","18","640","66","208","10.31","32.5","-175.94","167","44","97","26.35","26.35","-25.72","750","72","222","9.6","9.6","-169.26",
"Hart, Jason","46","5","17","10.87","36.96","-18.87","1633","204","514","12.49","31.48","-126.98","4","11","830","100","250","12.05","30.12","-86.15","213","70","142","32.86","32.86","-8.86","1162","149","388","12.82","12.82","-53.96",
"Hayes, C D","39","7","13","17.95","33.33","19.13","1626","136","424","8.36","26.08","-494.23","2","1","773","59","195","7.63","25.23","-303.34","161","40","82","24.84","24.84","-25.79","906","77","236","8.5","8.5","-234.77",
"Heffernan, J A","33","1","16","3.03","48.48","-18","1021","119","301","11.66","29.48","-115.49","7","15","489","53","140","10.84","28.63","18.1","142","45","92","31.69","31.69","-31.64","454","35","115","7.71","7.71","-44.14",
"Horgan, H J","4","0","0","0","0","-4","107","8","23","7.48","21.5","-63.74","62","15","67","4","14","5.97","20.9","-38.62","15","1","5","6.67","6.67","-12.12","79","1","12","1.27","1.27","-73",
"Keane, C T","43","5","10","11.63","23.26","-25.17","1834","289","701","15.76","38.22","-426.3","4","8","861","120","301","13.94","34.96","-320.42","445","139","272","31.24","31.24","-50.02","914","107","303","11.71","11.71","-264.78",
"Kelly, S B","1","0","0","0","0","-1","168","11","35","6.55","20.83","-85.42","49","14","115","4","19","3.48","16.52","-57","18","5","14","27.78","27.78","-4.92","60","6","16","10","10","8.5",
"Lee, W J","43","4","16","9.3","37.21","-32.15","1318","171","456","12.97","34.6","-193.4","8","21","668","102","248","15.27","37.13","-23.18","207","65","130","31.4","31.4","-22.9","643","68","208","10.58","10.58","-86.86",
"Lordan, W M","24","4","5","16.67","20.83","-8.06","930","91","244","9.78","26.24","-106.6","3","4","471","56","132","11.89","28.03","-56.46","93","32","59","34.41","34.41","-1.02","492","39","110","7.93","7.93","2.07",
"MacRedmond, Cian","14","0","3","0","21.43","-14","509","28","102","5.5","20.04","-261.25","41","32","250","9","45","3.6","18","-152","24","6","12","25","25","0.25","427","27","91","6.32","6.32","-183.75",
"Manning, K J","13","2","4","15.38","30.77","-5.37","910","73","204","8.02","22.42","-373.34","3","3","388","26","82","6.7","21.13","-187.43","63","24","37","38.1","38.1","9.03","434","29","91","6.68","6.68","-161.51",
"Marquand, Tom","53","4","18","7.55","33.96","-23","2217","340","777","15.34","35.05","-218.68","8","24","1068","157","363","14.7","33.99","-226.68","397","158","260","39.8","39.8","9.35","1349","184","429","13.64","13.64","-233.9",
"McCullagh, N G","5","0","0","0","0","-5","471","18","79","3.82","16.77","-282.17","65","25","213","6","33","2.82","15.49","-162.5","14","5","9","35.71","35.71","5","276","12","55","4.35","4.35","-118.5",
"McDonogh, D P","15","0","3","0","20","-15","977","113","313","11.57","32.04","-157.89","15","18","448","54","140","12.05","31.25","-25.96","131","39","83","29.77","29.77","-5.1","415","49","122","11.81","11.81","-0.23",
"McMonagle, Dylan B","27","3","9","11.11","33.33","-14.25","882","105","295","11.9","33.45","-156.02","3","2","415","45","131","10.84","31.57","-118.72","123","42","83","34.15","34.15","14.85","593","68","191","11.47","11.47","-74.02",
"Moore, Ryan","26","5","10","19.23","38.46","-13.09","1138","238","492","20.91","43.23","-173.78","3","3","526","114","235","21.67","44.68","-58.39","381","140","236","36.75","36.75","-54.9","423","75","162","17.73","17.73","-64.48",
"OConnor, Donagh","11","0","0","0","0","-11","486","37","109","7.61","22.43","-131.6","59","43","268","29","65","10.82","24.25","-9.85","31","8","17","25.81","25.81","-1.67","337","26","81","7.72","7.72","-57.63",
"Orr, Oisin","28","2","12","7.14","42.86","-18.17","751","78","211","10.39","28.1","-151.15","12","20","283","36","94","12.72","33.22","-88.03","73","22","42","30.14","30.14","-10.02","365","42","100","11.51","11.51","-11",
"Pasquier, S","0","0","0","0","0","0","1","0","0","0","0","-1","4514","27","1","0","0","0","0","-1","0","0","0","0","0","0","1","0","0","0","0","-1",
"Powell, J A","26","6","9","23.08","34.62","15.25","250","22","65","8.8","26","-31.04","3","2","159","18","47","11.32","29.56","13.33","22","6","14","27.27","27.27","-0.54","219","20","61","9.13","9.13","-8.17",
"Roche, L F","13","0","1","0","7.69","-13","727","47","154","6.46","21.18","-265.88","49","49","334","19","69","5.69","20.66","-183.88","38","11","23","28.95","28.95","4.87","387","24","87","6.2","6.2","-105.5",
"Ryan, Gavin","22","0","2","0","9.09","-22","952","73","240","7.67","25.21","-235.94","15","24","422","32","94","7.58","22.27","-31.79","85","20","48","23.53","23.53","-27.1","496","33","113","6.65","6.65","-127.17",
"Sheehy, M P","21","2","5","9.52","23.81","29","732","76","192","10.38","26.23","-71.62","2","1","362","45","103","12.43","28.45","24.8","72","23","36","31.94","31.94","7","538","55","134","10.22","10.22","-15.53",
"Soumillon, C","0","0","0","0","0","0","15","5","6","33.33","40","3.83","70","5","15","5","6","33.33","40","3.83","5","3","3","60","60","5.75","3","0","1","0","0","-3",
"Watson, Jason","27","2","8","7.41","29.63","-10","1029","134","341","13.02","33.14","-34.99","12","18","663","96","233","14.48","35.14","77.09","132","37","79","28.03","28.03","-33.39","716","102","241","14.25","14.25","-6.68",
"Whearty, R","8","0","0","0","0","-8","243","15","47","6.17","19.34","-94.67","20","13","203","12","38","5.91","18.72","-98.67","16","3","6","18.75","18.75","-3.5","203","13","45","6.4","6.4","-65.67",
"Whelan, R P","17","1","4","5.88","23.53","-14.25","1132","80","276","7.07","24.38","-280.33","3","5","491","32","106","6.52","21.59","-174","104","21","58","20.19","20.19","-33.24","595","42","150","7.06","7.06","-258.32",
 
