Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","29","1","5","3.45","17.24","-23.5","49","3","14","6.12","28.57","-29.5","1325","122","399","9.21","30.11","-368.44","2","7","646","62","199","9.6","30.8","-183.58","143","33","79","23.08","23.08","-30.72","1026","102","326","9.94","9.94","-256.84",
"Bass, George","6","3","4","50","66.67","4.5","11","4","6","36.36","54.55","5","336","31","96","9.23","28.57","-157.55","5","2","154","17","44","11.04","28.57","-71.51","24","9","13","37.5","37.5","3.96","249","28","82","11.24","11.24","-85.88",
"Bennett, Charlie","3","0","0","0","0","-3","5","0","0","0","0","-5","386","13","69","3.37","17.88","-261","54","28","115","5","20","4.35","17.39","-50.5","15","2","5","13.33","13.33","-7.5","279","10","56","3.58","3.58","-170.5",
"Bird, Sean","1","0","0","0","0","-1","3","0","0","0","0","-3","130","3","12","2.31","9.23","-60","36","9","62","1","6","1.61","9.68","-47","0","0","0","0","0","0","84","2","9","2.38","2.38","-40",
"Bishop, Charles","10","0","1","0","10","-10","24","2","4","8.33","16.67","-10.25","854","89","245","10.42","28.69","-218.54","9","12","448","48","125","10.71","27.9","-69.54","84","33","54","39.29","39.29","2.05","519","54","143","10.4","10.4","-64.44",
"Bowen, S D","10","5","7","50","70","20.88","11","5","7","45.45","63.64","19.88","580","56","158","9.66","27.24","-100.2","2","2","353","36","104","10.2","29.46","-92.41","56","17","35","30.36","30.36","-2.53","485","44","136","9.07","9.07","-71.53",
"Bradley, Paddy","12","0","1","0","8.33","-12","16","0","2","0","12.5","-16","576","47","141","8.16","24.48","-153.8","37","41","332","27","81","8.13","24.4","-80.96","31","6","14","19.35","19.35","-10.79","440","44","126","10","10","-32.8",
"Breslin, Andrew","7","2","3","28.57","42.86","17.5","18","3","7","16.67","38.89","19.5","369","17","69","4.61","18.7","-166","2","2","266","15","57","5.64","21.43","-92","11","1","4","9.09","9.09","-7.75","315","15","59","4.76","4.76","-146",
"Brookes, Aiden","9","0","1","0","11.11","-9","17","1","2","5.88","11.76","-9.5","452","31","83","6.86","18.36","72.58","14","17","242","17","46","7.02","19.01","114.5","21","5","14","23.81","23.81","-0.17","398","30","77","7.54","7.54","120.58",
"Brooks, Chelsea","0","0","0","0","0","0","0","0","0","0","0","0","18","1","2","5.56","11.11","-12","24","1","9","1","1","11.11","11.11","-3","0","0","0","0","0","0","18","1","2","5.56","5.56","-12",
"Brown, Mr M W","0","0","0","0","0","0","0","0","0","0","0","0","16","2","5","12.5","31.25","16.13","72","5","7","1","4","14.29","57.14","-3.87","4","1","2","25","25","-0.87","16","2","5","12.5","12.5","16.13",
"Bryan, Joshua","5","1","1","20","20","-3.09","15","1","2","6.67","13.33","-13.09","413","37","119","8.96","28.81","-174.93","6","4","212","17","66","8.02","31.13","-117.93","26","10","19","38.46","38.46","4.74","268","23","81","8.58","8.58","-122.92",
"Buick, William","7","1","4","14.29","57.14","-0.5","20","1","8","5","40","-13.5","1307","305","573","23.34","43.84","-110.15","6","3","562","133","238","23.67","42.35","-80.83","467","181","281","38.76","38.76","-25.06","647","138","254","21.33","21.33","24.03",
