Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Anderson, Joe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","222","29","78","13.06","35.14","-22.45","70","9","147","15","44","10.2","29.93","-29.03","21","8","13","38.1","38.1","4.72","180","24","68","13.33","13.33","-16.2",
"Bannister, Harry A A","1","1","1","100","100","5.5","1","1","1","100","100","5.5","2","1","1","50","50","4.5","2","1","1","50","50","4.5","435","39","120","8.97","27.59","-176.44","1","1","258","22","64","8.53","24.81","-122.64","50","13","22","26","26","-13.6","321","29","90","9.03","9.03","-114.32",
"Bellamy, Tom","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","1","0","25","-4","892","93","272","10.43","30.49","-305.84","42","13","430","48","141","11.16","32.79","-152.3","91","30","53","32.97","32.97","-16.01","557","56","162","10.05","10.05","-240.87",
"Best, J A","2","0","0","0","0","-2","4","0","1","0","25","-4","5","0","1","0","20","-5","12","0","1","0","8.33","-12","724","40","138","5.52","19.06","-293.98","49","35","387","27","81","6.98","20.93","-173.11","29","10","15","34.48","34.48","2.36","489","38","126","7.77","7.77","-80.98",
"Birkett, Mr R","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","32","4","10","12.5","31.25","-10.75","210","8","14","1","1","7.14","7.14","-10.75","5","1","1","20","20","-1.75","32","4","10","12.5","12.5","-10.75",
"Bishop, Charles","2","0","0","0","0","-2","7","1","2","14.29","28.57","-4.5","16","1","3","6.25","18.75","-13.5","30","1","8","3.33","26.67","-27.5","857","88","245","10.27","28.59","-225.47","3","6","454","48","129","10.57","28.41","-90.04","84","33","53","39.29","39.29","2.45","523","53","142","10.13","10.13","-72.77",
"Bowen, James C","2","1","2","50","100","0.63","2","1","2","50","100","0.63","4","2","4","50","100","3.63","7","2","5","28.57","71.43","0.63","692","97","248","14.02","35.84","-122.78","1","1","470","75","186","15.96","39.57","-51.04","121","42","80","34.71","34.71","-5.33","408","62","140","15.2","15.2","0.84",
"Bowen, S D","5","0","3","0","60","-5","12","0","4","0","33.33","-12","21","1","5","4.76","23.81","-15","42","6","15","14.29","35.71","-9.87","608","58","166","9.54","27.3","-118.95","4","16","370","35","106","9.46","28.65","-120.16","62","18","39","29.03","29.03","-5.28","509","46","143","9.04","9.04","-86.28",
"Bowen, Sean P","4","1","3","25","75","-2","6","1","3","16.67","50","-4","10","1","3","10","30","-8","24","3","10","12.5","41.67","-15.3","1433","275","545","19.19","38.03","124.33","1","4","696","125","264","17.96","37.93","-36.19","360","145","212","40.28","40.28","0.53","935","159","323","17.01","17.01","-65.56",
"Brotherton, Miss S","0","0","0","0","0","0","1","1","1","100","100","6","2","1","1","50","50","5","4","1","1","25","25","3","66","6","19","9.09","28.79","-38.87","2","1","28","2","11","7.14","39.29","-15.5","15","4","7","26.67","26.67","-1.87","66","6","19","9.09","9.09","-38.87",
"Cagney, Eireann","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","73","13","33","17.81","45.21","11.11","16","3","48","9","21","18.75","43.75","11.98","10","7","8","70","70","9.36","73","13","33","17.81","17.81","11.11",
"Cannon, Tom J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","779","111","237","14.25","30.42","-160.76","49","11","381","50","115","13.12","30.18","-115.92","98","42","56","42.86","42.86","8.74","457","58","130","12.69","12.69","-110.13",
"Collier, Miss A","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","2","0","0","0","0","-2","25","3","9","12","36","25.5","40","4","16","3","5","18.75","31.25","34.5","2","0","1","0","0","-2","25","3","9","12","12","25.5",
"Crowley, Jim","2","0","0","0","0","-2","10","1","1","10","10","-4","16","1","4","6.25","25","-10","27","1","6","3.7","22.22","-21","765","126","262","16.47","34.25","-87.09","3","8","402","54","125","13.43","31.09","-109.77","158","61","100","38.61","38.61","-2.91","404","51","130","12.62","12.62","-56.78",
"Dickson, Mr Jake","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","20","-5","9999","9999","5","0","1","0","20","-5","0","0","0","0","0","0","5","0","1","0","0","-5",
"Dingle, Rex","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","532","71","164","13.35","30.83","-102.49","99","22","296","34","89","11.49","30.07","-87.47","71","23","39","32.39","32.39","-10.66","328","51","105","15.55","15.55","18.56",
"Easterby, Miss E","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","32","5","13","15.63","40.63","0.5","80","10","19","3","7","15.79","36.84","-4","2","0","1","0","0","-2","32","5","13","15.63","15.63","0.5",
"Easterby, Mr Thomas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","4","11","12.9","35.48","-16","59","3","15","1","6","6.67","40","-12","6","4","5","66.67","66.67","9","29","4","11","13.79","13.79","-14",
"Easterby, William","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","7","15","11.48","24.59","-12.74","269","17","25","1","6","4","24","-21","5","2","3","40","40","1.88","48","7","14","14.58","14.58","0.26",
"Eaves, Tom","2","0","0","0","0","-2","8","1","1","12.5","12.5","5","15","1","3","6.67","20","-2","32","2","6","6.25","18.75","-10","1343","107","327","7.97","24.35","-362.86","3","5","704","58","174","8.24","24.72","-142.99","74","23","47","31.08","31.08","-10.45","960","72","241","7.5","7.5","-318.79",
