Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","46","4","15","8.7","32.61","4.75","1306","148","416","11.33","31.85","-114.22","2","5","699","75","219","10.73","31.33","-96.92","188","62","114","32.98","32.98","7.57","988","130","335","13.16","13.16","-103.65",
"Atzeni, Andrea","19","3","8","15.79","42.11","-5.92","864","146","330","16.9","38.19","-50.22","2","3","440","88","177","20","40.23","39.6","171","58","104","33.92","33.92","-11.42","473","79","170","16.7","16.7","-24.34",
"Barzalona, Mickael","0","0","0","0","0","0","16","4","9","25","56.25","10.73","323","4","14","3","7","21.43","50","-0.27","5","1","4","20","20","-3.27","6","1","4","16.67","16.67","1",
"Bass, George","10","1","4","10","40","-8","389","35","97","9","24.94","-74.15","11","8","236","23","63","9.75","26.69","-76.28","22","9","12","40.91","40.91","3.02","292","30","79","10.27","10.27","-46.65",
"Beasley, Connor","45","7","15","15.56","33.33","44.71","1406","170","477","12.09","33.93","-141.06","2","6","746","79","246","10.59","32.98","-137.43","206","57","120","27.67","27.67","-16.04","1001","126","350","12.59","12.59","-41.2",
"Birkett, Mr R","1","0","0","0","0","-1","44","8","20","18.18","45.45","2","102","5","21","5","10","23.81","47.62","5","4","1","2","25","25","0","44","8","20","18.18","18.18","2",
"Bishop, Charles","21","2","8","9.52","38.1","-12.75","693","65","177","9.38","25.54","-213.56","4","12","379","41","102","10.82","26.91","-158.02","62","22","40","35.48","35.48","-2.68","419","33","98","7.88","7.88","-121.4",
"Bowen, Miss S L","0","0","0","0","0","0","66","2","14","3.03","21.21","-39.5","449","30","24","0","5","0","20.83","-24","7","0","2","0","0","-7","66","2","14","3.03","3.03","-39.5",
"Breslin, Andrew","0","0","0","0","0","0","247","15","51","6.07","20.65","-69.87","27","4","112","6","16","5.36","14.29","-49.87","10","3","3","30","30","-2.12","219","15","49","6.85","6.85","-41.87",
"Buick, William","36","9","18","25","50","3.75","1579","384","725","24.32","45.92","-23.52","1","4","749","195","362","26.03","48.33","-73.32","570","234","366","41.05","41.05","10.99","860","187","348","21.74","21.74","-18.68",
"Caffrey, Adam","11","0","0","0","0","-11","292","24","69","8.22","23.63","-80.34","37","28","232","23","60","9.91","25.86","-46.34","22","6","12","27.27","27.27","0.33","244","21","56","8.61","8.61","-51.59",
"Cagney, Eireann","0","0","0","0","0","0","48","9","15","18.75","31.25","48.38","52","2","27","4","9","14.81","33.33","3.13","6","4","5","66.67","66.67","7.63","48","9","15","18.75","18.75","48.38",
"Carroll, G F","16","2","3","12.5","18.75","-7.92","967","93","245","9.62","25.34","-180.63","1","3","485","50","129","10.31","26.6","-91.88","88","29","55","32.95","32.95","19.87","520","59","145","11.35","11.35","-35.05",
"Cleary, R P","18","0","1","0","5.56","-18","779","27","114","3.47","14.63","-445.25","32","52","365","15","56","4.11","15.34","-170.75","19","3","6","15.79","15.79","-8.75","456","20","77","4.39","4.39","-186.5",
"Clutterbuck, Rhys","15","1","3","6.67","20","-11.5","748","75","200","10.03","26.74","-228.84","3","4","392","33","99","8.42","25.26","-171.68","99","26","53","26.26","26.26","-19.67","545","65","168","11.93","11.93","-117.29",
"Coakley, Ross","18","2","8","11.11","44.44","-10","671","85","236","12.67","35.17","-157.06","5","9","402","49","142","12.19","35.32","-108.48","87","31","54","35.63","35.63","-1.02","417","55","140","13.19","13.19","-86.05",
"Coen, Ben M","21","2","5","9.52","23.81","-15.8","975","91","268","9.33","27.49","-361.35","4","13","509","51","140","10.02","27.5","-213.68","110","37","70","33.64","33.64","10.44","499","48","124","9.62","9.62","-161.66",
"Colgan, R C","8","2","3","25","37.5","9.33","725","33","113","4.55","15.59","-368.93","4","4","326","14","45","4.29","13.8","-197.34","16","4","10","25","25","0.33","387","16","66","4.13","4.13","-174.17",
"Costello, Dougie","14","5","7","35.71","50","47.5","743","78","194","10.5","26.11","-193.77","2","2","362","43","93","11.88","25.69","-32.01","66","22","40","33.33","33.33","-4.77","561","66","155","11.76","11.76","-91.37",
"Crouch, Hector","8","2","3","25","37.5","4.13","785","115","262","14.65","33.38","-33.46","1","1","399","58","130","14.54","32.58","-32.51","133","40","71","30.08","30.08","-21.34","454","71","151","15.64","15.64","61.97",
"Crowley, Jim","9","1","5","11.11","55.56","-4","813","170","316","20.91","38.87","52.35","2","4","392","86","157","21.94","40.05","-0.24","203","83","127","40.89","40.89","1.66","395","63","129","15.95","15.95","-57.69",
"Davies, Harry","12","1","3","8.33","25","-5.5","487","73","173","14.99","35.52","-119.1","8","11","413","60","150","14.53","36.32","-110.59","84","27","49","32.14","32.14","-13.09","400","50","129","12.5","12.5","-137.44",
"Dawes, Rose","5","1","1","20","20","-1.5","155","22","47","14.19","30.32","-5.17","6","4","98","15","29","15.31","29.59","-2.37","15","6","8","40","40","5.58","131","20","41","15.27","15.27","3.83",
"Dawson, R","19","3","6","15.79","31.58","9.5","904","125","287","13.83","31.75","-14.34","2","2","432","62","141","14.35","32.64","48.82","119","41","74","34.45","34.45","-1.87","639","82","193","12.83","12.83","16.83",
"Dennis, Phil","20","1","4","5","20","-15.5","727","57","184","7.84","25.31","62.56","1","3","418","37","110","8.85","26.32","81.08","54","14","31","25.93","25.93","-10.77","549","43","146","7.83","7.83","-40.02",
