Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","3","0","1","0","33.33","-3","10","0","4","0","40","-10","32","0","10","0","31.25","-32","49","4","15","8.16","30.61","-28","1320","122","396","9.24","30","-418.94","8","34","629","58","199","9.22","31.64","-190.08","140","34","77","24.29","24.29","-23.72","1026","101","324","9.84","9.84","-314.34",
"Anderson, Mr A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","66.67","66.67","22","238","14","42","5.88","17.65","-94","14","2","89","6","14","6.74","15.73","-15.5","7","1","2","14.29","14.29","-3.5","182","12","37","6.59","6.59","-50.5",
"Austin, Edward","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","4","0","1","0","25","-4","173","12","32","6.94","18.5","-50.97","142","27","100","6","23","6","23","-26.1","9","6","7","66.67","66.67","11.53","127","10","29","7.87","7.87","-35.47",
"Bannister, Harry A A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","434","39","120","8.99","27.65","-175.44","16","4","256","21","62","8.2","24.22","-139.64","50","13","22","26","26","-13.6","321","29","90","9.03","9.03","-114.32",
"Beasley, Connor","1","0","1","0","100","-1","6","0","1","0","16.67","-6","22","2","8","9.09","36.36","-2","42","4","12","9.52","28.57","-15.37","1262","139","426","11.01","33.76","-294.31","7","19","538","61","182","11.34","33.83","-142.19","170","42","105","24.71","24.71","-39.63","958","100","319","10.44","10.44","-280.55",
"Bennett, Charlie","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","-7","13","1","2","7.69","15.38","-8","378","12","69","3.17","18.25","-274","14","13","120","5","21","4.17","17.5","-57","14","2","5","14.29","14.29","-6.5","277","9","56","3.25","3.25","-189.5",
"Bennett, Miss N","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","1","0","1","0","100","-1","56","8","13","14.29","23.21","53","18","2","29","4","6","13.79","20.69","35","2","0","1","0","0","-2","44","8","12","18.18","18.18","65",
"Bewley, Callum","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","7","1","2","14.29","28.57","16","237","18","48","7.59","20.25","-69.21","14","5","168","13","34","7.74","20.24","-27.42","7","3","5","42.86","42.86","3.08","124","15","39","12.1","12.1","13.91",
"Blackmore, Rachael","0","0","0","0","0","0","3","0","2","0","66.67","-3","5","0","3","0","60","-5","12","1","6","8.33","50","-7.5","884","127","330","14.37","37.33","-283.9","10","8","439","63","160","14.35","36.45","-170.87","178","54","109","30.34","30.34","-37.95","358","30","103","8.38","8.38","-156.12",
"Bowen, James C","0","0","0","0","0","0","2","1","1","50","50","4.5","4","1","1","25","25","2.5","9","2","3","22.22","33.33","7","693","97","249","14","35.93","-119.91","3","2","479","77","189","16.08","39.46","-44.04","123","42","81","34.15","34.15","-7.33","413","61","140","14.77","14.77","-9.79",
"Bowen, S D","0","0","0","0","0","0","11","0","2","0","18.18","-11","20","4","7","20","35","11.17","39","7","17","17.95","43.59","6.42","641","64","182","9.98","28.39","-109.28","6","17","393","40","117","10.18","29.77","-105.99","67","20","42","29.85","29.85","-6.61","537","51","157","9.5","9.5","-72.28",
"Breslin, Andrew","0","0","0","0","0","0","1","0","0","0","0","-1","6","0","1","0","16.67","-6","15","0","1","0","6.67","-15","380","17","71","4.47","18.68","-177","27","22","262","14","56","5.34","21.37","-91.25","11","1","4","9.09","9.09","-7.75","322","15","61","4.66","4.66","-153",
"Brouder, Gearoid","2","0","0","0","0","-2","2","0","0","0","0","-2","2","0","0","0","0","-2","2","0","0","0","0","-2","76","2","5","2.63","6.58","-52","540","25","4","0","0","0","0","-4","1","0","0","0","0","-1","43","2","4","4.65","4.65","-19",
"Bughenaim, Faleh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","16.67","-6","9999","9999","6","0","1","0","16.67","-6","0","0","0","0","0","0","4","0","0","0","0","-4",
"Burns, Harry","0","0","0","0","0","0","1","1","1","100","100","1.63","4","1","2","25","50","-1.37","4","1","2","25","50","-1.37","299","25","77","8.36","25.75","-141.64","2","1","98","4","14","4.08","14.29","-59.87","17","6","11","35.29","35.29","0.53","217","18","62","8.29","8.29","-106.38",
"Caffrey, Adam","0","0","0","0","0","0","7","1","2","14.29","28.57","27","14","3","4","21.43","28.57","25.55","20","5","7","25","35","43.55","671","71","187","10.58","27.87","-63.67","3","4","345","40","98","11.59","28.41","-5.83","73","21","45","28.77","28.77","10.34","551","61","159","11.07","11.07","1.45",
"Carroll, G F","0","0","0","0","0","0","9","2","6","22.22","66.67","4","19","3","7","15.79","36.84","-2.5","32","4","10","12.5","31.25","10.5","1023","96","264","9.38","25.81","-229.21","2","1","488","38","128","7.79","26.23","-105.82","93","25","54","26.88","26.88","-12.5","517","46","142","8.9","8.9","-155.51",
"Carson, William","0","0","0","0","0","0","6","1","2","16.67","33.33","-2.25","14","1","5","7.14","35.71","-10.25","23","2","7","8.7","30.43","-16.87","935","58","197","6.2","21.07","-471.79","3","4","465","37","120","7.96","25.81","-211.32","57","19","38","33.33","33.33","1.21","743","53","175","7.13","7.13","-320.34",
"Carver, William","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","11","1","2","9.09","18.18","-5.5","284","24","64","8.45","22.54","-108","12","6","158","14","37","8.86","23.42","-58","20","2","8","10","10","-12","193","16","42","8.29","8.29","-71.75",
"Catton, Luke","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","1","0","50","-2","6","1","4","16.67","66.67","3.5","299","25","69","8.36","23.08","-102.97","11","4","153","12","37","7.84","24.18","-63.92","17","3","7","17.65","17.65","-9.8","254","24","58","9.45","9.45","-61.97",
"Chapman, Ross","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","50","-2","3","0","1","0","33.33","-3","433","42","96","9.7","22.17","-103.53","87","18","227","26","56","11.45","24.67","-33.24","37","14","23","37.84","37.84","2.56","310","38","77","12.26","12.26","-8.13",
"Clarke, Alyse Jane","0","0","0","0","0","0","1","0","1","0","100","-1","1","0","1","0","100","-1","1","0","1","0","100","-1","23","2","3","8.7","13.04","-11.5","27","6","23","2","3","8.7","13.04","-11.5","1","1","1","100","100","4","18","2","3","11.11","11.11","-6.5",
"Cleary, Jack","0","0","0","0","0","0","4","1","2","25","50","0.33","5","1","2","20","40","-0.67","7","1","2","14.29","28.57","-2.67","284","17","59","5.99","20.77","-121.96","3","4","167","11","40","6.59","23.95","-44.04","17","5","8","29.41","29.41","1.46","180","10","32","5.56","5.56","-68.42",
"Cleary, R P","0","0","0","0","0","0","2","0","0","0","0","-2","10","1","2","10","20","-5.5","18","1","2","5.56","11.11","-13.5","809","38","149","4.7","18.42","-365.13","6","9","357","18","62","5.04","17.37","-112.04","41","10","22","24.39","24.39","-6.09","411","20","78","4.87","4.87","-98.75",
