Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","25","1","4","4","16","-19.5","50","3","12","6","24","-30.5","1325","122","396","9.21","29.89","-368.44","4","14","642","62","196","9.66","30.53","-179.58","142","33","78","23.24","23.24","-29.72","1024","102","324","9.96","9.96","-254.84",
"Bass, George","7","2","3","28.57","42.86","0.5","13","4","6","30.77","46.15","3","335","31","94","9.25","28.06","-156.55","7","5","156","17","44","10.9","28.21","-73.51","24","9","13","37.5","37.5","3.96","248","28","80","11.29","11.29","-84.88",
"Bennett, Miss N","2","1","1","50","50","10","2","1","1","50","50","10","54","8","12","14.81","22.22","51.5","6","1","30","3","4","10","13.33","22","1","0","0","0","0","-1","42","8","11","19.05","19.05","63.5",
"Bird, Sean","2","0","0","0","0","-2","4","0","0","0","0","-4","131","3","12","2.29","9.16","-61","38","10","61","1","6","1.64","9.84","-46","0","0","0","0","0","0","85","2","9","2.35","2.35","-41",
"Bishop, Charles","11","0","2","0","18.18","-11","22","1","4","4.55","18.18","-12","855","89","244","10.41","28.54","-219.54","11","15","446","48","125","10.76","28.03","-67.54","84","33","54","39.29","39.29","2.05","520","54","142","10.38","10.38","-65.44",
"Bond, Alice","2","1","1","50","50","8","3","1","1","33.33","33.33","7","71","3","14","4.23","19.72","-38.5","6","2","39","3","7","7.69","17.95","-6.5","0","0","0","0","0","0","59","3","14","5.08","5.08","-26.5",
"Bowen, S D","16","5","9","31.25","56.25","14.88","19","5","9","26.32","47.37","11.88","585","56","160","9.57","27.35","-105.2","4","10","357","36","105","10.08","29.41","-96.41","58","17","35","29.31","29.31","-4.53","489","44","138","9","9","-75.53",
"Bowen, Sean P","17","3","8","17.65","47.06","-8.77","33","6","14","18.18","42.42","-10.64","1432","276","547","19.27","38.2","127.05","3","4","700","128","270","18.29","38.57","-18.38","361","146","213","40.44","40.44","1.25","936","160","326","17.09","17.09","-64.46",
"Brace, Connor","0","0","0","0","0","0","2","0","0","0","0","-2","340","50","102","14.71","30","-17.82","37","4","160","22","49","13.75","30.63","16.21","36","16","23","44.44","44.44","7.02","188","26","59","13.83","13.83","3",
"Bradley, Paddy","14","1","2","7.14","14.29","-8.5","20","1","3","5","15","-14.5","580","48","142","8.28","24.48","-152.3","2","5","332","27","81","8.13","24.4","-79.46","31","6","14","19.35","19.35","-10.79","441","44","126","9.98","9.98","-33.8",
"Bradnam, Joe","2","0","0","0","0","-2","3","0","1","0","33.33","-3","73","4","20","5.48","27.4","-50","58","14","37","2","12","5.41","32.43","-29.75","4","2","2","50","50","3.75","64","4","20","6.25","6.25","-41",
"Brookes, Aiden","11","0","2","0","18.18","-11","15","0","2","0","13.33","-15","452","30","83","6.64","18.36","67.58","16","19","243","17","46","7","18.93","113.5","21","5","14","23.81","23.81","-0.17","399","29","77","7.27","7.27","114.58",
"Bryan, Joshua","5","1","1","20","20","-1","13","2","3","15.38","23.08","-7.09","414","38","120","9.18","28.99","-171.93","1","2","215","18","67","8.37","31.16","-116.93","26","10","19","38.46","38.46","4.74","268","24","82","8.96","8.96","-118.92",
"Buick, William","8","2","5","25","62.5","5","22","3","10","13.64","45.45","-2.5","1312","305","575","23.25","43.83","-108.73","2","5","566","134","240","23.67","42.4","-73.45","469","181","282","38.59","38.59","-24.81","652","139","256","21.32","21.32","29.78",
"Burke, Jonathan","3","0","1","0","33.33","-3","15","1","3","6.67","20","-10.5","745","101","266","13.56","35.7","-201.63","12","10","422","59","157","13.98","37.2","-83.65","117","49","81","41.88","41.88","9.2","429","48","137","11.19","11.19","-133.28",
"Burns, Harry","2","0","0","0","0","-2","3","0","0","0","0","-3","305","25","76","8.2","24.92","-143.77","23","5","100","3","14","3","14","-64.5","18","5","11","27.78","27.78","-3.1","226","18","62","7.96","7.96","-111.51",
