Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Akehurst, Louise","0","0","0","0","0","0","0","0","0","0","0","0","9999","9999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Allan, David","5","0","1","0","20","-5","1296","152","411","11.73","31.71","-91.55","24","9","704","75","219","10.65","31.11","-132.17","195","63","116","32.31","32.31","1.36","973","136","331","13.98","13.98","-31.86",
"Andrews, Bridget","7","1","3","14.29","42.86","-3.25","238","28","59","11.76","24.79","-99.75","13","7","105","10","25","9.52","23.81","-50.91","28","13","18","46.43","46.43","4","131","10","27","7.63","7.63","-49.3",
"Andrews, Gina","2","0","0","0","0","-2","59","16","28","27.12","47.46","2.2","18","4","30","8","13","26.67","43.33","-2.76","16","7","12","43.75","43.75","2.45","29","7","12","24.14","24.14","3.25",
"Andrews, Jack","3","1","1","33.33","33.33","4","186","23","59","12.37","31.72","-64.63","9","2","87","11","26","12.64","29.89","-36.17","25","6","13","24","24","-14.46","131","16","46","12.21","12.21","-25.47",
"Atzeni, Andrea","15","2","6","13.33","40","-8.75","873","149","338","17.07","38.72","-36.64","1","1","413","85","168","20.58","40.68","49.65","173","59","108","34.1","34.1","-19.17","460","78","167","16.96","16.96","-16.09",
"Baker, Mr Z","2","0","1","0","50","-2","57","8","14","14.04","24.56","9.78","296","9","23","3","4","13.04","17.39","16.6","10","2","4","20","20","-6.1","35","4","8","11.43","11.43","10.88",
"Bannister, Harry A A","18","2","4","11.11","22.22","-5.75","510","66","165","12.94","32.35","-75","9","6","172","24","58","13.95","33.72","-33.29","84","25","48","29.76","29.76","-16.67","317","48","110","15.14","15.14","17.55",
"Barfoot-Saunt, Mr G","0","0","0","0","0","0","25","0","0","0","0","-25","6151","156","14","0","0","0","0","-14","0","0","0","0","0","0","1","0","0","0","0","-1",
"Barry, Mr B","0","0","0","0","0","0","15","1","1","6.67","6.67","-5","538","14","8","0","0","0","0","-8","0","0","0","0","0","0","7","1","1","14.29","14.29","3",
"Barry, Mr J C","5","0","1","0","20","-5","181","7","29","3.87","16.02","-71.17","80","12","84","5","16","5.95","19.05","7.33","6","1","1","16.67","16.67","-1.67","36","1","4","2.78","2.78","-31.67",
"Bass, David","12","0","1","0","8.33","-12","501","63","159","12.57","31.74","-145.39","18","14","216","28","67","12.96","31.02","-46.76","81","20","49","24.69","24.69","-32.58","279","30","82","10.75","10.75","-80.54",
"Beasley, Connor","12","0","3","0","25","-12","1374","167","469","12.15","34.13","-206.7","15","13","751","85","252","11.32","33.56","-152.53","206","57","119","27.67","27.67","-16.51","977","126","347","12.9","12.9","-70.84",
