Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Austin, Edward","2","0","0","0","0","-2","155","12","29","7.74","18.71","-69.47","42","9","79","3","10","3.8","12.66","-71.47","12","7","10","58.33","58.33","8.53","118","10","26","8.47","8.47","-53.97",
"Bewley, Jonathon","7","0","0","0","0","-7","163","17","43","10.43","26.38","-73.71","28","11","92","7","18","7.61","19.57","-49.25","15","5","6","33.33","33.33","1.29","129","16","40","12.4","12.4","-44.21",
"Bishop, Charles","9","3","4","33.33","44.44","13.13","759","77","202","10.14","26.61","-241.53","2","1","402","42","108","10.45","26.87","-99.72","77","27","46","35.06","35.06","-8.15","445","40","108","8.99","8.99","-140.72",
"Blackmore, Rachael","10","3","4","30","40","1.75","902","131","331","14.52","36.7","-278.92","2","5","441","68","170","15.42","38.55","-111.58","198","63","121","31.82","31.82","-41.29","364","30","101","8.24","8.24","-135.59",
"Bradley, Paddy","16","0","5","0","31.25","-16","388","32","101","8.25","26.03","-124.71","40","30","294","26","75","8.84","25.51","-82.04","26","4","12","15.38","15.38","-12.87","302","31","92","10.26","10.26","-42.21",
"Brooke, Henry","23","1","6","4.35","26.09","-19.5","601","89","196","14.81","32.61","-119.37","5","11","353","53","108","15.01","30.59","-56.32","87","28","51","32.18","32.18","-5.06","399","67","144","16.79","16.79","-57.58",
"Brown, Miss Lucy","0","0","0","0","0","0","9","0","1","0","11.11","-9","9999","9999","6","0","0","0","0","-6","0","0","0","0","0","0","7","0","0","0","0","-7",
"Byrnes, Mr P","6","0","0","0","0","-6","261","27","65","10.34","24.9","-121.42","65","18","164","15","35","9.15","21.34","-75.1","31","13","20","41.94","41.94","3.83","144","14","32","9.72","9.72","-60",
"Callaghan, Mr K","0","0","0","0","0","0","256","26","58","10.16","22.66","-75.03","156","23","123","16","32","13.01","26.02","-1.15","23","10","17","43.48","43.48","-2.03","178","14","36","7.87","7.87","-29.25",
"Carson, William","17","1","3","5.88","17.65","-15.09","831","51","166","6.14","19.98","-322.3","9","10","455","28","92","6.15","20.22","-255.8","50","19","31","38","38","6.95","643","47","146","7.31","7.31","-162.15",
"Carver, William","10","1","4","10","40","2","291","26","70","8.93","24.05","-93.96","14","9","124","11","28","8.87","22.58","-43","28","4","12","14.29","14.29","-15.79","214","20","52","9.35","9.35","-63.46",
"Catton, Luke","8","2","4","25","50","5.33","293","30","73","10.24","24.91","-36.33","4","4","177","17","43","9.6","24.29","-45.22","19","5","9","26.32","26.32","-5.66","255","29","63","11.37","11.37","-49.33",
"Chapman, Ross","13","0","0","0","0","-13","313","27","60","8.63","19.17","-72.34","19","18","226","20","44","8.85","19.47","-34.67","25","9","16","36","36","2.08","217","24","46","11.06","11.06","-1.84",
"Clutterbuck, Rhys","9","1","1","11.11","11.11","0.5","735","71","188","9.66","25.58","-199.75","8","4","329","29","78","8.81","23.71","-96.07","77","20","42","25.97","25.97","-18.33","527","61","155","11.57","11.57","-65.3",
"Coakley, Ross","10","1","3","10","30","-5.5","789","99","264","12.55","33.46","-188.41","11","7","378","46","121","12.17","32.01","-96.07","108","35","62","32.41","32.41","-12.87","466","60","152","12.88","12.88","-95.13",
"Coltherd, Sam W","15","0","1","0","6.67","-15","324","29","69","8.95","21.3","-144.5","16","16","185","15","37","8.11","20","-70.79","29","8","14","27.59","27.59","-9.71","229","22","53","9.61","9.61","-80.58",
"Condon, R J","3","0","0","0","0","-3","347","16","71","4.61","20.46","-187.55","54","25","139","4","22","2.88","15.83","-96.8","18","4","11","22.22","22.22","-7.05","194","8","40","4.12","4.12","-108.75",
"Connor, Mr S","2","0","0","0","0","-2","27","2","9","7.41","33.33","-15.37","19","3","27","2","9","7.41","33.33","-15.37","3","1","2","33.33","33.33","-0.37","7","0","3","0","0","-7",
"Crouch, Hector","5","1","3","20","60","-1.5","894","132","295","14.77","33","-145.44","4","1","527","82","178","15.56","33.78","-74.59","167","48","90","28.74","28.74","-39.02","516","79","171","15.31","15.31","-15.67",
"Davies, Harry","21","1","6","4.76","28.57","-8","934","119","311","12.74","33.3","-213.64","7","11","479","52","149","10.86","31.11","-91.48","133","39","77","29.32","29.32","-21.13","701","84","221","11.98","11.98","-161.98",
"Dennis, Phil","11","0","3","0","27.27","-11","772","64","199","8.29","25.78","-37.48","22","18","348","29","91","8.33","26.15","-67.74","61","17","35","27.87","27.87","-8.27","569","52","158","9.14","9.14","24.02",
"Donoghue, K M","11","3","7","27.27","63.64","2.25","817","109","256","13.34","31.33","-291.97","1","3","451","64","143","14.19","31.71","-201.13","136","51","88","37.5","37.5","-5.68","371","47","114","12.67","12.67","-93.14",
