,Column Name,Data
HorseCDWins,HorseCDWins,0
HorseCDPlaces,HorseCDPlaces,0
HorseCDWin%,HorseCDWin%,0
HorseclassRuns,HorseclassRuns,1
HorseclassWins,HorseclassWins,0
HorseclassPlaces,HorseclassPlaces,0
race_date,race_date,2022-05-03
Unnamed: 183,Unnamed: 183,
racedate,racedate,2022-05-03
racetime,racetime,13:15:00
race_name_y,race_name_y,Download The At The Races App Apprentice Handicap
race_restrictions_age,race_restrictions_age,4yo+
race_class,race_class,Class 6
major_y,major_y,
race_distance,race_distance,1m4f 
prize_money,prize_money,2970
going_description,going_description,Standard
number_of_runners,number_of_runners,10
place,place,6th
distbt,distbt,1
horse_name,horse_name,Amsby
stall_y,stall_y,8
trainer_y,trainer_y,"Eustace, Harry"
horse_age_y,horse_age_y,5
jockey_name_y,jockey_name_y,"Jamin, Pierre-Louis"
jockeys_claim_y,jockeys_claim_y,0
pounds_y,pounds_y,135
odds,odds,3.0
fav_y,fav_y,(Fav)
official_rating,official_rating,58
comptime,comptime,2 mins 29.46s
comptime_numeric,comptime_numeric,149.46
TotalDstBt,TotalDstBt,9.25
MedianOR,MedianOR,50.5
Dist_Furlongs,Dist_Furlongs,12.0
placing_numerical,placing_numerical,6
RCode,RCode,All Weather
BFSP,BFSP,4.4
BFSP_Place,BFSP_Place,1.79
PlcsPaid,PlcsPaid,3
BFPlcsPaid,BFPlcsPaid,3
Yards,Yards,2640
RailMove,RailMove,0
RaceType,RaceType,Handicap
Comment,Comment,"chased leader, led narrowly 3f out, pushed along and headed over 2f out, ridden over 1f out, soon lost 2nd, weakened final furlong"
CardNo,CardNo,1
StallPositioning,StallPositioning,Inside
TrackDirection,TrackDirection,Left Handed
Headgear_y,Headgear_y,
dayssincelr,dayssincelr,21
careerruns,careerruns,9
stallion_y,stallion_y,Sir Percy
surfacetype,surfacetype,Polytrack
horse_prizewin,horse_prizewin,300.0
Unnamed: 47,Unnamed: 47,
