time,track,horse,race_name,class,race_restrictions,major,racetype,distance,prize,going,runners,category,topor,direction,stall,trainer,horse_age,pounds,jockey_name,jockeys_claim,fav,OfficialRating,Odds,racecardno,last1,last2,last3,speedandtodayrating,jockeytrainerstallionrating,total,LastRun,jockey14runs,jockey14wins,jockey14strike,jockey30runs,jockey30wins,jockey30strike,jockey1yrruns,jockey1yrwins,jockey1yrstrike,jockeyruns,jockeywins,jockeystrike,jocktrainruns,jocktrainwins,jocktrainstrike,jockcsrruns,jockcsrwins,jockcsrstrike,trainer14runs,trainer14wins,trainer14strike,trainer30runs,trainer30wins,trainer30strike,trainer1yrruns,trainer1yrwins,trainer1yrstrike,trainerruns,trainerwins,trainerstrike,traincsrruns,traincsrwins,traincsrstrike,form,horsecountry,stallsanalyser,HorseSex,stallion,LastRace_Pos,SecondLastRace_Pos,LR_OR,2LR_OR,3LR_OR,4LR_OR,Going_WinPC,Career_WinPC,Class_WinPC,Direction_WinPC,LR_Track,LR_class,LR_prize,LR_distance,LR_runners,LR_Odds,LR_weight,Days_Since_2LR,2LR_Track,2LR_class,2LR_prize,2LR_distance,2LR_runners,2LR_Odds,2LR_weight,Days_Since_3LR,3LR_Track,3LR_class,3LR_prize,3LR_distance,3LR_runners,3LR_Odds,ThirdLastRace_Pos,CareerRuns,CareerWins,LR_Major,2LR_Major,3LR_Major,LR_Going,2LR_Going,3LR_Going,dam,Headgear,headgearlr,Class_plcPC,TrkDist_plcPC,Going_plcPC,HeadgearRuns,HeadgearWins,Headgear_WinPC,MilesTravelled,PosMilesTravelled,LRDistAhead,LRDistBt,GoingRuns,GoingWins,GoingPlaces,LRSubWinpc,LRSubPlcpc,stallpos,surface,DetailedSex,TrainerHorseRuns,Hcap_NonRuns,Hcap_NonWins,NH_Hcap_NonRuns,NH_Hcap_NonWins,medianOR,avgOR,SurfaceRuns,SurfaceWins,code,Stallion1yrPC,StallionAgePC,StallionDistancePC,StallionTrackPC,StallionClassPC,StallionSurfacePC,StallionGoingPC,FCOdds,EarlyOdds,dams_stallion,LWIN_Track,LWIN_distance,LWIN_odds,LWIN_going,LWIN_OR,ClassandHigherWins,JockeyHorseRuns,JockeyHorseWins,SeasonRuns,TrainerHorseWins,TrainerHorseCodeWins,penalty,HorseCareerPlaces,HorseTrackRuns,HorseTrackWins,HorseTrackPlaces,HorseTrackWin%,HorseTrackPlace%,HorseDistanceRuns,HorseDistanceWins,HorseDistancePlaces,HorseDistanceWin%,HorseDistancePlace%,HorseCDRuns,HorseCDWins,HorseCDPlaces,HorseCDWin%,HorseclassRuns,HorseclassWins,HorseclassPlaces,race_date,
"14:15:00","Catterick","Moarins Moarnin (IRE)","Racing To School Claiming Hurdle","Class 4","4yo+","Non-Major","Claimer Hurdle","1m7.5f ","4166","Soft","6","National Hunt","125","Left Handed","0","Morgan, Miss Laura","8","168","Brogan, Kevin","0","Non Fav","0","14.00","2","46.98815999999999","29.5823358","0","1","0.6414000000000001","117.83532522599998","119","6","1","17","18","1","6","172","9","5","438","41","9","19","0","0","8","0","0","6","0","0","15","1","7","197","14","7","452","55","12","7","1","14","3P","(IRE)","0","Male","Getaway (GER)","Pulled Up","Third","0","0",,,"0","0","0","0","Musselburgh","Class 4","3812","1m7½f ","12","14.00","154","150","Uttoxeter","Class 4","4357","2m ","8","11.00","158","No Prev",,,,,,,"No Run","2","0",,,"No Run","Good To Soft","Good To Soft",,"Sharifa (GER)","Hood","Hood","50","0","0","2","0","0","129","Clear Third",,"Didnt Finish","0","0","0","11","22","None","Undulating","Gelding","2","2","0","2","0","107","86","0","0","Hurdle","11","11","3","0","14","11","10","12.00","11.00","Kings Theatre (IRE)",,,,,,"0","1","0","2","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","1","2024-03-06",
"14:15:00","Catterick","Baron De Midleton (IRE)","Racing To School Claiming Hurdle","Class 4","4yo+","Non-Major","Claimer Hurdle","1m7.5f ","4166","Soft","6","National Hunt","125","Left Handed","0","Ellison, B","11","166","Brooke, Henry","0","Fav","125","1.25","3","80.47500000000001","23.101198200000002","25.1845","2.0475","0.9799","162.7957932","11","14","4","29","35","8","23","338","51","15","616","97","16","67","12","18","22","2","9","12","1","8","29","2","7","391","45","12","829","90","11","53","13","25","1PPP143","(IRE)","0","Male","Brian Boru","Third","Fourth","126","126","121","133","11","19","27","16","Newcastle","Class 3","5651","2m1f ","7","9.00","166","35","Leicester","Class 4","4068","1m7½f ","5","1.25","161","57","Market Rasen","Class 4","5281","2m5f ","6","11.00","First","32","6",,,,"Heavy","Soft","Good To Soft","Present Climate (IRE)","Blinkers","Blinkers","53","0","22","12","4","33","49","Clear Fourth","1.00","10.50","9","1","2","0","0","None","Undulating","Gelding","32","8","2","5","2","107","86","14","2","Hurdle","17","17","0","0","24","22","20","1.63","1.25","Presenting","Market Rasen","2m5f ","11.00","Good To Soft","121","6","10","2","5","6","32","0","12","1","0","0","0","0","1","0","0","0","0","0","0","0","0","15","4","8","2024-03-06",
"14:15:00","Catterick","Foveros (FR)","Racing To School Claiming Hurdle","Class 4","4yo+","Non-Major","Claimer Hurdle","1m7.5f ","4166","Soft","6","National Hunt","125","Left Handed","0","Oliver, Henry","9","166","Rabbitt, Mr C","5","Non Fav","116","2.00","4","72.61454","28.462679999999995","14.457279999999999","2.56","0.33","148.15164800000002","35","1","0","0","13","0","0","182","19","10","235","27","11","0","0","0","7","0","0","4","0","0","8","0","0","119","7","6","209","23","11","0","0","0","0867362","(FR)","0","Male","Authorized (IRE)","Second","Sixth","122","125","130","130","17","16","0","0","Leicester","Class 4","4068","1m7½f ","5","7.00","161","109","Wetherby","Class 3","5281","2m4f ","10","100.00","160","122","Huntingdon","Class 4","3812","2m ","6","2.75","Third","25","4",,,,"Soft","Heavy","Good To Soft","Fanurios Angel (FR)","None","None","50","0","33","23","4","17","203","Clear Top","2.25","3.00","6","1","2","0","33","None","Undulating","Gelding","3","9","3","8","3","107","86","16","3","Hurdle","17","21","67","33","23","19","23","2.50","2.00","Sanglamore (USA)","Curragh","2m ","2.75","Soft To Heavy","66","0","0","0","5","0","3","0","7","0","0","0","0","0","1","0","1","0","100","0","0","0","0","2","0","1","2024-03-06",
"14:15:00","Catterick","Coup De Gold (IRE)","Racing To School Claiming Hurdle","Class 4","4yo+","Non-Major","Claimer Hurdle","1m7.5f ","4166","Soft","6","National Hunt","125","Left Handed","0","Thompson, D W","8","164","Kavanagh, Peter J","3","Non Fav","84","7.50","5","63.89500000000001","37.53","13.190199999999999","2.3976","0.7281","146.64768700000005","28","5","1","20","10","1","10","135","16","12","313","31","10","18","1","6","6","0","0","6","1","17","13","3","23","192","13","7","369","25","7","35","1","3","6422614","(IRE)","0","Male","Maxios","Fourth","First","84","80","82","80","13","3","6","4","Sedgefield","Class 5","3248","2m3½f ","13","4.00","151","40","Sedgefield","Class 5","3248","2m1f ","8","3.50","152","54","Sedgefield","Class 5","3248","2m4f ","12","4.00","Sixth","62","2",,,,"Soft","Soft","Soft","Astroglia (USA)","Cheekpieces","Cheekpieces","18","0","20","7","1","14","15","Clear Bottom","8.50","5.25","15","2","3","33","67","None","Undulating","Gelding","58","13","1","2","1","107","86","36","2","Hurdle","13","10","0","0","8","17","26","16.00","7.50","Montjeu (IRE)","Sedgefield","2m1f ","3.50","Soft","80","1","7","1","8","2","36","0","17","4","1","2","25","50","0","0","0","0","0","0","0","0","0","17","1","3","2024-03-06",
"14:15:00","Catterick","Believe Jack (FR)","Racing To School Claiming Hurdle","Class 4","4yo+","Non-Major","Claimer Hurdle","1m7.5f ","4166","Soft","6","National Hunt","125","Left Handed","0","Murphy, Olly","7","161","Stones, Lewis","3","Non Fav","109","6.50","6","49.512","21.414823200000004","22.4665","2.0331","1.9881","122.53119319999999","10","2","0","0","2","0","0","139","20","14","239","35","15","107","20","19","1","0","0","25","4","16","50","12","24","513","104","20","979","177","18","10","2","20","14P4155","(FR)","0","Male","Make Believe","Fifth","Fifth","109","110","108","110","0","13","20","0","Hereford","Class 4","4066","2m4f ","7","14.00","167","35","Leicester","Class 4","4068","1m7½f ","5","4.50","155","71","Market Rasen","Class 5","4225","2m½f ","7","6.00","First","15","2",,,,"Soft","Soft","Good To Soft","Sandslide","Blinkers","Cheekpieces","20","0","33","0","0","0","178","Clear Second","9.00","33.75","3","0","1","0","0","None","Undulating","Gelding","7","7","1","4","1","107","86","6","0","Hurdle","11","0","13","25","13","5","11","6.00","6.00","Kings Best (USA)","Market Rasen","2m½f ","6.00","Good To Soft","108","1","1","0","5","2","7","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","1","1","2024-03-06",
"14:15:00","Catterick","Noble Annys (IRE)","Racing To School Claiming Hurdle","Class 4","4yo+","Non-Major","Claimer Hurdle","1m7.5f ","4166","Soft","6","National Hunt","125","Left Handed","0","Storey, W","6","154","McMenamin, Daniel","0","Non Fav","80","28.00","7","43.87008","27.052109999999995","10.148","1.5817999999999999","0.18059999999999998","107.718098312","38","13","2","15","32","7","22","343","50","15","634","87","14","3","0","0","18","2","11","0","0","0","0","0","0","37","3","8","83","5","6","7","0","0","0953P40","(IRE)","0","Female","Excelebration (IRE)","Tenth","Fourth","84","86","91","0","0","0","0","0","Doncaster","Class 5","3169","2m½f ","17","25.00","152","61","Musselburgh","Class 5","3697","1m7½f ","13","22.00","157","130","Kelso","Class 4","4753","2m½f ","15","16.00","Pulled Up","11","0",,,,"Good","Soft","Soft","A Good Year (IRE)","None","None","33","0","25","8","0","0","46","Clear Fifth","1.25","42.85","4","0","1","13","13","None","Undulating","Mare","5","8","0","3","0","107","86","7","0","Hurdle","11","4","0","33","7","14","14","33.00","20.00","Montjeu (IRE)",,,,,,"0","3","0","8","0","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","1","2024-03-06",
"14:45:00","Catterick","My Gift To You (IRE)","Every Race Live On Racing TV Novices Handicap Chase","Class 5","5yo+","Non-Major","Handicap Novices Chase","2m3f ","4225","Soft","7","National Hunt","100","Left Handed","0","Owen, J P","6","168","Chadwick, Alex","7","Fav","100","2.25","1","79.29","39.8664","20.382","2.8285","1.6105","175.78872573599998","33","0","0","0","2","1","50","36","7","19","55","7","13","36","6","17","0","0","0","7","4","57","16","4","25","156","35","22","172","35","20","1","0","0","1234112","(IRE)","0","Male","Kingston Hill","Second","First","96","91","86","87","0","29","44","40","Southwell","Class 5","3248","2m4½f ","12","2.25","166","49","Southwell","Class 5","3248","2m4½f ","8","2.50","166","106","Fakenham","Class 5","4489","2m6f ","5","1.75","First","14","4",,,,"Good To Soft","Good To Soft","Good To Soft","Ariels Serenade (IRE)","None","None","78","0","0","12","4","33","205","Clear Top","20.00","4.50","1","0","0","0","0","None","Undulating","Gelding","8","8","4","3","2","82","86","4","1","Chase","6","3","0","0","9","7","7","2.50","2.00","Presenting","Southwell","2m4½f ","2.50","Good To Soft","91","4","0","0","9","4","8","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","7","2024-03-06",
"14:45:00","Catterick","Titanium Bullet (IRE)","Every Race Live On Racing TV Novices Handicap Chase","Class 5","5yo+","Non-Major","Handicap Novices Chase","2m3f ","4225","Soft","7","National Hunt","100","Left Handed","0","Foster, Miss J E","6","162","Quinlan, Sean","0","Non Fav","94","6.00","2","71.3288","31.71852","9.585539999999998","2.4333","0.9315","141.2202154","78","17","2","12","45","5","11","513","58","11","1070","131","12","10","1","10","33","5","15","4","0","0","5","1","20","35","3","9","74","9","12","18","3","17","2404034","(IRE)","0","Male","Shirocco (GER)","Fourth","Third","94","94","97","98","0","0","0","0","Catterick","Class 5","3697","2m3f ","11","5.50","163","103","Catterick","Class 5","3697","2m3f ","14","7.00","162","155","Sedgefield","Class 4","4225","2m4f ","11","14.00","Tenth","12","0",,,,"Good To Soft","Good To Soft","Good","Marta Mes (FR)","None","None","50","50","0","12","0","0","48","Clear Fifth","0.75","1.40","1","0","0","30","70","None","Undulating","Gelding","3","7","0","2","0","82","86","5","0","Chase","11","10","6","8","11","8","7","6.00","6.00","Martaline",,,,,,"0","1","0","4","0","3","0","3","2","0","1","0","50","3","0","1","0","33","2","0","1","0","6","0","3","2024-03-06",
"14:45:00","Catterick","Master Breffni (IRE)","Every Race Live On Racing TV Novices Handicap Chase","Class 5","5yo+","Non-Major","Handicap Novices Chase","2m3f ","4225","Soft","7","National Hunt","100","Left Handed","0","Hammond, Micky","6","161","OFarrell, C","0","Non Fav","93","8.00","3","57.27499999999999","26.83125","12.46225","0.8665999999999999","0.808","118.37169789999999","20","9","0","0","29","1","3","193","16","8","563","56","10","113","8","7","25","2","8","30","3","10","60","5","8","510","37","7","1052","94","9","123","9","7","3P00F44","(IRE)","0","Male","Sageburg (IRE)","Fourth","Fourth","95","96","96","88","0","0","0","0","Newcastle","Class 5","3248","2m½f ","10","20.00","158","33","Catterick","Class 5","4040","2m3½f ","6","12.00","167","42","Catterick","Class 5","3697","2m3½f ","6","12.00","Fell","12","0",,,,"Heavy","Soft","Soft","Hot Oscar (IRE)","Hood","Hood","0","0","0","1","0","0","14","Clear Bottom","1.50","18.00","6","0","0","0","100","None","Undulating","Gelding","3","8","0","3","0","82","86","8","0","Chase","12","15","7","43","21","11","16","12.00","5.00","Oscar (IRE)",,,,,,"0","2","0","5","0","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2024-03-06",
"14:45:00","Catterick","Bebside Banter (IRE)","Every Race Live On Racing TV Novices Handicap Chase","Class 5","5yo+","Non-Major","Handicap Novices Chase","2m3f ","4225","Soft","7","National Hunt","100","Left Handed","0","Grant, C","7","150","McMenamin, Daniel","0","Non Fav","82","3.00","4","71.085","37.3455","9.235999999999999","3.2859000000000003","0.7936000000000001","146.59321816","28","13","2","15","32","7","22","343","50","15","634","87","14","43","6","14","18","2","11","7","1","14","13","2","15","99","9","9","187","11","6","12","2","17","P781P12","(IRE)","0","Male","Westerner","Second","First","81","77","77","70","40","14","22","20","Sedgefield","Class 5","3248","2m3½f ","9","1.38","159","54","Sedgefield","Class 5","3248","2m3½f ","9","3.50","149","84","Hexham","Class 5","4885","2m4½f ","7","2.25","Pulled Up","14","2",,,,"Soft","Soft","Heavy","Hard Fought (IRE)","None","None","44","0","80","13","2","15","27","Clear Sixth","3.00","5.00","5","2","4","0","50","None","Undulating","Gelding","14","10","2","4","2","82","86","6","2","Chase","13","17","6","17","12","10","16","4.00","4.00","Exit To Nowhere (USA)","Sedgefield","2m3½f ","3.50","Soft","77","2","4","2","6","2","14","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","4","2024-03-06",
