horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Big Time Maybe (IRE)","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","41","0","McEntee, Grace","4.00","Attwater, M J","132","51","1",,
"Fard","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","7","0","Ghiani, Marco","2.75","Blake, Michael","131","47","10",,
"Gatwick Kitten (USA)","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","28","0","Dawson, R","7.00","Stronge, Ali","132","48","5",,
"Hope Springs","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","21","0","Cosgrave, Pat","20.00","Boyle, J R","129","45","11",,
"Hot Hot Hot","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","15","0","Morris, Luke","6.50","Carroll, A W","129","45","8",,
"Hurricane Alert","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","19","0","Keeley, Aidan","100.00","Bishop, Frank","122","45","2",,
"Mr Pc (IRE)","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","7","0","Probert, David","2.50","Carroll, A W","135","51","6",,
"Ness Ta Rah","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","21","0","Quinn, Jimmy","100.00","Best, Suzi","129","45","7",,
"Perfect Symphony (IRE)","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","7","0","Clutterbuck, Rhys","25.00","Pattinson, Mark","126","45","4",,
"Pusey Street","13:00:00","2022-05-17","Brighton","Flat (Turf)","Handicap","5.5f ","5.5","Good To Firm","11","Class 6","21","0","Crouch, Hector","100.00","Gallagher, J","129","45","9",,
