horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Adele Co (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","539","0","Enright, P T","100.00","Corcoran, Una","153","0","0",,
"Barbaha Queen (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","No Prev","0","Fitzgerald, S","50.00","Ryan, John Patrick","148","0","0",,
"Bundle Of Dreams (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","237","0","Monaghan, R","40.00","McConnell, John C","146","0","0",,
"Carbon Zero (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","20","0","OHanlon, P J","33.00","Dobbs, Mrs Prunella","142","0","0",,
"Carrigmoorna Elm (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","20","0","ODonovan, Mr M C","5.00","Queally, Declan","154","0","0",,
"Cottie (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","215","0","OKeeffe, Darragh","1.20","Bromhead, Henry De","153","102","0",,
"Dot Cotton (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","No Prev","0","OKeeffe, Sean F","18.00","Nolan, Paul","153","0","0",,
"Ghumama (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","5","0",,"9.00","Hogan, Denis Gerard","147","0","0",,
"Healys Island (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","No Prev","0",,"33.00","Murphy, B T","153","0","0",,
"Knocknagappagh (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","339","0","Gainford, Mr J C","28.00","Elliott, Gordon","153","0","0",,
"Latest Model (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","28","0","Fenelon, S","20.00","Hanlon, John Joseph","146","0","0",,
"Leviosa (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","20","0","Kennedy, B P","50.00","Fahey, Seamus","154","0","0",,
"Lillys Girl (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","39","0","Maxwell, C D","33.00","McLoughlin, D A","153","0","0",,
"Madame Milan (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","No Prev","0","Prendergast, Niall","33.00","Lanigan, W J","146","0","0",,
"Royal Eagle (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","25","0","Kennedy, J W","3.33","Elliott, Gordon","147","0","0",,
"Sagebelle (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","No Prev","0","Sexton, K C","8.50","Fahey, Peter","153","0","0",,
"Shift And Drift (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","25","0","McGarvey, J S","33.00","Leahy, Augustine","147","0","0",,
"Sootability (IRE)","16:30:00","2022-05-12","Clonmel","National Hunt","Maiden Hurdle","2m.5f ","16.5","Good","19","Ire","410","0","Deegan, R","33.00","McCarthy, Eoin Christopher","161","0","0",,
