horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Indian Creak (IRE)","14:05:00","2022-05-13","Newbury","Flat (Turf)","Handicap","6f ","6","Good","7","Class 2","14","2","Sousa, Silvestre De","5","Channon, M R","123","80","2","0.1",
"Indian Creak (IRE)","15:50:00","2022-04-29","Goodwood","Flat (Turf)","Handicap","6f ","6","Good","9","Class 3","25","7","Keenan, Darragh","12","Channon, M R","129","83","1","4.33",
"Indian Creak (IRE)","14:50:00","2022-04-04","Windsor","Flat (Turf)","Handicap","6f ","6","Good","13","Class 4","164","11","Marquand, Tom","9","Channon, M R","133","85","10","7.33",
"Indian Creak (IRE)","17:00:00","2021-10-22","Newbury","Flat (Turf)","Handicap","6f ","6","Heavy","13","Class 3","12","3","Ryan, Rossa","11","Channon, M R","132","86","6","2",
"Indian Creak (IRE)","14:55:00","2021-10-10","Goodwood","Flat (Turf)","Handicap","6f ","6","Soft","12","Class 3","10","9","Sousa, Silvestre De","5.5","Channon, M R","131","86","5","10.1",
"Inver Park","16:10:00","2022-04-25","Southwell","All Weather","Handicap","7f ","7","Standard To Slow","8","Class 4","21","3","Doyle, Hollie","2.25","Boughey, George","133","80","6","1.15",
"Inver Park","14:50:00","2022-04-04","Windsor","Flat (Turf)","Handicap","6f ","6","Good","13","Class 4","157","2","Buick, William","2.25","Boughey, George","126","78","9","1.25",
"Inver Park","13:55:00","2021-10-29","Newmarket (Rowley)","Flat (Turf)","Non-Handicap","6f ","6","Good","6","Class 3","41","4","Cosgrave, Pat","33","Quinn, M","136","78","4","5.25",
"Inver Park","14:40:00","2021-09-18","Newmarket (Rowley)","Flat (Turf)","Handicap","6f ","6","Good To Firm","6","Class 4","6","4","Cosgrave, Pat","4.5","Quinn, M","129","80","3","3.75",
"Inver Park","15:45:00","2021-09-12","Chelmsford City","All Weather","Handicap","6f ","6","Standard","5","Class 3","85","4","Shepherd, Callum","18","Quinn, M","125","80","3","4",
"Marks Bear (IRE)","15:10:00","2022-02-26","Lingfield","All Weather","Handicap","6f ","6","Standard","6","Class 2","42","2","Keeley, Aidan","2.75","Moore, G L","109","87","5","0.1",
