horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"All Things Bright (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","12","0","Sanna, G","12.00","Davidson, Tristan","128","58","3",,
"Big Dutchie (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","21","0","Clements, Sophie","66.00","Makin, Phillip","109","46","6",,
"Corndavon Lad (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","22","0","Wheatley, Zak","22.00","Carr, Mrs R A","123","53","11",,
"Cosa Sara (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","22","0","Winn, Mark","12.00","Goldie, J S","114","47","9",,
"Dandy Maestro","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","5","0","Pyle, William","0.80","Spencer, Richard","137","72","7",,
"Engles Rock (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","69","0","Brookes, Aiden","20.00","Russell, Miss Lucinda V","130","63","10",,
"Just Hiss","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","20","0","Wilkie, Brandon","14.00","Easterby, T D","130","65","2",,
"Mabre (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","44","0","Jary, Alex","5.00","Evans, P D","125","60","4",,
"Monhammer","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","9","0","Parkinson, Erika","66.00","Perratt, Miss L A","135","65","1",,
"Otto Oyl","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","11","0","Pindar, Rhonda","9.00","Barron, T D","126","56","5",,
"Pallas Lord (IRE)","13:00:00","2022-05-18","Ayr","Flat (Turf)","Handicap","1m ","8","Good To Soft","11","Class 6","32","0","Sexton, Ryan","7.00","Whillans, D W","135","65","8",,
"Bon Marine (IRE)","13:35:00","2022-05-18","Ayr","Flat (Turf)","Maiden","5f ","5","Good To Soft","6","Class 4","No Prev","0","Lee, Clifford","3.50","Burke, K R","126","0","4",,
"Diamond Dandy (IRE)","13:35:00","2022-05-18","Ayr","Flat (Turf)","Maiden","5f ","5","Good To Soft","6","Class 4","No Prev","0","Mulrennan, Paul","14.00","Goldie, J S","128","0","3",,
"Georgiava","13:35:00","2022-05-18","Ayr","Flat (Turf)","Maiden","5f ","5","Good To Soft","6","Class 4","No Prev","0","James, S H","3.50","Burke, K R","126","0","2",,
"Girl Magic","13:35:00","2022-05-18","Ayr","Flat (Turf)","Maiden","5f ","5","Good To Soft","6","Class 4","22","0","Ryan, Rossa","4.00","Haynes, Alice","128","0","5",,
"Green Zabeel (IRE)","13:35:00","2022-05-18","Ayr","Flat (Turf)","Maiden","5f ","5","Good To Soft","6","Class 4","No Prev","0","Hart, Jason","2.25","Johnston, M","128","0","1",,
"Montelusa","13:35:00","2022-05-18","Ayr","Flat (Turf)","Maiden","5f ","5","Good To Soft","6","Class 4","12","0","Allan, David","10.00","Easterby, T D","133","0","6",,
"Billian (IRE)","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","25","0","Rodriguez, Callum","8.50","Kirby, P A","139","60","8",,
"Blazing Son","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","39","0","Lee, G","4.50","Smart, B","139","60","10",,
"Glen Lomond","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","5","0","Waugh, Amie","40.00","Goldie, J S","120","46","4",,
"Impeller","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","25","0","Allan, David","16.00","Easterby, T D","145","66","3",,
"London Palladium","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","32","0","Sexton, Ryan","2.50","Keatley, Adrian Paul","127","55","1",,
"Profit And Loss (FR)","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","12","0","Tudhope, Daniel","3.33","Evans, P D","137","67","2",,
"Sixcor","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","11","0","Mullen, Andrew","18.00","Perratt, Miss L A","125","46","6",,
"Slainte Mhath","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","5","0","Hart, Jason","12.00","Scott, Miss Katie","128","49","9",,
"Somewhere Secret","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","25","0","Muir, Paula","16.00","Menzies, Rebecca","139","63","5",,
"Stallone (IRE)","14:10:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","11","0","Beasley, Connor","6.00","Dods, M","143","64","7",,
"Bobby Shaftoe","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","5","0","Hardie, Cameron","20.00","Goldie, J S","125","46","4",,
"Brazen Idol","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","21","0","Elliott, Andrew","5.00","Pearce, Simon","121","51","10",,
"Classy Al","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","23","0","Mulrennan, Paul","3.50","Goldie, J S","139","60","2",,
"Earn Your Stripes","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","23","0","Breslin, Andrew","33.00","Smith, R Michael","122","46","5",,
"Elladora","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","17","0","Hart, Jason","12.00","Scott, Miss Katie","139","60","6",,
"Impressor (IRE)","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","23","0","Scott, Rowan","3.50","Makin, Phillip","137","58","1",,
"Kodebreaker (IRE)","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","23","0","Stott, Kevin","5.00","Ryan, K A","130","60","7",,
"Nodsasgoodasawink","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","11","0","Mathers, Patrick","25.00","Perratt, Miss L A","138","59","8",,
"Sir Benedict (IRE)","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","11","0","Wheatley, Zak","11.00","Barclay, Stella","138","64","9",,
"Tar Heel (IRE)","14:45:00","2022-05-18","Ayr","Flat (Turf)","Handicap","6f ","6","Good To Soft","10","Class 6","8","0","Allan, David","6.50","Easterby, T D","144","65","3",,
"Achelois (IRE)","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","29","0","McDonald, P J","2.75","Balding, A M","128","98","5",,
"Angel Power","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","22","0","Egan, David","2.75","Varian, Roger","128","103","8",,
"Darlectable You","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","23","0",,"0.00","Gosden, John and Thady","128","84","7",,
"Luisa Casati (IRE)","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","207","0","Tudhope, Daniel","20.00","Ward, Tom","128","90","9",,
"Magnificence (FR)","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","30","0","Hart, Jason","40.00","Orourke, Brian","128","83","6",,
"Minister For Magic (IRE)","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","112","0","Allan, David","66.00","Dunlop, H J L","128","78","2",,
"My Astra (IRE)","15:20:00","2022-05-18","Ayr","Flat (Turf)","Non-Handicap","1m2f ","10","Good To Soft","8","Listed Race","30","0","Marquand, Tom","1.50","Haggas, W J","128","95","3",,
