horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Alexas Princess (IRE)","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","No Prev","0","Lee, Clifford","5.50","Burke, K R","128","0","5",,
"Ey Up Lets Go","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","No Prev","0","Robinson, Ben","40.00","Coyle, Tony","128","0","10",,
"Miss Mai Tai","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","14","0","McHugh, B","22.00","Cowell, R M H","128","0","9",,
"Professor Pesca (IRE)","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","No Prev","0","Stott, Kevin","3.50","Ryan, K A","133","0","7",,
"Ramazan (IRE)","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","13","0","Hanagan, Paul","5.00","Fahey, R A","133","0","6",,
"Sanks A Million (IRE)","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","No Prev","0","Tudhope, Daniel","8.00","Loughnane, David","133","0","8",,
"Signora Camacho (IRE)","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","12","0","Hart, Jason","4.50","Quinn, J J","128","0","3",,
"Sling Yer Hook","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","1","0","Allan, David","18.00","Easterby, T D","133","0","1",,
"Teatime Tipple","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","26","0","Mathers, Patrick","5.50","Coyle, Tony","133","0","4",,
"Treble Glory (IRE)","14:10:00","2022-05-10","Beverley","Flat (Turf)","Novices","5f ","5","Good","10","Class 5","No Prev","0","Scott, Rowan","22.00","Tinkler, N","133","0","2",,
"Golden Prosperity (IRE)","14:40:00","2022-05-10","Beverley","Flat (Turf)","Seller","5f ","5","Good","6","Class 6","3","0","Schofield, Kieran","9.00","Coyle, Tony","125","55","3",,
"Montiney","14:40:00","2022-05-10","Beverley","Flat (Turf)","Seller","5f ","5","Good","6","Class 6","78","0","Lee, Clifford","6.50","Burke, K R","130","0","4",,
"Mymateshez","14:40:00","2022-05-10","Beverley","Flat (Turf)","Seller","5f ","5","Good","6","Class 6","7","0","Winn, Mark","16.00","Wainwright, J S","118","55","5",,
"Pure Charmer","14:40:00","2022-05-10","Beverley","Flat (Turf)","Seller","5f ","5","Good","6","Class 6","13","0","Sayette, B D L","1.50","Watson, Archie","118","56","2",,
"Treasure Troube (IRE)","14:40:00","2022-05-10","Beverley","Flat (Turf)","Seller","5f ","5","Good","6","Class 6","34","0","Robinson, Ben","10.00","Tutty, Gemma","130","45","1",,
"Vaunted","14:40:00","2022-05-10","Beverley","Flat (Turf)","Seller","5f ","5","Good","6","Class 6","222","0","Scott, Rowan","2.00","Tinkler, N","130","69","6",,
"Dandy Spirit (IRE)","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","208","0","Curtis, B A","5.50","Fell, Roger","137","72","5",,
"Elegant Erin (IRE)","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","204","0","Lee, G","16.00","Midgley, P T","130","65","4",,
"Good Earth (IRE)","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","29","0","Hart, Jason","5.00","Herrington,M ","133","68","1",,
"High Security","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","13","0","Scott, Rowan","9.00","Tinkler, N","128","63","10",,
"Jeans Maite","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","53","0","Edmunds, Lewis","10.00","Bowring, S R","134","69","2",,
"Micks Spirit","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","28","0","Howarth, Christian","11.00","Allen, C N","129","71","3",,
"Refuge","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","16","0","Mason, Joanna","16.00","Easterby, M W","116","54","9",,
"Son And Sannie (IRE)","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","8","0","Sayette, B D L","1.75","Watson, Archie","126","68","7",,
"Tar Heel (IRE)","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","20","0","Allan, David","16.00","Easterby, T D","130","65","8",,
"Teruntum Star (FR)","15:10:00","2022-05-10","Beverley","Flat (Turf)","Handicap","5f ","5","Good","10","Class 5","19","0","Swift, Mr Dale","28.00","Griffiths, D C","127","62","6",,
"Back From Dubai (IRE)","15:40:00","2022-05-10","Beverley","Flat (Turf)","Handicap","1m.5f ","8.5","Good","13","Class 6","18","0","Edmunds, Lewis","9.00","Bowring, S R","132","57","11",,
"Elixsoft (IRE)","15:40:00","2022-05-10","Beverley","Flat (Turf)","Handicap","1m.5f ","8.5","Good","13","Class 6","3","0","Sexton, Ryan","1.88","Tutty, Gemma","126","58","2",,
"Hardy","15:40:00","2022-05-10","Beverley","Flat (Turf)","Handicap","1m.5f ","8.5","Good","13","Class 6","8","0","Stammers, Oliver","6.50","Macey, Jessica","125","53","8",,
"Highlight Reel (IRE)","15:40:00","2022-05-10","Beverley","Flat (Turf)","Handicap","1m.5f ","8.5","Good","13","Class 6","7","0","Curtis, B A","12.00","Fell, Roger","121","46","5",,
