horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Florida Filly (IRE)","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","15","0","Gormley, Jamie","50.00","Jardine, I","124","0","7",,
"Jm Jungle (IRE)","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","11","0","Hart, Jason","7.50","Quinn, J J","131","0","3",,
"Kind Spirit (FR)","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","10","0","Fanning, Joe","3.33","Johnston, M","127","0","5",,
"Legend Of Xanadu","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","13","0","Keenan, Darragh","3.50","Channon, M R","127","0","6",,
"Northcliff (IRE)","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","29","0","Allan, David","9.00","Easterby, T D","133","0","4",,
"Pride Of Yorkshire","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","29","0","Stott, Kevin","4.50","Ryan, K A","133","0","1",,
"Sprezzatura (IRE)","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","13","0","Mullen, Andrew","7.50","Jardine, I","127","0","2",,
"Unitarian","15:50:00","2022-05-08","Hamilton","Flat (Turf)","Maiden","5f ","5","Good","8","Class 3","No Prev","0","Lee, Clifford","6.50","Burke, K R","129","0","8",,
"Alpha Cru (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","15","0","Tudhope, Daniel","6.50","OMeara, D","137","79","1",,
"Crown Princess (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","17","0","Lee, G","14.00","Pears, Ollie","133","75","11",,
"Golden Melody (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","12","0","Allan, David","10.00","Easterby, T D","131","73","6",,
"Indy Moon","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","190","0","Fanning, Joe","16.00","Dunlop, E A L","117","73","13",,
"Kraken Filly (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","10","0","Sullivan, James P","22.00","Dalgleish, Keith","117","59","3",,
"Lasting Legacy","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","12","0","Hardie, Cameron","7.50","Fellowes, Charlie","136","78","9",,
"Myristica (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","202","0","Eaves, Tom","11.00","Easterby, T D","138","80","7",,
"Nordhalla (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","10","0","Norton, Francis","3.50","Johnston, M","117","73","2",,
"Set In Stone (IRE)","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","44","0","McDonald, P J","22.00","Menzies, Rebecca","125","67","12",,
"Thunder Queen","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","12","0","Sousa, Silvestre De","7.50","Hannon (Jnr), Richard","119","75","15",,
"Typical Woman","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","15","0","Egan, David","10.00","Williams, Ian","118","74","8",,
"Urban Violet","16:18:00","2022-05-08","Hamilton","Flat (Turf)","Handicap","1m1f ","9","Good","15","Class 4","193","0","Keenan, Darragh","18.00","Channon, M R","136","78","5",,
