Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"ONeill, K T","22","2","8","9.09","36.36","-12.62","1318","124","343","9.41","26.02","-209.38","12","17","670","64","167","9.55","24.93","56.37","139","44","82","31.65","31.65","-3.47","946","87","249","9.2","9.2","-169.42",
"Orr, Oisin","36","2","15","5.56","41.67","-18.5","761","90","258","11.83","33.9","-182.38","5","16","505","64","192","12.67","38.02","-141.41","96","33","57","34.38","34.38","-1.83","445","51","149","11.46","11.46","-73.54",
"Osborne, Saffie","44","5","11","11.36","25","22","886","96","261","10.84","29.46","-152.47","6","18","559","62","163","11.09","29.16","-19.1","85","27","52","31.76","31.76","-11.01","649","74","191","11.4","11.4","-29.41",
"Pearson, Laura","7","1","3","14.29","42.86","22","481","47","120","9.77","24.95","-135.47","1","1","115","12","24","10.43","20.87","-12.76","51","14","28","27.45","27.45","-13.8","388","41","104","10.57","10.57","-84.3",
"Peate, Jonny","20","3","5","15","25","-3.17","529","50","145","9.45","27.41","-101.41","5","8","339","31","92","9.14","27.14","-105.55","40","13","25","32.5","32.5","0.18","469","50","130","10.66","10.66","-41.41",
"Phillips, Mollie","9","2","3","22.22","33.33","11","554","60","167","10.83","30.14","-100.31","8","7","284","29","80","10.21","28.17","-50.49","49","17","30","34.69","34.69","2.44","507","55","158","10.85","10.85","-84.19",
"Pierce, Abigail","0","0","0","0","0","0","10","1","1","10","10","5","525","7","5","0","0","0","0","-5","0","0","0","0","0","0","8","1","1","12.5","12.5","7",
"Planas, Connor","18","1","5","5.56","27.78","-14.25","225","30","77","13.33","34.22","-34.91","11","10","205","29","71","14.15","34.63","-22.41","34","11","25","32.35","32.35","-0.99","185","25","64","13.51","13.51","-25.04",
"Powell, Brendan","14","0","4","0","28.57","-14","882","103","280","11.68","31.75","-266.82","16","16","461","46","144","9.98","31.24","-202.95","110","38","66","34.55","34.55","-4.04","582","74","193","12.71","12.71","-153.71",
"Queally, T P","18","2","4","11.11","22.22","-9.5","480","50","116","10.42","24.17","-9.63","5","7","267","32","77","11.99","28.84","62.37","39","15","26","38.46","38.46","4.74","357","39","87","10.92","10.92","-94.88",
